Country	Index (2018)	Index (2019)
Afghanistan	..	..
Albania	..	..
Algeria	93.3	95.3
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	107.8	110.6
Argentina	..	..
Armenia	100.5	103
Aruba	..	..
Australia	89.9	85.9
Austria	102.8	101.6
Azerbaijan	..	..
Bahamas, The	100.4	101.8
Bahrain	109.3	111.8
Bangladesh	..	..
Barbados	..	..
Belarus	..	..
Belgium	101.5	99.9
Belize	99.8	100
Benin	..	..
Bermuda	..	..
Bhutan	..	..
Bolivia	143.3	149.7
Bosnia and Herzegovina	..	..
Botswana	..	..
Brazil	71	69.6
Brunei Darussalam	..	..
Bulgaria	101.3	101.8
Burkina Faso	..	..
Burundi	118.7	114.1
Cabo Verde	..	..
Cambodia	..	..
Cameroon	97.9	96.7
Canada	82.3	81.5
Cayman Islands	..	..
Central African Republic	127.9	127.3
Chad	..	..
Channel Islands	..	..
Chile	97.1	92.4
China	121.7	120.7
Hong Kong SAR, China	121.1	127.2
Macao SAR, China	..	..
Colombia	77.2	72.6
Comoros	..	..
Congo, Dem. Rep.	111.2	141.3
Congo, Rep.	..	..
Costa Rica	105.7	106.4
Cote d'Ivoire	97.2	93.2
Croatia	95.4	94
Cuba	..	..
Curacao	..	..
Cyprus	90.1	87.9
Czech Republic	99.1	99.4
Denmark	97.2	95.4
Djibouti	..	..
Dominica	101.7	102.9
Dominican Republic	90.1	89
Ecuador	..	..
Egypt, Arab Rep.	..	..
El Salvador	..	..
Equatorial Guinea	104.4	102
Eritrea	..	..
Estonia	..	..
Ethiopia	..	..
Faroe Islands	..	..
Fiji	112.7	113.3
Finland	98.6	97
France	95.4	93.7
French Polynesia	..	..
Gabon	103	102.5
Gambia, The	89.1	93.1
Georgia	98.2	93.4
Germany	97	95.4
Ghana	73.7	72
Greece	90.8	88.8
Greenland	..	..
Grenada	95.3	96
Guam	..	..
Guatemala	..	..
Guinea	..	..
Guinea-Bissau	..	..
Guyana	105.2	107.9
Haiti	..	..
Honduras	..	..
Hungary	90.1	88.9
Iceland	139.9	130.5
India	..	..
Indonesia	..	..
Iran, Islamic Rep.	91.2	126.2
Iraq	..	..
Ireland	90.8	88.2
Isle of Man	..	..
Israel	106	108.6
Italy	96.8	94.4
Jamaica	..	..
Japan	74.4	76.5
Jordan	..	..
Kazakhstan	..	..
Kenya	..	..
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	155.4	146.9
Kosovo	..	..
Kuwait	..	..
Kyrgyz Republic	..	..
Lao PDR	..	..
Latvia	102.8	102.8
Lebanon	..	..
Lesotho	80.6	78.2
Liberia	..	..
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	100.3	99.5
North Macedonia	99.8	98.3
Madagascar	..	..
Malawi	76.8	86.1
Malaysia	88.7	87.4
Maldives	..	..
Mali	..	..
Malta	94.4	92.7
Marshall Islands	..	..
Mauritania	..	..
Mauritius	..	..
Mexico	81	83.7
Micronesia, Fed. Sts.	..	..
Moldova	122.4	124.9
Monaco	..	..
Mongolia	..	..
Montenegro	..	..
Morocco	99.4	99.9
Mozambique	..	..
Myanmar	..	..
Namibia	..	..
Nepal	..	..
Netherlands	99.4	99.3
New Caledonia	..	..
New Zealand	102.9	101.3
Nicaragua	95.6	95.5
Niger	..	..
Nigeria	109.1	122.7
Northern Mariana Islands	..	..
Norway	86.1	83.7
Oman	..	..
Pakistan	107.1	97.1
Palau	..	..
Panama	..	..
Papua New Guinea	121.2	124.7
Paraguay	113.5	110.1
Peru	..	..
Philippines	100.5	105.3
Poland	93.4	92.1
Portugal	97.7	96.1
Puerto Rico	..	..
Qatar	..	..
Romania	97.7	97.3
Russian Federation	84.5	86.6
Rwanda	..	..
Samoa	104.4	105.1
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	113.4	112.2
Senegal	..	..
Serbia	..	..
Seychelles	..	..
Sierra Leone	101.7	104.8
Singapore	106.2	106.3
Sint Maarten (Dutch part)	..	..
Slovak Republic	99.9	100.1
Slovenia	..	..
Solomon Islands	126.5	127.1
Somalia	..	..
South Africa	80.8	77.9
South Sudan	..	..
Spain	97.5	95.6
Sri Lanka	..	..
St. Kitts and Nevis	96.9	96.6
St. Lucia	102.2	102.9
St. Martin (French part)	..	..
St. Vincent and the Grenadines	103.9	105.8
Sudan	..	..
Suriname	..	..
Eswatini	..	..
Sweden	89.2	85.6
Switzerland	103.1	104.1
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	..	..
Thailand	..	..
Timor-Leste	..	..
Togo	95.8	93.4
Tonga	..	..
Trinidad and Tobago	126.3	128.8
Tunisia	79.1	78.3
Turkey	..	..
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	90.2	92.5
Ukraine	79.5	91.6
United Arab Emirates	..	..
United Kingdom	98.8	98.3
United States	113	116.1
Uruguay	116.7	113.1
Uzbekistan	..	..
Vanuatu	..	..
Venezuela, RB	740.6	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	..	..
Zambia	89.1	78.7
Zimbabwe	..	..
