Country	Researchers	Technicians
Afghanistan	..	..
Albania	..	..
Algeria	819	42
American Samoa	..	..
Andorra	..	..
Angola	19	5
Antigua and Barbuda	..	..
Argentina	1192	337
Armenia	..	..
Aruba	..	..
Australia	4532	..
Austria	5733	2648
Azerbaijan	..	..
Bahamas, The	..	..
Bahrain	369	17
Bangladesh	..	..
Barbados	..	..
Belarus	..	..
Belgium	5023	1378
Belize	..	..
Benin	..	..
Bermuda	..	..
Bhutan	..	..
Bolivia	164	26
Bosnia and Herzegovina	471	51
Botswana	185	125
Brazil	888	970
Brunei Darussalam	..	..
Bulgaria	2343	442
Burkina Faso	48	37
Burundi	23	7
Cambodia	30	61
Cameroon	..	..
Canada	4326	1268
Cabo Verde	123	41
Cayman Islands	..	..
Central African Republic	..	..
Chad	58	8
Channel Islands	..	..
Chile	493	303
China	1307	..
Hong Kong SAR, China	4026	316
Macao SAR, China	3543	182
Colombia	88	..
Comoros	..	..
Congo, Dem. Rep.	11	7
Congo, Rep.	..	..
Costa Rica	380	..
Cote d'Ivoire	..	..
Croatia	1921	714
Cuba	..	..
Curacao	..	..
Cyprus	1256	325
Czech Republic	3863	2186
Denmark	8066	2124
Djibouti	..	..
Dominica	..	..
Dominican Republic	..	..
Ecuador	399	90
Egypt, Arab Rep.	687	370
El Salvador	64	13
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	3755	655
Ethiopia	91	33
Faroe Islands	..	..
Fiji	..	..
Finland	6861	..
France	4715	1806
French Polynesia	..	..
Gabon	..	..
Gambia, The	53	89
Georgia	1464	242
Germany	5212	2007
Ghana	89	29
Greece	3483	585
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	14	20
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	35	10
Hungary	3238	770
Iceland	6131	2371
India	253	73
Indonesia	216	35
Iran, Islamic Rep.	1475	497
Iraq	111	23
Ireland	5243	1165
Isle of Man	..	..
Israel	..	..
Italy	2307	..
Jamaica	..	..
Japan	5331	524
Jordan	596	109
Kazakhstan	667	124
Kenya	221	628
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	7980	1311
Kosovo	..	..
Kuwait	514	45
Kyrgyz Republic	..	..
Lao PDR	..	..
Latvia	1792	391
Lebanon	..	..
Lesotho	24	7
Liberia	..	..
Libya	..	..
Liechtenstein	..	..
Lithuania	3191	462
Luxembourg	4942	3166
North Macedonia	799	91
Madagascar	34	13
Malawi	50	60
Malaysia	2397	263
Maldives	..	..
Mali	33	24
Malta	1947	886
Marshall Islands	..	..
Mauritania	..	..
Mauritius	474	130
Mexico	315	140
Micronesia, Fed. Sts.	..	..
Moldova	696	60
Monaco	..	..
Mongolia	..	..
Montenegro	734	156
Morocco	1074	40
Mozambique	43	27
Myanmar	29	19
Namibia	149	66
Nepal	..	..
Netherlands	5605	2038
New Caledonia	..	..
New Zealand	5530	1276
Nicaragua	..	..
Niger	26	9
Nigeria	..	..
Northern Mariana Islands	..	..
Norway	6467	..
Oman	281	33
Pakistan	336	32
Palau	..	..
Panama	39	155
Papua New Guinea	35	11
Paraguay	135	40
Peru	..	..
Philippines	106	18
Poland	3106	415
Portugal	4538	780
Puerto Rico	348	156
Qatar	577	397
Romania	882	279
Russian Federation	2784	438
Rwanda	14	6
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	564	37
Serbia	2087	412
Seychelles	..	..
Sierra Leone	..	..
Singapore	6803	377
Sint Maarten (Dutch part)	..	..
Slovak Republic	2996	521
Slovenia	4855	1814
Solomon Islands	..	..
Somalia	..	..
South Africa	518	130
South Sudan	..	..
Spain	3001	1265
Sri Lanka	106	75
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	..	..
Suriname	..	..
Eswatini	142	36
Sweden	7536	2028
Switzerland	5450	2620
Syrian Arab Republic	91	68
Tajikistan	..	..
Tanzania	19	6
Thailand	1350	297
Timor-Leste	..	..
Togo	48	4
Tonga	..	..
Trinidad and Tobago	517	278
Tunisia	1772	62
Turkey	1379	354
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	28	11
Ukraine	988	150
United Arab Emirates	2379	890
United Kingdom	4603	1305
United States	4412	..
Uruguay	696	..
Uzbekistan	476	48
Vanuatu	..	..
Venezuela, RB	300	..
Vietnam	708	71
Virgin Islands (U.S.)	..	..
West Bank and Gaza	575	178
Yemen, Rep.	..	..
Zambia	..	..
Zimbabwe	100	11
World	1411	..
East Asia & Pacific	1623	..
Europe & Central Asia	3373	871
Latin America & Caribbean	580	558
Middle East & North Africa	..	..
North America	4404	..
South Asia	253	73
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	288	98
Upper middle income	1149	..
High income	4351	..
