Country	Total
Afghanistan	..
Albania	39.9
Algeria	17.7
American Samoa	..
Andorra	100
Angola	..
Antigua and Barbuda	..
Argentina	..
Armenia	48.2
Aruba	..
Australia	75.6
Austria	96.7
Azerbaijan	..
Bahamas, The	..
Bahrain	96
Bangladesh	..
Barbados	..
Belarus	80.5
Belgium	97.1
Belize	..
Benin	..
Bermuda	..
Bhutan	..
Bolivia	22.9
Bosnia and Herzegovina	21.6
Botswana	..
Brazil	49.3
Brunei Darussalam	..
Bulgaria	64.4
Burkina Faso	..
Burundi	..
Cabo Verde	..
Cambodia	..
Cameroon	..
Canada	82.3
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	90
Chile	77.5
China	72.1
Hong Kong SAR, China	91.8
Macao SAR, China	..
Colombia	17
Comoros	..
Congo, Dem. Rep.	..
Congo, Rep.	..
Costa Rica	..
Cote d'Ivoire	..
Croatia	58.5
Cuba	44.3
Curacao	..
Cyprus	75.5
Czech Republic	94.5
Denmark	94.8
Djibouti	36.4
Dominica	..
Dominican Republic	..
Ecuador	42
Egypt, Arab Rep.	60.7
El Salvador	..
Equatorial Guinea	..
Eritrea	..
Estonia	97.4
Eswatini	..
Ethiopia	..
Faroe Islands	..
Fiji	..
Finland	99.2
France	88.4
French Polynesia	..
Gabon	..
Gambia, The	..
Georgia	27.2
Germany	97.2
Ghana	..
Greece	90.4
Greenland	94.8
Grenada	..
Guam	..
Guatemala	..
Guinea	..
Guinea-Bissau	..
Guyana	..
Haiti	..
Honduras	..
Hungary	95.7
Iceland	81.8
India	..
Indonesia	..
Iran, Islamic Rep.	..
Iraq	41.1
Ireland	82.4
Isle of Man	..
Israel	93.7
Italy	96.2
Jamaica	..
Japan	98.8
Jordan	80.6
Kazakhstan	..
Kenya	..
Kiribati	..
Korea, Dem. People’s Rep.	..
Korea, Rep.	99.9
Kosovo	..
Kuwait	100
Kyrgyz Republic	..
Lao PDR	58.1
Latvia	85.8
Lebanon	21.8
Lesotho	..
Liberia	..
Libya	26.1
Liechtenstein	99.7
Lithuania	91.3
Luxembourg	96.6
Madagascar	16.6
Malawi	..
Malaysia	..
Maldives	88.6
Mali	..
Malta	18.7
Marshall Islands	93
Mauritania	..
Mauritius	..
Mexico	..
Micronesia, Fed. Sts.	50.4
Moldova	..
Monaco	..
Mongolia	100
Montenegro	..
Morocco	..
Mozambique	38.8
Myanmar	..
Namibia	..
Nepal	..
Netherlands	..
New Caledonia	97.5
New Zealand	..
Nicaragua	88.7
Niger	..
Nigeria	9.6
North Macedonia	26.7
Northern Mariana Islands	..
Norway	76.3
Oman	..
Pakistan	..
Palau	..
Panama	..
Papua New Guinea	..
Paraguay	58.5
Peru	42.8
Philippines	51.6
Poland	93.3
Portugal	84.7
Puerto Rico	32.5
Qatar	96
Romania	76.5
Russian Federation	61.3
Rwanda	..
Samoa	48.5
San Marino	77.2
Sao Tome and Principe	..
Saudi Arabia	77.8
Senegal	21.5
Serbia	24.7
Seychelles	..
Sierra Leone	13.3
Singapore	100
Sint Maarten (Dutch part)	..
Slovak Republic	82.5
Slovenia	83
Solomon Islands	..
Somalia	..
South Africa	..
South Sudan	..
Spain	96.6
Sri Lanka	..
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	..
Suriname	..
Sweden	93.4
Switzerland	99.5
Syrian Arab Republic	..
Tajikistan	..
Tanzania	25.4
Thailand	..
Timor-Leste	..
Togo	..
Tonga	..
Trinidad and Tobago	..
Tunisia	78.1
Turkey	65.2
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	6.3
Uganda	..
Ukraine	68.5
United Arab Emirates	96.3
United Kingdom	97.8
United States	90
Uruguay	..
Uzbekistan	..
Vanuatu	..
Venezuela, RB	23.8
Vietnam	..
Virgin Islands (U.S.)	..
West Bank and Gaza	61.2
Yemen, Rep.	..
Zambia	..
Zimbabwe	..
World	45
East Asia & Pacific	63.5
Europe & Central Asia	67.4
Latin America & Caribbean	31.3
Middle East & North Africa	34.7
North America	79.8
South Asia	..
Sub-Saharan Africa	18.7
Low income	..
Lower middle income	..
Upper middle income	59.6
High income	86
