Country	Savings %
Afghanistan	0
Albania	0.1
Algeria	0
American Samoa	..
Andorra	..
Angola	0
Antigua and Barbuda	0
Argentina	0.3
Armenia	3.2
Aruba	0
Australia	2.1
Austria	0
Azerbaijan	0.4
Bahamas, The	0
Bahrain	0
Bangladesh	0
Barbados	0
Belarus	0
Belgium	0
Belize	0
Benin	0
Bermuda	..
Bhutan	0
Bolivia	3.5
Bosnia and Herzegovina	0.2
Botswana	0.3
Brazil	0.8
Brunei Darussalam	0
Bulgaria	0.4
Burkina Faso	8.9
Burundi	0.7
Cabo Verde	0
Cambodia	0
Cameroon	0.1
Canada	0.4
Cayman Islands	0
Central African Republic	0.1
Chad	0
Channel Islands	..
Chile	7.2
China	0.2
Hong Kong SAR, China	0
Macao SAR, China	0
Colombia	0.4
Comoros	0
Congo, Dem. Rep.	12.6
Congo, Rep.	0
Costa Rica	0
Cote d'Ivoire	1.3
Croatia	0
Cuba	0
Curacao	0
Cyprus	0
Czech Republic	0
Denmark	0
Djibouti	0
Dominica	0
Dominican Republic	1.1
Ecuador	0.1
Egypt, Arab Rep.	0.2
El Salvador	0
Equatorial Guinea	0
Eritrea	..
Estonia	0
Eswatini	0
Ethiopia	0.3
Faroe Islands	..
Fiji	0.8
Finland	0.2
France	0
French Polynesia	..
Gabon	0.1
Gambia, The	0
Georgia	0.4
Germany	0
Ghana	5
Greece	0
Greenland	..
Grenada	0
Guam	..
Guatemala	0.4
Guinea	4.4
Guinea-Bissau	0
Guyana	12.4
Haiti	0
Honduras	0.4
Hungary	0
Iceland	0
India	0.3
Indonesia	0.6
Iran, Islamic Rep.	0.3
Iraq	0
Ireland	0
Isle of Man	0
Israel	0
Italy	0
Jamaica	0.2
Japan	0
Jordan	0.1
Kazakhstan	2.8
Kenya	0
Kiribati	0
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	0
Kosovo	0.4
Kuwait	0
Kyrgyz Republic	9.2
Lao PDR	2.9
Latvia	0
Lebanon	0
Lesotho	0
Liberia	6.6
Libya	0
Liechtenstein	0
Lithuania	0
Luxembourg	0
Madagascar	0.8
Malawi	0
Malaysia	0
Maldives	0
Mali	6.7
Malta	0
Marshall Islands	0
Mauritania	7.3
Mauritius	0
Mexico	0.5
Micronesia, Fed. Sts.	0
Moldova	0
Monaco	..
Mongolia	16.4
Montenegro	0.7
Morocco	0.2
Mozambique	0.5
Myanmar	0.9
Namibia	2.9
Nepal	0
Netherlands	0
New Caledonia	..
New Zealand	0.1
Nicaragua	1.3
Niger	0.3
Nigeria	0
North Macedonia	1
Northern Mariana Islands	..
Norway	0
Oman	0
Pakistan	0
Palau	0
Panama	0
Papua New Guinea	8.4
Paraguay	0
Peru	5.3
Philippines	0.7
Poland	0.2
Portugal	0
Puerto Rico	0
Qatar	0
Romania	0
Russian Federation	0.6
Rwanda	0.1
Samoa	0
San Marino	..
Sao Tome and Principe	0
Saudi Arabia	0.1
Senegal	0.8
Serbia	0.3
Seychelles	0
Sierra Leone	0.2
Singapore	0
Sint Maarten (Dutch part)	..
Slovak Republic	0
Slovenia	0
Solomon Islands	0.2
Somalia	0
South Africa	1.4
South Sudan	..
Spain	0
Sri Lanka	0
St. Kitts and Nevis	0
St. Lucia	0
St. Martin (French part)	..
St. Vincent and the Grenadines	0
Sudan	7
Suriname	17
Sweden	0.2
Switzerland	0
Syrian Arab Republic	..
Tajikistan	3.2
Tanzania	1.8
Thailand	0
Timor-Leste	0
Togo	5.6
Tonga	0
Trinidad and Tobago	0
Tunisia	0.1
Turkey	0.1
Turkmenistan	0
Turks and Caicos Islands	0
Tuvalu	0
Uganda	0.1
Ukraine	0.4
United Arab Emirates	0
United Kingdom	0
United States	0
Uruguay	0
Uzbekistan	5
Vanuatu	0
Venezuela, RB	..
Vietnam	0.1
Virgin Islands (U.S.)	..
West Bank and Gaza	0
Yemen, Rep.	..
Zambia	10.3
Zimbabwe	2.2
World	0.2
East Asia & Pacific	0.3
Europe & Central Asia	0.1
Latin America & Caribbean	1.2
Middle East & North Africa	0
North America	0.1
South Asia	0.2
Sub-Saharan Africa	1.6
Low income	3.3
Lower middle income	0.5
Upper middle income	0.4
High income	0.1
