Country	Male_2000	Male_2018	Female_2000	Female_2018
Afghanistan	26.8	46	8.9	9.8
Albania	38.6	43	29.9	42.8
Algeria	52.4	56.7	56.5	72.4
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	54.8	40.3	52.7	42.2
Antigua and Barbuda	..	..	..	..
Argentina	67.4	68.6	89.4	90.8
Armenia	38.5	48.6	42.7	57.4
Aruba	..	..	..	..
Australia	63.6	66.5	86.3	90.2
Austria	51.9	58.7	79.5	84.9
Azerbaijan	49.7	46.2	46.3	52.1
Bahamas, The	66.1	71.2	93.1	96.6
Bahrain	65.4	56.8	87.2	91.1
Bangladesh	28	46.3	12.6	24.2
Barbados	65.2	67.3	86.2	89.2
Belarus	42.5	43.1	66.5	73.2
Belgium	61.4	66.8	87.1	90.8
Belize	45.4	56.2	82.8	85.8
Benin	26.6	31.7	38.3	52.5
Bermuda	..	..	..	..
Bhutan	33.7	38.8	20.3	25.8
Bolivia	34.8	42.1	53.1	58.7
Bosnia and Herzegovina	39.9	43.5	54.6	66
Botswana	51.3	49.3	68.5	73.9
Brazil	52.1	59.8	76.9	85.1
Brunei Darussalam	69.1	77	89.1	90.4
Bulgaria	47	54.6	62.1	73.4
Burkina Faso	10.4	34.6	16.4	48.6
Burundi	9.1	9.6	2.6	3.6
Cabo Verde	48.8	53.5	72.8	82.3
Cambodia	20.6	38.7	15.5	37.3
Cameroon	25	42	22.6	40.1
Canada	63.5	68.4	86.9	90.6
Cayman Islands	..	..	..	..
Central African Republic	14.9	18.2	11.1	15.7
Chad	16.2	18.6	15.5	24.2
Channel Islands	50.4	61.3	76.7	87.1
Chile	51.3	56.8	83	84.6
China	25.7	41.3	29.7	51.3
Hong Kong SAR, China	72.2	80.4	89.4	95.9
Macao SAR, China	58	82.3	87.1	97.3
Colombia	48.5	53.3	76.1	77.3
Comoros	32.4	37.8	22.4	33.9
Congo, Dem. Rep.	22.2	25.6	15.4	23.4
Congo, Rep.	36.3	42.4	31.8	44.6
Costa Rica	52.6	57.8	79.7	84.6
Cote d'Ivoire	35.5	38.2	40	57.7
Croatia	47.6	54.9	62.8	79.7
Cuba	44.2	54.7	72.2	82.2
Curacao	..	..	..	..
Cyprus	63.2	71.5	82.4	92.6
Czech Republic	43.9	48	69	74.3
Denmark	59.3	69.1	84.5	90.3
Djibouti	40.8	48.3	46.4	60.7
Dominica	..	..	..	..
Dominican Republic	51.3	59.2	77.2	89.2
Ecuador	43.1	45.6	60.8	63.1
Egypt, Arab Rep.	48	46.3	53.7	56.9
El Salvador	41.9	48.3	71.9	78.7
Equatorial Guinea	30.3	33.5	41.7	46
Eritrea	26.1	30.8	21.3	28.9
Estonia	44.6	54	72.9	81
Eswatini	55.5	60.5	54.4	66.5
Ethiopia	11.4	16.2	23.2	31.6
Faroe Islands	..	..	..	..
Fiji	34.9	46.6	38.4	56.1
Finland	51.6	60	81.9	89
France	58.7	66.4	83.1	89
French Polynesia	63.4	68.5	85.2	90.9
Gabon	56.2	60.1	38.1	48.5
Gambia, The	46.4	52.6	48.6	62.2
Georgia	37.8	39.3	38.2	49.7
Germany	51.7	59.4	79.6	85.2
Ghana	26.6	43.7	35.6	53.9
Greece	55.3	66.9	68.2	80.5
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	79.7	77.7	96.4	96.4
Guatemala	27.4	38.2	57.5	72.9
Guinea	23.7	28.7	22.9	34
Guinea-Bissau	21.2	24.4	17.1	24.7
Guyana	40.9	46	73.9	82.5
Haiti	38.2	47	75.8	84.8
Honduras	28.5	35.9	67	71.1
Hungary	49.9	50.7	71.9	77.3
Iceland	54.8	68.3	85.4	91.3
India	27.5	32.9	14	27.2
Indonesia	36.7	43.3	38.3	55.5
Iran, Islamic Rep.	45.4	50.3	43.4	53.9
Iraq	51	57.8	58.2	71.1
Ireland	50.6	64.9	82.5	90.1
Isle of Man	..	..	..	..
Israel	64.5	73.1	85.4	91.5
Italy	55.9	59.7	75.1	84.5
Jamaica	46.9	53.7	84.5	85.1
Japan	57.1	63.6	72.9	82.8
Jordan	73.2	69.6	83.1	85.7
Kazakhstan	40	53.6	55.4	73.9
Kenya	43.6	38.7	35.7	36.7
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	29.6	36.6	23.5	32.9
Korea, Rep.	56.2	61.1	68.7	81.8
Kosovo	..	..	..	..
Kuwait	69.1	65.9	97.3	96.6
Kyrgyz Republic	35.3	47.7	38	65.3
Lao PDR	16.5	24.2	11.1	26.2
Latvia	48.9	55.5	68.3	83
Lebanon	55	61.3	59.2	70.8
Lesotho	31.9	36.4	57.3	65.4
Liberia	34.4	39.8	40.7	53.1
Libya	47.4	55.3	53.6	66
Liechtenstein	..	..	..	..
Lithuania	43.8	55.1	63.8	78.7
Luxembourg	66.8	80.2	92.1	95.4
Madagascar	15.7	22.6	13.6	30.5
Malawi	32	38.6	31.9	45.7
Malaysia	45.3	54.9	57	74.1
Maldives	57.9	71.8	54.4	76.5
Mali	18.9	28	18.6	31.1
Malta	61.1	73.2	74.6	90.7
Marshall Islands	..	..	..	..
Mauritania	26.8	33.6	26.2	38.9
Mauritius	50.1	61.8	47.7	78.7
Mexico	47.7	50.5	71.2	78.6
Micronesia, Fed. Sts.	..	..	..	..
Moldova	30.2	39	39.8	55.8
Monaco	..	..	..	..
Mongolia	32.8	44.3	42.5	62.8
Montenegro	58	63.9	75.9	85
Morocco	39	46.2	23.2	32.9
Mozambique	23.1	25.8	8.7	16.6
Myanmar	22.9	30.3	28.6	40.2
Namibia	50.1	51	64	71.3
Nepal	18.2	23.3	9.9	16.6
Netherlands	65.4	72.6	88.2	92.4
New Caledonia	59.3	64.6	88.5	92.1
New Zealand	56.4	63.1	81.9	86.9
Nicaragua	39.9	36.7	72.8	78.9
Niger	14.6	16.6	12.2	18.7
Nigeria	34.3	43.7	45	62.8
North Macedonia	39.7	49.3	43.5	58.5
Northern Mariana Islands	..	..	..	..
Norway	61.3	66.4	88.3	91.9
Oman	82.7	58	81	95.3
Pakistan	39.4	42.7	19	17.1
Palau	..	..	..	..
Panama	53.1	57	89	82.2
Papua New Guinea	24.9	32.8	21	35.7
Paraguay	39.1	50.7	69.3	77.3
Peru	45	50.1	59.2	65.4
Philippines	36.8	44.6	62.9	75.8
Poland	40.1	45.9	62.8	74.2
Portugal	44.5	58	63.1	80.7
Puerto Rico	69.4	76.7	85.1	91.6
Qatar	53.6	36.6	97.1	93.6
Romania	26.6	41	31.7	56.3
Russian Federation	47.1	55	66	80.3
Rwanda	12.6	31.6	5.6	24.8
Samoa	31.9	39.4	52.7	60
San Marino	..	..	..	..
Sao Tome and Principe	36.6	49.6	75.9	87.4
Saudi Arabia	70.6	69	96.2	97.3
Senegal	37.7	47.3	48.9	68.7
Serbia	41	48.9	54.2	67.7
Seychelles	..	..	..	..
Sierra Leone	23.5	30.3	24	45.9
Singapore	67.9	79.7	76.5	88.8
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	43.6	47.2	70.2	78.2
Slovenia	44.9	49.7	62	74.7
Solomon Islands	39.9	47.3	44	57.6
Somalia	11.6	13.8	7.7	11.2
South Africa	54.3	61.6	76.7	84.5
South Sudan	33.9	38.5	13.4	18.3
Spain	52	64.5	80.8	88.7
Sri Lanka	38.3	46.5	29	44
St. Kitts and Nevis	..	..	..	..
St. Lucia	49.6	51	71.3	81.1
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	49.5	55.4	83.1	88.4
Sudan	38.2	44.1	30.2	40.4
Suriname	59.5	57.7	87.4	88.7
Sweden	59.5	69.3	87.1	92
Switzerland	59.6	66.9	83.6	87.6
Syrian Arab Republic	43.2	58.7	30.6	83.6
Tajikistan	28.1	43	16.9	31.7
Tanzania	15.2	26.3	13	28.9
Thailand	29.7	40.2	35.1	50.8
Timor-Leste	32	40.9	33.8	50.1
Togo	40.3	47.3	36.7	50.4
Tonga	36.3	46.9	36.5	46.6
Trinidad and Tobago	53.1	58.1	83.6	86.1
Tunisia	49.7	52.9	41.5	57.2
Turkey	43.5	53.5	22.9	57.9
Turkmenistan	31.4	34	36.6	42.4
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	26.6	21.6	17.2	19.4
Ukraine	39.4	48.7	57.8	73.8
United Arab Emirates	55	57.8	86.3	94.5
United Kingdom	61.6	71	87.3	91.9
United States	63.5	68.8	86.4	90.5
Uruguay	55.6	60.2	80.2	87.6
Uzbekistan	33.8	38.5	43.5	57.8
Vanuatu	26.5	33.7	28.2	42
Venezuela, RB	55.2	64.2	85.5	90.6
Vietnam	21.1	31.9	23.6	37.5
Virgin Islands (U.S.)	52.4	61.7	87.6	91.5
West Bank and Gaza	51.4	58.4	53.9	83.7
Yemen, Rep.	49.5	61.8	29.8	42
Zambia	25.2	39.1	18.8	40.6
Zimbabwe	29.8	25.5	25.7	28
World	36.4	44.6	43.7	57.8
East Asia & Pacific	30.7	43.3	35.2	54.7
Europe & Central Asia	49	56.8	68	79.3
Latin America & Caribbean	49.8	55.1	74.9	80.8
Middle East & North Africa	50.4	54.8	51.8	66.3
North America	63.5	68.7	86.5	90.5
South Asia	28.7	35.5	14.2	25.2
Sub-Saharan Africa	27.7	32.7	28.7	39.2
Low income	23.6	29.7	20	29.7
Lower middle income	30.3	37	26.3	39.4
Upper middle income	33.9	46.2	40.1	59.8
High income	57.6	63.8	79.3	86.6
