Country	GDP (2010)	GDP (2019)
Afghanistan	48.9	52.1
Albania	44	48.6
Algeria	38.2	45.9
American Samoa	..	..
Andorra	..	..
Angola	41.9	43.2
Antigua and Barbuda	70.7	66.8
Argentina	51.5	53.6
Armenia	45.7	54.2
Aruba	69.6	..
Australia	65.7	66.1
Austria	62.3	62.5
Azerbaijan	28.2	37.4
Bahamas, The	81.1	74.2
Bahrain	53.7	54.9
Bangladesh	53.5	52.8
Barbados	..	..
Belarus	43.5	48.8
Belgium	67.7	69.7
Belize	60.3	65.5
Benin	44.5	48
Bermuda	..	..
Bhutan	37.3	39.9
Bolivia	43.6	50.7
Bosnia and Herzegovina	55.6	55.5
Botswana	55	60.6
Brazil	57.6	63.3
Brunei Darussalam	32.5	38.2
Bulgaria	59.6	60.7
Burkina Faso	42.1	44
Burundi	37	47.9
Cabo Verde	61.2	61.4
Cambodia	38.3	38.8
Cameroon	52.1	49.3
Canada	65.5	..
Cayman Islands	87.6	87
Central African Republic	29.3	43.6
Chad	33.4	40.5
Channel Islands	..	..
Chile	52.8	58.7
China	44.2	53.9
Hong Kong SAR, China	90.9	88.6
Macao SAR, China	94.4	94.2
Colombia	53.4	57.5
Comoros	53.2	53.5
Congo, Dem. Rep.	35.4	35.4
Congo, Rep.	20.8	35.4
Costa Rica	61.8	69.6
Cote d'Ivoire	53.1	53.9
Croatia	59	59.1
Cuba	72.5	70
Curacao	77	73.5
Cyprus	71.6	71.9
Czech Republic	55.6	56.2
Denmark	65.4	64.9
Djibouti	..	75.2
Dominica	60.3	52.5
Dominican Republic	59.3	60.3
Ecuador	51.1	51.9
Egypt, Arab Rep.	46.2	50.5
El Salvador	59.5	59.9
Equatorial Guinea	24.7	46.7
Eritrea	..	..
Estonia	60.2	61.4
Eswatini	49.6	53.1
Ethiopia	41.8	36.9
Faroe Islands	58.3	52.6
Fiji	57.5	53.9
Finland	58.9	60.3
France	70.7	70.2
French Polynesia	..	..
Gabon	32.4	40.1
Gambia, The	49.2	58.5
Georgia	63.1	60.4
Germany	62.3	62.4
Ghana	48.2	44.1
Greece	71.6	68.1
Greenland	65.6	60.5
Grenada	68.4	66.3
Guam	..	..
Guatemala	58.5	62.7
Guinea	43.4	41.5
Guinea-Bissau	39.4	37.2
Guyana	43.1	38.4
Haiti	18	12.1
Honduras	60.6	57.6
Hungary	56.3	55.3
Iceland	61.9	65.5
India	45	49.9
Indonesia	40.7	44.2
Iran, Islamic Rep.	51.1	54.4
Iraq	39	42.2
Ireland	66.5	56.7
Isle of Man	79.4	87.6
Israel	66.6	69.8
Italy	66.3	66.3
Jamaica	66.5	59.3
Japan	70.2	69.3
Jordan	60.2	61.8
Kazakhstan	51.7	55.5
Kenya	48.1	43.2
Kiribati	63.5	63.3
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	54.7	56.8
Kosovo	46.4	47.4
