Country	Millions	Debt	Reserves
Afghanistan	364	14	4.4
Albania	2165	21.4	55.6
Algeria	2319	40.6	2.7
American Samoa	..	..	..
Andorra	..	..	..
Angola	2312	4.2	15
Antigua and Barbuda	..	..	..
Argentina	67583	24.1	102.1
Armenia	1134	10.3	50.2
Aruba	..	..	..
Australia	..	..	..
Austria	..	..	..
Azerbaijan	570	3.5	8.5
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	9031	17.3	28.2
Barbados	..	..	..
Belarus	9602	24.7	134.2
Belgium	..	..	..
Belize	4	0.3	1.2
Benin	56	1.5	..
Bermuda	..	..	..
Bhutan	4	0.2	0.4
Bolivia	703	5.3	7.9
Bosnia and Herzegovina	267	1.7	3.9
Botswana	251	14.3	3.8
Brazil	66844	12	17.8
Brunei Darussalam	..	..	..
Bulgaria	9695	24.3	33.8
Burkina Faso	0	0	..
Burundi	0	0	0.4
Cabo Verde	2	0.1	0.2
Cambodia	2366	17.7	17
Cameroon	433	4	12.5
Canada	..	..	..
Cayman Islands	..	..	..
Central African Republic	90	11.6	25
Chad	14	0.4	9.6
Channel Islands	..	..	..
Chile	..	..	..
China	1218901	62.1	38.5
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	15105	11.2	31.5
Comoros	1	0.6	0.6
Congo, Dem. Rep.	97	1.9	14.6
Congo, Rep.	305	5.9	71.9
Costa Rica	3370	12.1	44.9
Cote d'Ivoire	138	0.9	..
Croatia	..	..	..
Cuba	..	..	..
Curacao	..	..	..
Cyprus	..	..	..
Czech Republic	..	..	..
Denmark	..	..	..
Djibouti	244	7.5	53.7
Dominica	13	4.7	6.9
Dominican Republic	2118	6.2	27.4
Ecuador	751	1.7	34.8
Egypt, Arab Rep.	10341	10.5	24.7
El Salvador	2070	11.8	58
Equatorial Guinea	..	..	..
Eritrea	35	4.4	21.4
Estonia	..	..	..
Ethiopia	749	2.7	18.8
Faroe Islands	..	..	..
Fiji	45	5.2	4.7
Finland	..	..	..
France	..	..	..
French Polynesia	..	..	..
Gabon	187	2.8	14.2
Gambia, The	18	2.6	9.4
Georgia	2669	15.6	81.1
Germany	..	..	..
Ghana	3634	15.6	57.7
Greece	..	..	..
Greenland	..	..	..
Grenada	118	18.3	50.4
Guam	..	..	..
Guatemala	914	4.1	7.3
Guinea	152	6	12.6
Guinea-Bissau	43	10.1	..
Guyana	125	7.8	24.1
Haiti	0	0	0
Honduras	702	7.2	14.7
Hungary	..	..	..
Iceland	..	..	..
India	104171	20	26.1
Indonesia	47960	12.6	39.7
Iran, Islamic Rep.	3959	62.6	..
Iraq	..	..	..
Ireland	..	..	..
Isle of Man	..	..	..
Israel	..	..	..
Italy	..	..	..
Jamaica	1993	12.2	56.4
Japan	..	..	..
Jordan	11511	35.9	..
Kazakhstan	8365	5.3	27
Kenya	2546	8.1	31.1
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
Korea, Rep.	..	..	..
Kosovo	796	34.7	90.3
Kuwait	..	..	..
Kyrgyz Republic	460	5.7	21.3
Lao PDR	404	2.6	41.2
Latvia	..	..	..
Lebanon	5547	7	10.6
Lesotho	1	0.1	0.1
Liberia	0	0	0
Libya	..	..	..
Liechtenstein	..	..	..
Lithuania	..	..	..
Luxembourg	..	..	..
North Macedonia	1344	15.4	40.9
Madagascar	271	7.3	15.6
Malawi	23	1	3
Malaysia	..	..	..
Maldives	263	11.3	36.4
Mali	111	2.3	..
Malta	..	..	..
Marshall Islands	..	..	..
Mauritania	1052	20.2	112.6
Mauritius	4794	42.8	75.5
Mexico	61095	13.5	34.6
Micronesia, Fed. Sts.	..	..	..
Moldova	1910	26.2	63.8
Monaco	..	..	..
Mongolia	3098	10.5	87.3
Montenegro	207	2.6	17.2
Morocco	7446	15.2	30.4
Mozambique	1231	8.1	37.8
Myanmar	879	5.9	15.6
Namibia	..	..	..
Nepal	252	4.6	3
Netherlands	..	..	..
New Caledonia	..	..	..
New Zealand	..	..	..
Nicaragua	1363	11.7	60.3
Niger	70	2.2	..
Nigeria	0	0	0
Northern Mariana Islands	..	..	..
Norway	..	..	..
Oman	..	..	..
Pakistan	8302	9.1	70.1
Palau	..	..	..
Panama	..	..	..
Papua New Guinea	462	2.6	20.6
Paraguay	4640	29.4	60.3
Peru	9998	15	16.6
Philippines	16068	20.4	20.3
Poland	..	..	..
Portugal	..	..	..
Puerto Rico	..	..	..
Qatar	..	..	..
Romania	15863	14.1	37.7
Russian Federation	48300	10.6	10.3
Rwanda	105	1.9	8.5
Samoa	0	0	0
San Marino	..	..	..
Sao Tome and Principe	10	3.9	22.5
Saudi Arabia	..	..	..
Senegal	0	0	..
Serbia	2113	6.2	16.4
Seychelles	..	..	..
Sierra Leone	189	11	37.5
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	..	..
Slovenia	..	..	..
Solomon Islands	43	11.1	7
Somalia	823	28.1	..
South Africa	36630	20.4	70.9
South Sudan	..	..	..
Spain	..	..	..
Sri Lanka	8181	15.5	118.2
St. Kitts and Nevis	..	..	..
St. Lucia	91	14.8	31.9
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	0	0	0
Sudan	5382	24.9	..
Suriname	..	..	..
Eswatini	24	4.7	5.4
Sweden	..	..	..
Switzerland	..	..	..
Syrian Arab Republic	549	12	..
Tajikistan	874	14.6	68
Tanzania	1812	9.7	35.9
Thailand	60305	35.6	29.3
Timor-Leste	3	1.6	0.4
Togo	279	15.8	..
Tonga	0	0	0
Trinidad and Tobago	..	..	..
Tunisia	8093	23.3	143
Turkey	115421	25.9	124.1
Turkmenistan	307	33.8	..
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	509	4.1	15.2
Ukraine	20690	18.1	99.4
United Arab Emirates	..	..	..
United Kingdom	..	..	..
United States	..	..	..
Uruguay	..	..	..
Uzbekistan	722	4.1	2.7
Vanuatu	45	11.2	10.7
Venezuela, RB	46221	29.8	..
Vietnam	19585	18.1	35.3
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	..	..	..
Yemen, Rep.	362	5.1	..
Zambia	667	3.5	42.5
Zimbabwe	3374	27.5	3880.6
World	..	..	..
East Asia & Pacific	..	..	..
Europe & Central Asia	..	..	..
Latin America & Caribbean	..	..	30.3
Middle East & North Africa	..	..	..
North America	..	..	..
South Asia	130569	17.9	27.9
Sub-Saharan Africa	..	..	36.1
Low income	9076	6	15.7
Lower middle income	287045	14.5	26.2
Upper middle income	1852694	32.5	35.8
High income	..	..	..
