Country	Most recent year	Tariff
Afghanistan	..	..
Albania	2017	100
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	2016	100
Antigua and Barbuda	2017	97.5
Argentina	2017	100
Armenia	2017	100
Aruba	..	..
Australia	2017	97.2
Austria	2017	100
Azerbaijan	..	..
Bahamas, The	..	..
Bahrain	2017	72.2
Bangladesh	2016	17.2
Barbados	2013	97.5
Belarus	..	..
Belgium	2017	100
Belize	2017	96.6
Benin	2017	39.8
Bermuda	..	..
Bhutan	..	..
Bolivia	2017	100
Bosnia and Herzegovina	..	..
Botswana	2017	94.4
Brazil	2017	100
Brunei Darussalam	2017	95.5
Bulgaria	2017	100
Burkina Faso	2017	39.8
Burundi	2016	22.9
Cabo Verde	2015	100
Cambodia	2016	100
Cameroon	2014	14.4
Canada	2017	99.7
Cayman Islands	..	..
Central African Republic	2017	61.5
Chad	2016	13.6
Channel Islands	..	..
Chile	2017	100
China	2017	100
Hong Kong SAR, China	2017	49.8
Macao SAR, China	2017	28.1
Colombia	2017	100
Comoros	..	..
Congo, Dem. Rep.	2014	100
Congo, Rep.	2015	17.2
Costa Rica	2016	100
Cote d'Ivoire	2017	34.2
Croatia	2017	100
Cuba	2017	32.4
Curacao	..	..
Czech Republic	2017	100
Denmark	2017	100
Djibouti	2014	100
Dominica	2017	94.3
Dominican Republic	2017	100
Ecuador	2017	94.4
Egypt, Arab Rep.	2017	99.4
El Salvador	2017	100
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	2017	100
Ethiopia	..	..
Faroe Islands	..	..
Fiji	2017	51.5
Finland	2017	100
France	2017	100
French Polynesia	..	..
Gabon	2016	96.9
Gambia, The	2013	13.9
Georgia	2016	100
Germany	2017	100
Ghana	2017	15.4
Greece	2017	100
Greenland	..	..
Grenada	2016	100
Guam	..	..
Guatemala	2015	100
Guinea	2017	39.4
Guinea-Bissau	2017	97.7
Guyana	2017	100
Haiti	2016	88.1
Honduras	2015	100
Hungary	2017	100
Iceland	2017	95.3
India	2017	74.4
Indonesia	2017	96.5
Iran, Islamic Rep.	..	..
Iraq	..	..
Ireland	2017	100
Isle of Man	..	..
Israel	2017	75.8
Italy	2017	100
Jamaica	2016	100
Japan	2017	99.7
Jordan	2017	100
Kazakhstan	2017	100
Kenya	2016	16.5
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2017	94.5
Kosovo	..	..
Kuwait	2017	99.9
Kyrgyz Republic	2017	99.9
Lao PDR	2017	100
Latvia	2017	100
Lebanon	..	..
Lesotho	2017	100
Liberia	..	..
Libya	..	..
Liechtenstein	2017	0
Lithuania	2017	100
Luxembourg	2017	100
North Macedonia	2017	100
Madagascar	2017	30.7
Malawi	2016	34
Malaysia	2016	83.6
Maldives	2017	95.1
Mali	2017	40.6
Malta	2017	100
Marshall Islands	..	..
Mauritania	2015	40.6
Mauritius	2017	21.4
Mexico	2017	100
Micronesia, Fed. Sts.	..	..
Moldova	2016	100
Monaco	..	..
Mongolia	2017	100
Montenegro	2017	0
Morocco	2017	100
Mozambique	2016	13.8
Myanmar	2015	18.8
Namibia	2017	94.4
Nepal	2016	99.4
Netherlands	2017	100
New Caledonia	..	..
New Zealand	2017	100
Nicaragua	2017	100
Niger	2017	96.8
Nigeria	2016	20.1
Northern Mariana Islands	..	..
Norway	2017	100
Oman	2017	100
Pakistan	2016	98.7
Palau	..	..
Panama	2015	93.9
Papua New Guinea	2013	100
Paraguay	2017	100
Peru	2017	100
Philippines	2017	61.9
Poland	2017	100
Portugal	2017	100
Puerto Rico	..	..
Qatar	2017	100
Romania	2017	100
Russian Federation	2017	100
Rwanda	2016	100
Samoa	2017	100
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	2017	100
Senegal	2017	100
Serbia	..	..
Seychelles	2017	100
Sierra Leone	2012	100
Singapore	2017	72.2
Sint Maarten (Dutch part)	..	..
Slovak Republic	2017	100
Slovenia	2017	100
Solomon Islands	2017	100
Somalia	..	..
South Africa	2017	94.4
South Sudan	..	..
Spain	2017	100
Sri Lanka	2017	40.5
St. Kitts and Nevis	2017	97.5
St. Lucia	2016	99.8
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2017	99.7
Sudan	..	..
Suriname	2013	27.5
Eswatini	2017	90.9
Sweden	2017	100
Switzerland	2017	99.7
Syrian Arab Republic	..	..
Tajikistan	2017	100
Tanzania	2016	14.5
Thailand	2015	76.5
Timor-Leste	..	..
Togo	2017	15.2
Tonga	2017	100
Trinidad and Tobago	2013	100
Tunisia	2016	58.3
Turkey	2017	51.8
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2016	17
Ukraine	2017	100
United Arab Emirates	2017	100
United Kingdom	2017	100
United States	2017	100
Uruguay	2017	100
Uzbekistan	..	..
Vanuatu	2017	100
Venezuela, RB	2017	100
Vietnam	2017	93.8
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	2017	100
Zambia	2016	17.8
Zimbabwe	2016	24.4
World	2017	22.8
East Asia & Pacific	2017	31.9
Europe & Central Asia	2017	15.4
Latin America & Caribbean	2017	43.7
Middle East & North Africa	2017	9
North America	..	..
South Asia	2017	13.5
Sub-Saharan Africa	2017	9.3
Low income	2017	13.5
Lower middle income	..	..
Upper middle income	2017	28.4
High income	2017	16.7
