Country	Most recent year	Tariff
Afghanistan	..	6.2
Albania	2017	1
Algeria	..	12.1
American Samoa	..	..
Andorra	..	..
Angola	2016	9.2
Antigua and Barbuda	2017	11.4
Argentina	2017	13.2
Armenia	2017	4.5
Aruba	..	11.1
Australia	2017	2.4
Austria	2017	1.7
Azerbaijan	..	8.4
Bahamas, The	..	28.5
Bahrain	2017	3.9
Bangladesh	2016	12.9
Barbados	2013	9.8
Belarus	..	4.9
Belgium	2017	1.7
Belize	2017	10.4
Benin	2017	12.9
Bermuda	..	20.5
Bhutan	..	10.6
Bolivia	2017	10.4
Bosnia and Herzegovina	..	2.8
Botswana	2017	4.1
Brazil	2017	14
Brunei Darussalam	2017	0.2
Bulgaria	2017	1.7
Burkina Faso	2017	12.1
Burundi	2016	10.1
Cabo Verde	2015	14.5
Cambodia	2016	12
Cameroon	2014	18.3
Canada	2017	1.6
Cayman Islands	..	21.4
Central African Republic	2017	15.8
Chad	2016	17.9
Channel Islands	..	..
Chile	2017	1
China	2017	8.4
Hong Kong SAR, China	2017	0
Macao SAR, China	2017	0
Colombia	2017	4.4
Comoros	..	11.5
Congo, Dem. Rep.	2014	11.6
Congo, Rep.	2015	12.4
Costa Rica	2016	3.7
Cote d'Ivoire	2017	12.3
Croatia	2017	1.7
Cuba	2017	9.8
Curacao	..	..
Czech Republic	2017	1.7
Denmark	2017	1.7
Djibouti	2014	20.1
Dominica	2017	8.9
Dominican Republic	2017	5.9
Ecuador	2017	9.6
Egypt, Arab Rep.	2017	6.6
El Salvador	2017	3.6
Equatorial Guinea	..	18.1
Eritrea	..	9.6
Estonia	2017	1.7
Ethiopia	..	17.8
Faroe Islands	..	..
Fiji	2017	12.2
Finland	2017	1.7
France	2017	1.7
French Polynesia	..	6.9
Gabon	2016	18.7
Gambia, The	2013	15.6
Georgia	2016	0.8
Germany	2017	1.7
Ghana	2017	11.7
Greece	2017	1.7
Greenland	..	..
Grenada	2016	10
Guam	..	..
Guatemala	2015	3.2
Guinea	2017	12.6
Guinea-Bissau	2017	13.4
Guyana	2017	8.6
Haiti	2016	5.8
Honduras	2015	4.1
Hungary	2017	1.7
Iceland	2017	0
India	2017	7.8
Indonesia	2017	5.8
Iran, Islamic Rep.	..	21.4
Iraq	..	..
Ireland	2017	1.7
Isle of Man	..	..
Israel	2017	1.4
Italy	2017	1.7
Jamaica	2016	9.2
Japan	2017	2.1
Jordan	2017	3.8
Kazakhstan	2017	4.8
Kenya	2016	11.5
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2017	2.4
Kosovo	..	..
Kuwait	2017	4
Kyrgyz Republic	2017	4.2
Lao PDR	2017	1.9
Latvia	2017	1.7
Lebanon	..	2.4
Lesotho	2017	2.5
Liberia	..	9.7
Libya	..	0
Liechtenstein	2017	..
Lithuania	2017	1.7
Luxembourg	2017	1.7
North Macedonia	2017	2.9
Madagascar	2017	6.8
Malawi	2016	9.1
Malaysia	2016	5.8
Maldives	2017	11.9
Mali	2017	12.3
Malta	2017	1.7
Marshall Islands	..	..
Mauritania	2015	12.5
Mauritius	2017	1.2
Mexico	2017	2.8
Micronesia, Fed. Sts.	..	..
Moldova	2016	4.9
Monaco	..	..
Mongolia	2017	4.9
Montenegro	2017	2.2
Morocco	2017	3.8
Mozambique	2016	6.8
Myanmar	2015	1.9
Namibia	2017	6.3
Nepal	2016	11.9
Netherlands	2017	1.7
New Caledonia	..	..
New Zealand	2017	2.2
Nicaragua	2017	3.3
Niger	2017	12.6
Nigeria	2016	11.3
Northern Mariana Islands	..	..
Norway	2017	0.4
Oman	2017	3.4
