Country	Tax
Afghanistan	71.4
Albania	3.6
Algeria	26.9
American Samoa	..
Andorra	..
Angola	18.6
Antigua and Barbuda	5.3
Argentina	72.8
Armenia	0.8
Aruba	..
Australia	0.3
Austria	0.6
Azerbaijan	2.6
Bahamas, The	27.4
Bahrain	0.3
Bangladesh	2.3
Barbados	3.1
Belarus	3.2
Belgium	0.6
Belize	1.3
Benin	10.6
Bermuda	..
Bhutan	1.4
Bolivia	64.9
Bosnia and Herzegovina	1.7
Botswana	3.6
Brazil	3.3
Brunei Darussalam	0
Bulgaria	2
Burkina Faso	3.6
Burundi	2.5
Cabo Verde	0.4
Cambodia	1.8
Cameroon	0.5
Canada	3.8
Cayman Islands	..
Central African Republic	53.6
Chad	3.8
Channel Islands	..
Chile	2.6
China	30.2
Hong Kong SAR, China	0.1
Macao SAR, China	..
Colombia	26.6
Comoros	189.2
Congo, Dem. Rep.	14.5
Congo, Rep.	22.9
Costa Rica	6.4
Cote d'Ivoire	17.9
Croatia	1.1
Cuba	..
Curacao	..
Cyprus	1.1
Czech Republic	2.6
Denmark	2.8
Djibouti	2.6
Dominica	3
Dominican Republic	1.1
Ecuador	2.5
Egypt, Arab Rep.	4.4
El Salvador	1.4
Equatorial Guinea	1
Eritrea	74.6
Estonia	2.1
Ethiopia	0.7
Faroe Islands	..
Fiji	0.1
Finland	1.5
France	10.5
French Polynesia	..
Gabon	1.4
Gambia, The	11.3
Georgia	2.1
Germany	4.1
Ghana	30.7
Greece	0.6
Greenland	..
Grenada	15.6
Guam	..
Guatemala	0.7
Guinea	40.7
Guinea-Bissau	5.6
Guyana	1.7
Haiti	7.5
Honduras	1.1
Hungary	2.1
Iceland	2.9
India	7.9
Indonesia	0.4
Iran, Islamic Rep.	0.4
Iraq	2.3
Ireland	1.4
Isle of Man	..
Israel	1.5
Italy	1.6
Jamaica	8.1
Japan	4.2
Jordan	2
Kazakhstan	1.9
Kenya	5.2
Kiribati	0
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	1.4
Kosovo	0.2
Kuwait	0
Kyrgyz Republic	2.8
Lao PDR	0.9
Latvia	3.1
Lebanon	0.4
Lesotho	2.8
Liberia	4.8
Libya	0.2
Liechtenstein	-2
Lithuania	1.5
Luxembourg	0.8
North Macedonia	1.9
Madagascar	1.5
Malawi	1.7
Malaysia	2.5
Maldives	9.2
Mali	3.9
Malta	0.5
Marshall Islands	53
Mauritania	56.7
Mauritius	3.7
Mexico	0.9
Micronesia, Fed. Sts.	52.1
Moldova	0.3
Monaco	..
Mongolia	2
Montenegro	0.5
Morocco	1.4
Mozambique	0.8
Myanmar	4.2
Namibia	2.2
Nepal	0.7
Netherlands	0.3
New Caledonia	..
New Zealand	1.9
Nicaragua	19.6
Niger	3.4
Nigeria	0.3
Northern Mariana Islands	..
Norway	0.3
Oman	0
Pakistan	1.1
Palau	0.1
Panama	4.8
Papua New Guinea	4.4
Paraguay	6.7
Peru	3.2
Philippines	14
Poland	1
Portugal	0.5
Puerto Rico	20.2
Qatar	0
Romania	1
Russian Federation	2.5
Rwanda	1.5
Samoa	0
San Marino	0.3
Sao Tome and Principe	10.8
Saudi Arabia	0
Senegal	5
Serbia	3.4
Seychelles	9.1
Sierra Leone	1
Singapore	1.1
Sint Maarten (Dutch part)	..
Slovak Republic	0.9
Slovenia	0.2
Solomon Islands	0.3
Somalia	..
South Africa	3.4
South Sudan	3
Spain	0.7
Sri Lanka	37.1
St. Kitts and Nevis	8
St. Lucia	3.3
St. Martin (French part)	..
St. Vincent and the Grenadines	3.3
Sudan	14.7
Suriname	0
Eswatini	4.1
Sweden	0.6
Switzerland	1.8
Syrian Arab Republic	0.4
Tajikistan	21.1
Tanzania	5.7
Thailand	1.9
Timor-Leste	0
Togo	14.7
Tonga	0.7
Trinidad and Tobago	5.3
Tunisia	21.8
Turkey	2.5
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	0.1
Ukraine	1.1
United Arab Emirates	1.8
United Kingdom	2
United States	6.1
Uruguay	2.6
Uzbekistan	2.5
Vanuatu	4
Venezuela, RB	45.7
Vietnam	0.1
Virgin Islands (U.S.)	..
West Bank and Gaza	0.3
Yemen, Rep.	1.6
Zambia	3.1
Zimbabwe	8.3
World	8.2
East Asia & Pacific	6.4
Europe & Central Asia	2.1
Latin America & Caribbean	11.5
Middle East & North Africa	3.3
North America	5
South Asia	16.4
Sub-Saharan Africa	14.5
Low income	13.5
Lower middle income	13.6
Upper middle income	6.7
High income	2.7
