Country	Mammals	Birds	Fishes	Higher plants
Afghanistan	11	16	4	5
Albania	3	8	44	4
Algeria	14	15	41	22
American Samoa	1	8	12	1
Andorra	2	3	0	0
Angola	18	32	53	34
Antigua and Barbuda	2	3	31	4
Argentina	38	52	42	70
Armenia	9	14	3	74
Aruba	2	2	24	2
Australia	63	52	125	108
Austria	3	13	11	17
Azerbaijan	8	17	14	44
Bahamas, The	5	10	43	7
Bahrain	3	7	14	0
Bangladesh	37	36	29	23
Barbados	3	4	29	3
Belarus	4	9	2	1
Belgium	2	8	13	0
Belize	10	6	45	46
Benin	13	12	40	20
Bermuda	4	3	27	8
Bhutan	25	21	3	43
Bolivia	21	55	8	106
Bosnia and Herzegovina	4	7	36	3
Botswana	11	16	2	3
Brazil	80	175	93	558
Brunei Darussalam	33	31	14	127
Bulgaria	8	17	22	9
Burkina Faso	9	12	4	4
Burundi	14	15	17	89
Cabo Verde	4	7	35	51
Cambodia	39	31	48	37
Cameroon	46	29	122	555
Canada	18	24	44	18
Cayman Islands	1	3	31	22
Central African Republic	16	16	3	26
Chad	16	16	1	6
Channel Islands	..	..	..	..
Chile	19	35	27	73
China	73	96	136	593
Hong Kong SAR, China	4	21	15	10
Macao SAR, China	0	4	9	0
Colombia	58	126	99	268
Comoros	5	14	11	9
Congo, Dem. Rep.	32	42	94	148
Congo, Rep.	15	7	57	46
Costa Rica	11	27	64	143
Cote d'Ivoire	31	25	59	118
Croatia	9	14	64	8
Cuba	10	19	44	179
Curacao	3	2	28	2
Cyprus	6	7	24	22
Czech Republic	3	9	2	26
Denmark	2	9	18	1
Djibouti	11	12	23	3
Dominica	3	7	31	12
Dominican Republic	7	17	29	47
Ecuador	47	106	61	1859
Egypt, Arab Rep.	18	14	58	8
El Salvador	6	7	17	33
Equatorial Guinea	23	6	44	98
Eritrea	15	21	29	6
Estonia	1	9	5	0
Eswatini	9	13	5	13
Ethiopia	34	35	14	64
Faroe Islands	4	6	13	0
Fiji	7	14	20	78
Finland	2	11	6	2
France	9	16	53	47
French Polynesia	0	35	28	48
Gabon	18	7	72	173
Gambia, The	10	14	35	6
Georgia	9	14	11	63
Germany	5	11	24	36
Ghana	21	23	58	119
Greece	10	17	80	72
Greenland	9	6	9	1
Grenada	3	2	29	3
Guam	3	14	14	5
Guatemala	15	17	41	120
Guinea	30	20	76	70
Guinea-Bissau	14	12	41	6
Guyana	11	16	33	30
Haiti	4	17	30	93
Honduras	8	14	45	134
Hungary	3	13	9	43
Iceland	6	7	16	0
India	93	93	227	396
Indonesia	191	160	166	458
Iran, Islamic Rep.	18	28	47	7
Iraq	13	17	19	2
Ireland	5	9	28	3
Isle of Man	0	0	2	0
Israel	15	18	50	23
Italy	8	17	52	102
Jamaica	7	11	30	215
Japan	29	49	77	50
Jordan	13	14	20	8
Kazakhstan	16	27	14	14
Kenya	30	44	74	243
Kiribati	2	6	14	0
Korea, Dem. Peopleâ€™s Rep.	10	29	20	17
Korea, Rep.	12	33	28	31
Kosovo	..	..	..	..
Kuwait	7	11	18	0
Kyrgyz Republic	5	15	3	13
Lao PDR	45	29	55	56
Latvia	1	11	6	0
Lebanon	10	11	28	24
Lesotho	4	8	1	4
Liberia	24	14	64	53
Libya	10	8	32	7
Liechtenstein	0	2	0	0
Lithuania	2	10	6	1
Luxembourg	0	3	1	0
North Macedonia	6	13	13	4
Madagascar	121	37	111	1111
Malawi	10	19	36	34
Malaysia	71	63	87	727
Maldives	2	0	24	0
Mali	14	17	2	12
Malta	2	5	22	4
Marshall Islands	1	4	18	0
Mauritania	18	19	45	0
Mauritius	7	12	21	91
Mexico	96	71	181	484
Micronesia, Fed. Sts.	5	12	25	5
Moldova	4	11	8	2
Monaco	3	0	15	1
Mongolia	11	24	2	0
Montenegro	6	13	32	3
Morocco	18	18	54	52
Mozambique	17	30	72	145
Myanmar	49	56	53	61
Namibia	15	32	33	27
Nepal	29	38	7	18
Netherlands	3	10	15	1
New Caledonia	9	17	37	350
New Zealand	9	69	38	21
Nicaragua	7	17	40	50
Niger	13	13	4	4
Nigeria	31	21	74	205
Northern Mariana Islands	3	17	14	6
Norway	8	11	23	10
Oman	10	13	36	6
Pakistan	25	33	46	12
Palau	4	6	21	5
Panama	17	25	57	212
Papua New Guinea	41	39	61	179
Paraguay	10	27	0	20
Peru	53	119	52	328
Philippines	38	93	91	254
Poland	4	11	8	11
Portugal	13	15	67	101
Puerto Rico	2	11	32	64
Qatar	4	9	17	0
Romania	9	17	22	7
Russian Federation	34	57	39	56
Rwanda	24	20	7	41
Samoa	2	6	16	2
San Marino	0	0	0	0
Sao Tome and Principe	4	12	25	49
Saudi Arabia	11	18	41	4
Senegal	19	19	58	14
Serbia	6	13	15	6
Seychelles	6	13	24	61
Sierra Leone	22	16	57	72
Singapore	14	22	29	62
Sint Maarten (Dutch part)	2	1	31	3
Slovak Republic	4	12	5	25
Slovenia	6	10	33	7
Solomon Islands	19	24	24	16
Somalia	16	21	31	49
South Africa	30	54	121	153
South Sudan	14	21	0	17
Spain	17	19	83	247
Sri Lanka	30	16	57	297
St. Kitts and Nevis	2	3	30	2
St. Lucia	2	7	30	7
St. Martin (French part)	2	1	31	3
St. Vincent and the Grenadines	2	4	29	6
Sudan	16	26	32	17
Suriname	9	9	32	27
Sweden	1	11	15	5
Switzerland	3	9	9	4
Syrian Arab Republic	14	17	51	26
Tajikistan	7	15	5	12
Tanzania	41	49	179	644
Thailand	59	62	106	159
Timor-Leste	5	6	13	2
Togo	13	13	38	13
Tonga	2	5	16	5
Trinidad and Tobago	2	5	37	50
Tunisia	14	11	39	9
Turkey	19	20	131	113
Turkmenistan	10	19	13	4
Turks and Caicos Islands	2	4	30	9
Tuvalu	2	1	13	0
Uganda	31	30	60	64
Ukraine	11	17	24	22
United Arab Emirates	8	13	20	0
United Kingdom	5	11	48	42
United States	40	91	251	510
Uruguay	10	22	45	22
Uzbekistan	10	19	7	16
Vanuatu	8	8	18	10
