Country	United States	EU institutions	United Kingdom	Germany	Japan	France	Norway	Australia	Sweden	Netherlands
Afghanistan	914.4	460.8	331.7	438	188	2020.8	97.7	75	145.8	54.9
Albania	21.1	213.4	1.5	58.7	-0.2	5.7	0.8	0.1	11.2	0.2
Algeria	2.5	50.5	8.8	10.5	0.4	77.5	0.6	0,00	1.8	0.3
American Samoa	..	..	..	..	..	..	..	..	..	..
Andorra	..	..	..	..	..	..	..	..	..	..
Angola	50.6	35.4	0.6	4.2	17.2	6.3	6.4	0	1	-0.2
Antigua and Barbuda	-0.1	0.8	0.1	0	2.2	0	..	0.1	..	..
Argentina	4.2	61.9	3.2	11.1	-11.5	22.2	..	0.1	0	0.1
Armenia	26.1	58.2	1.1	74.8	-7.8	21.5	0	..	1.5	0.2
Aruba	..	..	..	..	..	..	..	..	..	..
Australia	..	..	..	..	..	..	..	..	..	..
Austria	..	..	..	..	..	..	..	..	..	..
Azerbaijan	12.7	23.7	1,00	9.4	22.8	22,00	0,00	..	1.2	0.4
Bahamas, The	..	..	..	..	..	..	..	..	..	..
Bahrain	..	..	..	..	..	..	..	..	..	..
Bangladesh	324.1	168.6	253.3	118.8	1179.3	63.6	14.6	54.7	51,00	47.6
Barbados	..	..	..	..	..	..	..	..	..	..
Belarus	5.4	29.6	1.6	14.9	0.7	2	0.1	..	6.8	0.6
Belgium	..	..	..	..	..	..	..	..	..	..
Belize	2.8	10.4	1	0	0.9	0	..	0.1	..	..
Benin	57.1	90.6	0.5	42.1	14.3	47.5	..	0	0.7	26.3
Bermuda	..	..	..	..	..	..	..	..	..	..
Bhutan	0.7	15	0.3	0.7	17.8	0	0.1	4.4	0	..
Bolivia	0.9	43.2	0.8	47.1	9.2	39.7	3.3	0,00	29,00	..
Bosnia and Herzegovina	49.6	87.3	3.4	24.1	43.2	2.3	5.3	0	18.6	0.6
Botswana	54.5	1.4	1.5	0.7	9.6	0.1	..	1	0.1	..
Brazil	24.3	62.3	33.3	127.3	-13.1	50.5	84.3	0.2	1.4	0.3
Brunei Darussalam	..	..	..	..	..	..	..	..	..	..
Bulgaria	..	..	..	..	..	..	..	..	..	..
Burkina Faso	62	194.1	2.4	54.4	15.8	90	3	0.1	27.9	..
Burundi	50	49	5.4	33.3	9.9	6.8	4.5	0.4	6.5	37.1
Cabo Verde	3.9	8.3	0.5	0.1	12.6	2.9	..	0,00	..	..
Cambodia	101.9	89.8	5.5	53.7	159.4	67.2	6	51.8	24.7	..
Cameroon	109.7	68.9	13.8	112.6	22.3	333.9	2.7	0.4	8.8	..
Canada	..	..	..	..	..	..	..	..	..	..
Cayman Islands	..	..	..	..	..	..	..	..	..	..
Central African Republic	56.2	127.6	34.6	49.5	6.4	39.9	8.5	3.1	24.1	6,00
Chad	93.4	169.4	0	39.3	5.6	100.3	..	0	9.2	1.2
Channel Islands	..	..	..	..	..	..	..	..	..	..
Chile	..	..	..	..	..	..	..	..	..	..
China	31.3	180.9	74.2	507.5	-931.9	-32.6	11.6	4.3	3.4	1.4
Hong Kong SAR, China	..	..	..	..	..	..	..	..	..	..
Macao SAR, China	..	..	..	..	..	..	..	..	..	..
Colombia	339.2	84.3	46.9	517	9.4	438.9	50.5	0.1	32.7	9.8
Comoros	1.3	12,00	0.2	0,00	5,00	18.6	..	0.1	..	..
Congo, Dem. Rep.	465	208	271.7	142.7	43.3	2020.8	32.8	4	79.2	2020.4
Congo, Rep.	9.2	20	2.4	0.6	2.8	54	0.5	..	0	0.2
Costa Rica	10.3	29.6	0.9	5.1	32.1	4.4	..	0.1	0.1	0.9
Cote d'Ivoire	184.3	100.6	0.8	15.6	24.6	297.1	0.4	0.1	1	0
Croatia	..	..	..	..	..	..	..	..	..	..
Cuba	10.4	12.5	6.2	3.6	47.5	134.2	1.5	0,00	2.3	-0.7
Curacao	..	..	..	..	..	..	..	..	..	..
Cyprus	..	..	..	..	..	..	..	..	..	..
Czech Republic	..	..	..	..	..	..	..	..	..	..
Denmark	..	..	..	..	..	..	..	..	..	..
Djibouti	9.6	32.5	0.1	0.4	9.4	44.5	..	0,00	1.4	..
Dominica	4.8	16.1	0.5	0	2.3	-3.4	..	0.7	..	..
Dominican Republic	58.6	28.3	0.6	4.8	1.3	-20.2	..	0.1	0,00	..
Ecuador	17.3	179.9	0.5	49,00	0.4	100.5	9.9	0.1	0.1	..
Egypt, Arab Rep.	-68.2	276.8	30,00	269.3	104.3	73.6	4.3	0.2	3,00	4,00
El Salvador	130.2	41.1	0.4	0.3	-0.7	13.6	0.5	0.1	1.7	0.2
Equatorial Guinea	1.2	0.5	..	0	0.2	1.8	..	0	..	..
Eritrea	0.8	9.3	3.7	4.3	0.4	0.5	0.6	0	0.3	..
Estonia	..	..	..	..	..	..	..	..	..	..
Ethiopia	821.3	271	402.1	175.1	69.4	2020.9	64	2020.6	78.7	78.8
Faroe Islands	..	..	..	..	..	..	..	..	..	..
Fiji	2.3	11.8	0.3	2.7	6.2	0.3	..	47.1	..	..
Finland	..	..	..	..	..	..	..	..	..	..
France	..	..	..	..	..	..	..	..	..	..
French Polynesia	..	..	..	..	..	..	..	..	..	..
Gabon	-1.3	3.6	0,00	-0.4	3.1	101.9	0.2	..	..	..
Gambia, The	2.6	50.3	21.5	3	3.5	6	0.3	0.3	0.8	0.1
Georgia	98.3	275.5	1.7	82.5	2.9	103.9	4.4	0	14.8	0.8
Germany	..	..	..	..	..	..	..	..	..	..
Ghana	218	78.6	50.3	70.8	70.1	35.8	4.1	1.7	0.9	18.7
Greece	..	..	..	..	..	..	..	..	..	..
Greenland	..	..	..	..	..	..	..	..	..	..
Grenada	0	0.5	0.2	0.9	0.1	-0.5	..	0	..	..
Guam	..	..	..	..	..	..	..	..	..	..
