Country	Nonresidents
Afghanistan	..
Albania	7143
Algeria	8775
American Samoa	..
Andorra	2476
Angola	1780
Antigua and Barbuda	..
Argentina	16220
Armenia	7808
Aruba	..
Australia	63805
Austria	9731
Azerbaijan	9268
Bahamas, The	803
Bahrain	12195
Bangladesh	4120
Barbados	840
Belarus	15613
Belgium	..
Belize	..
Benin	..
Bermuda	..
Bhutan	1918
Bolivia	4713
Bosnia and Herzegovina	9332
Botswana	2566
Brazil	28356
Brunei Darussalam	4054
Bulgaria	4822
Burkina Faso	..
Burundi	481
Cambodia	9784
Cameroon	..
Canada	81314
Cabo Verde	211
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	14505
China	238246
Hong Kong SAR, China	52867
Macao SAR, China	14028
Colombia	19726
Comoros	..
Congo, Dem. Rep.	..
Congo, Rep.	..
Costa Rica	6529
Cote d'Ivoire	..
Croatia	4413
Cuba	4670
Curacao	2110
Cyprus	2975
Czech Republic	5731
Denmark	4613
Djibouti	..
Dominica	170
Dominican Republic	5729
Ecuador	6534
Egypt, Arab Rep.	14404
El Salvador	6590
Equatorial Guinea	..
Eritrea	..
Estonia	3503
Ethiopia	485
Faroe Islands	..
Fiji	..
Finland	3873
France	19013
French Polynesia	..
Gabon	..
Gambia, The	2011
Georgia	7839
Germany	24232
Ghana	4515
Greece	..
Greenland	..
Grenada	417
Guam	..
Guatemala	5808
Guinea	..
Guinea-Bissau	..
Guyana	622
Haiti	..
Honduras	4677
Hungary	4964
Iceland	8189
India	44947
Indonesia	29264
Iran, Islamic Rep.	29995
Iraq	10000
Ireland	..
Isle of Man	..
Israel	17056
Italy	12888
Jamaica	5624
Japan	73818
Jordan	4494
Kazakhstan	16899
Kenya	6736
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	56023
Kosovo	..
Kuwait	7195
Kyrgyz Republic	7745
Lao PDR	5009
Latvia	3916
Lebanon	284
Lesotho	2136
Liberia	..
Libya	..
Liechtenstein	7952
Lithuania	4183
Luxembourg	..
North Macedonia	..
Madagascar	3475
Malawi	668
Malaysia	23793
Maldives	..
Mali	..
Malta	396
Marshall Islands	..
Mauritania	..
Mauritius	2704
Mexico	46468
Micronesia, Fed. Sts.	..
Moldova	8892
Monaco	7990
Mongolia	5582
Montenegro	8349
Morocco	14285
Mozambique	3881
Myanmar	..
Namibia	3375
Nepal	1677
Netherlands	..
New Caledonia	..
New Zealand	32519
Nicaragua	..
Niger	..
Nigeria	..
Northern Mariana Islands	..
Norway	31353
Oman	4958
Pakistan	7438
Palau	..
Panama	6872
Papua New Guinea	753
Paraguay	5374
Peru	12935
Philippines	26326
Poland	7690
Portugal	5733
Puerto Rico	..
Qatar	7007
Romania	5456
Russian Federation	59698
Rwanda	2558
Samoa	337
San Marino	..
Sao Tome and Principe	1750
Saudi Arabia	13329
Senegal	..
Serbia	12991
Seychelles	690
Sierra Leone	2357
Singapore	41399
Sint Maarten (Dutch part)	..
Slovak Republic	5075
Slovenia	3898
Solomon Islands	..
Somalia	..
South Africa	15987
South Sudan	..
Spain	10126
Sri Lanka	4127
St. Kitts and Nevis	463
St. Lucia	352
St. Martin (French part)	..
St. Vincent and the Grenadines	382
Sudan	3565
Suriname	665
Eswatini	..
Sweden	5273
Switzerland	54608
Syrian Arab Republic	6623
Tajikistan	5045
Tanzania	..
Thailand	45455
Timor-Leste	..
Togo	..
Tonga	544
Trinidad and Tobago	1886
Tunisia	..
Turkey	33416
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	115
Ukraine	25323
United Arab Emirates	13739
United Kingdom	58970
United States	194309
Uruguay	5606
Uzbekistan	7056
Vanuatu	..
Venezuela, RB	4025
Vietnam	33465
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	1755
Zambia	3413
Zimbabwe	3086
World	2065166
East Asia & Pacific	756318
Europe & Central Asia	561018
Latin America & Caribbean	203684
Middle East & North Africa	153845
North America	275623
South Asia	60632
Sub-Saharan Africa	..
Low income	..
Lower middle income	248937
Upper middle income	763815
High income	1025704
