Country	Growth
Afghanistan	3.4
Albania	1.3
Algeria	2.8
American Samoa	-0.3
Andorra	-0.1
Angola	4.3
Antigua and Barbuda	0.4
Argentina	1.1
Armenia	0.3
Aruba	0.7
Australia	1.7
Austria	0.8
Azerbaijan	1.5
Bahamas, The	1.1
Bahrain	5
Bangladesh	3.2
Barbados	0.1
Belarus	0.4
Belgium	0.5
Belize	2.2
Benin	3.9
Bermuda	0.1
Bhutan	3
Bolivia	1.9
Bosnia and Herzegovina	-0.1
Botswana	3.3
Brazil	1.1
Brunei Darussalam	1.5
Bulgaria	-0.3
Burkina Faso	5
Burundi	5.7
Cabo Verde	1.9
Cambodia	3.3
Cameroon	3.7
Canada	1.5
Cayman Islands	1.2
Central African Republic	2.5
Chad	3.9
Channel Islands	1.1
Chile	1.5
China	2.5
Hong Kong SAR, China	0.8
Macao SAR, China	1.4
Colombia	1.9
Comoros	2.9
Congo, Dem. Rep.	4.5
Congo, Rep.	3.3
Costa Rica	2
Cote d'Ivoire	3.4
Croatia	-0.4
Cuba	0.1
Curacao	-0.3
Cyprus	0.8
Czech Republic	0.5
Denmark	0.6
Djibouti	1.7
Dominica	0.7
Dominican Republic	2.1
Ecuador	2
Egypt, Arab Rep.	2
El Salvador	1.6
Equatorial Guinea	4.3
Eritrea	..
Estonia	0.6
Eswatini	1.7
Ethiopia	4.8
Faroe Islands	0.7
Fiji	1.6
Finland	0.2
France	0.5
French Polynesia	0.7
Gabon	3
Gambia, The	4
Georgia	0.6
Germany	0.4
Ghana	3.4
Greece	0.2
Greenland	0
Grenada	0.8
Guam	1
Guatemala	2.3
Guinea	3.8
Guinea-Bissau	3.5
Guyana	0.7
Haiti	3
Honduras	2.8
Hungary	0.3
Iceland	2.7
India	2.3
Indonesia	2.3
Iran, Islamic Rep.	2.1
Iraq	2.6
Ireland	1.6
Isle of Man	0.8
Israel	2
Italy	0.2
Jamaica	1
Japan	-0.1
Jordan	2
Kazakhstan	1.5
Kenya	4.1
Kiribati	2.9
Korea, Dem. Peopleâ€™s Rep.	0.8
Korea, Rep.	0.4
Kosovo	..
Kuwait	2
Kyrgyz Republic	2.6
Lao PDR	3.4
Latvia	-0.7
Lebanon	0.7
Lesotho	2.3
Liberia	3.3
Libya	1.8
Liechtenstein	0.5
Lithuania	-0.7
Luxembourg	2.2
North Macedonia	0.4
Madagascar	4.5
Malawi	4
Malaysia	2.1
Maldives	4.9
Mali	4.9
Malta	3.6
Marshall Islands	1.1
Mauritania	4.4
Mauritius	-0.1
Mexico	1.5
Micronesia, Fed. Sts.	1.5
Moldova	-1.6
Monaco	0.8
Mongolia	1.9
Montenegro	0.5
Morocco	2.1
Mozambique	4.4
Myanmar	1.5
Namibia	4
Nepal	3.7
Netherlands	1
New Caledonia	1.9
New Zealand	1.1
Nicaragua	1.6
Niger	4.3
Nigeria	4.2
Northern Mariana Islands	0.7
Norway	1.1
Oman	4.6
Pakistan	2.7
Palau	1.3
Panama	2.2
Papua New Guinea	2.5
Paraguay	1.8
Peru	2
Philippines	1.9
Poland	-0.1
Portugal	0.7
Puerto Rico	-4.1
Qatar	2.1
Romania	-0.5
Russian Federation	0.2
Rwanda	3.1
Samoa	-0.7
San Marino	0.5
Sao Tome and Principe	3
Saudi Arabia	2.1
Senegal	3.7
Serbia	-0.3
Seychelles	1.7
Sierra Leone	3.1
Singapore	0.5
Sint Maarten (Dutch part)	0.2
Slovak Republic	0.1
Slovenia	0.9
Solomon Islands	4.6
Somalia	4.1
South Africa	2.1
South Sudan	2
Spain	0.7
Sri Lanka	1.5
St. Kitts and Nevis	0.8
St. Lucia	0.9
St. Martin (French part)	..
St. Vincent and the Grenadines	1.1
Sudan	3.2
Suriname	1
Sweden	1.5
Switzerland	0.8
Syrian Arab Republic	0.3
Tajikistan	3
Tanzania	5.1
Thailand	1.8
Timor-Leste	3.2
Togo	3.7
Tonga	1
Trinidad and Tobago	0.4
Tunisia	1.6
Turkey	2.2
Turkmenistan	2.5
Turks and Caicos Islands	1.8
Tuvalu	2.6
Uganda	6.2
Ukraine	-0.3
United Arab Emirates	1.8
United Kingdom	0.9
United States	0.8
Uruguay	0.5
Uzbekistan	1.6
Vanuatu	2.9
Venezuela, RB	-1.8
Vietnam	3
Virgin Islands (U.S.)	-0.1
West Bank and Gaza	2.9
Yemen, Rep.	4.1
Zambia	4.2
Zimbabwe	1.3
World	1.9
East Asia & Pacific	2.1
Europe & Central Asia	0.6
Latin America & Caribbean	1.2
Middle East & North Africa	2.2
North America	0.8
South Asia	2.5
Sub-Saharan Africa	4.1
Low income	3.9
Lower middle income	2.7
Upper middle income	1.9
High income	0.7
