Country	Institution
Afghanistan	0
Albania	81.5
Algeria	0
American Samoa	..
Andorra	..
Angola	31.7
Antigua and Barbuda	..
Argentina	556.7
Armenia	49.1
Aruba	..
Australia	..
Austria	..
Azerbaijan	-67.2
Bahamas, The	..
Bahrain	..
Bangladesh	0
Barbados	..
Belarus	83.3
Belgium	..
Belize	2.3
Benin	0
Bermuda	..
Bhutan	0
Bolivia	16.8
Bosnia and Herzegovina	111.6
Botswana	22.5
Brazil	-114.2
Brunei Darussalam	..
Bulgaria	-84
Burkina Faso	0
Burundi	0
Cabo Verde	-1.2
Cambodia	0
Cameroon	38.2
Canada	..
Cayman Islands	..
Central African Republic	0
Chad	0
Channel Islands	..
Chile	..
China	476.6
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	907.5
Comoros	0
Congo, Dem. Rep.	0
Congo, Rep.	15.7
Costa Rica	115.2
Cote d'Ivoire	17.2
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	0
Dominica	0
Dominican Republic	0.8
Ecuador	218.8
Egypt, Arab Rep.	1625.3
El Salvador	-30.1
Equatorial Guinea	..
Eritrea	0
Estonia	..
Ethiopia	0
Faroe Islands	..
Fiji	19.5
Finland	..
France	..
French Polynesia	..
Gabon	63.9
Gambia, The	0
Georgia	38.9
Germany	..
Ghana	0
Greece	..
Greenland	..
Grenada	-0.8
Guam	..
Guatemala	162.7
Guinea	0
Guinea-Bissau	0
Guyana	0
Haiti	0
Honduras	0
Hungary	..
Iceland	..
India	540.4
Indonesia	767.3
Iran, Islamic Rep.	-65.1
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	3
Japan	..
Jordan	363.1
Kazakhstan	-207.6
Kenya	0
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	-13.6
Kuwait	..
Kyrgyz Republic	0
Lao PDR	0
Latvia	..
Lebanon	69.8
Lesotho	0
Liberia	0
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	-4.7
Madagascar	0
Malawi	0
Malaysia	..
Maldives	0
Mali	0
Malta	..
Marshall Islands	..
Mauritania	0
Mauritius	-24
Mexico	-277.8
Micronesia, Fed. Sts.	..
Moldova	7.6
Monaco	..
Mongolia	0
Montenegro	-9.4
Morocco	147.2
Mozambique	0
Myanmar	0
Namibia	..
Nepal	0
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	0
Niger	0
Nigeria	0
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	53.4
Palau	..
Panama	..
Papua New Guinea	-13.3
Paraguay	32
Peru	51.3
Philippines	726.3
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	-65.3
Russian Federation	-122.6
Rwanda	0
Samoa	0
San Marino	..
Sao Tome and Principe	0
Saudi Arabia	..
Senegal	0
Serbia	50.5
Seychelles	..
Sierra Leone	0
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	0
Somalia	0
South Africa	-46.5
South Sudan	..
Spain	..
Sri Lanka	16.3
St. Kitts and Nevis	..
St. Lucia	-1.2
St. Martin (French part)	..
St. Vincent and the Grenadines	-0.8
Sudan	0
Suriname	..
Eswatini	1.1
Sweden	..
Switzerland	..
Syrian Arab Republic	0
Tajikistan	0
Tanzania	0
Thailand	-7
Timor-Leste	4.7
Togo	0
Tonga	0
Trinidad and Tobago	..
Tunisia	482.9
Turkey	8.1
Turkmenistan	0
Turks and Caicos Islands	..
Tuvalu	..
Uganda	0
Ukraine	-27.1
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	356
Vanuatu	0
Venezuela, RB	0
Vietnam	106.4
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	0
Zambia	0
Zimbabwe	0
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	610.1
Sub-Saharan Africa	..
Low income	0
Lower middle income	4866.6
Upper middle income	2393.6
High income	..
