Country	Underweight, male	Underweight, female	Stunting, male	Stunting, female	Wasting, male	Wasting, female	Severe wasting, male	Severe wasting, female	ID
Afghanistan	19.5	18.7	38.3	38.1	6.1	4.1	1.7	1.4	Q889
Albania	1.8	1.2	11.6	11	1.2	2	0.4	0.7	Q222
Algeria	3.1	3	12.6	10.7	4.4	3.8	1.7	1	Q262
Angola	21	17.1	41	34.1	5.6	4.3	1.3	0.9	Q916
Armenia	3.2	2	10.9	7.8	4	5	1.6	1.9	Q399
Azerbaijan	4.9	4.9	18	17.5	4	2.1	1.4	0.7	Q227
Bangladesh	32.3	33.4	36.8	35.5	15.1	13.6	3.9	2.5	Q902
Barbados	2.5	4.7	8.9	6.4	8.3	5	2.2	1.7	Q244
Belize	5	4.1	16.2	13.7	2.1	1.4	0.6	0.4	Q242
Benin	17.8	15.8	35.1	29.1	5.6	4.3	1.3	0.8	Q962
Bolivia	3.9	2.9	16.1	16.1	2.5	1.4	1.1	0.7	Q750
Bosnia and Herzegovina	1.8	1.3	8.9	8.9	2.3	2.4	1.8	1.4	Q225
Burkina Faso	19.6	15.7	27.7	22	9.4	7.3	2.1	1.2	Q965
Burundi	30.4	28.2	59.4	52.4	5.6	4.6	1.2	0.6	Q967
Cambodia	23.3	25	33	31.9	10	9.5	2.7	2.2	Q424
Cameroon	15.3	14.2	33.5	29.8	5.6	4.8	1.5	1.1	Q1009
Central African Republic	26.1	22.9	41.8	37.6	8.7	6.1	2	1.1	Q929
Chad	31	27.8	40.9	38.6	14.7	11.8	5.3	3.5	Q657
Colombia	3.9	3.5	14.4	11	1.7	1.6	0.3	0.5	Q739
Comoros	17.2	16.6	33.1	29.2	11.5	10.9	4.2	4.7	Q970
Congo, Dem. Rep.	25.7	21	45.1	40.3	9.3	6.9	3.3	2.4	Q974
Congo, Rep.	13.3	11.2	22.4	20	8.7	7.6	3.1	2.2	Q971
Cote d'Ivoire	14	11.6	23.3	19.9	6.6	5.5	1.5	1	Q1008
Djibouti	31.1	28.7	33.7	33.3	22.6	20.3	10.4	7.9	Q977
Dominican Republic	3.9	4.1	8.1	6.1	2.8	2	1.3	0.4	Q786
Ecuador	5.7	4.4	25.9	21.8	1.8	1.4	0.6	0.5	Q736
Egypt, Arab Rep.	7.7	6.2	23.6	20.8	9.4	9.5	4.8	4.7	Q79
El Salvador	5.4	4.5	15.3	12	2.6	1.7	0.5	0.2	Q792
Ethiopia	25.2	21.9	41.4	35.2	10.2	9.8	3	3	Q115
Gabon	8	4.6	19.2	14.7	3.7	3.2	1.5	1.1	Q1000
Gambia, The	11.8	8.6	14.5	12.6	6.4	5.6	1.5	1.1	Q1005
Ghana	10.7	11.7	20.4	17	4.3	5.1	0.8	0.6	Q117
Guatemala	12.6	12.1	47.3	46.1	1	0.4	0.2	0.1	Q774
Guinea	17.7	14.9	33.8	26.8	9.3	9.1	3.7	3.5	Q1006
Guinea-Bissau	17.9	16.1	29.1	26.1	6.3	5.6	1.6	1.2	Q1007
Guyana	9.3	7	12.5	9.9	6.7	6.2	1.7	1.7	Q734
Haiti	10.7	8.3	24	19.9	4.2	3.3	1.1	0.5	Q790
Honduras	7.7	6.5	24.3	20.8	1.8	0.9	0.4	0.2	Q783
India	36.9	35.6	38.3	37.5	21.7	19.8	8.2	7.1	Q668
Iraq	3.9	4	12.3	13	3.3	2.8	1.1	0.7	Q796
Jamaica	2.9	1.3	7	4.9	3.5	3.7	0.6	0.5	Q766
Jordan	3.4	2.6	9.3	6.2	2.4	2.4	0.5	0.8	Q810
Kazakhstan	1.9	2	7.7	8.3	2.9	3.3	1.1	1	Q232
Kenya	12.4	10	29.9	22.4	4.5	3.9	1.1	0.9	Q114
Kyrgyz Republic	2	1.6	12.5	10.9	2	2.1	0.7	0.7	Q813
Lao PDR	21.6	20.6	34	32.1	9.4	8.6	3.2	2.8	Q819
Lesotho	12	9.1	36.6	32.7	2.4	1.7	0.8	0.8	Q1013
Liberia	15	12.2	32.3	28	5.5	3.2	0.6	0.7	Q1014
North Macedonia	1.5	1.1	5.6	4.3	2.2	1.4	0.3	0.1	Q221
Madagascar	28.4	24.2	44.6	38.5	7.5	5.3	1.1	0.8	Q1019
Malawi	11.8	11.8	41.4	36.6	1.7	0.9	0.1	0	Q1020
Mali	19.6	17.6	28	25.7	10.4	7.6	3.1	2	Q912
Marshall Islands	14.1	9.5	39.3	30	4.6	2.4	0.9	1.4	Q709
Mauritania	21.2	17.1	25.5	20.1	13.3	9.7	2.6	2	Q1025
Mexico	5.2	3.2	10.7	9.3	2.6	1.4	0.4	0.2	Q96
Moldova	2.1	2.2	5.8	7	2.1	1.8	0.5	0.4	Q217
Mongolia	2	1.7	10.9	7.8	1	0.8	0.3	0.3	Q711
Montenegro	1.1	0.9	10.3	8.4	3.1	2.4	1.8	0.6	Q236
Morocco	2.6	2.5	17.4	12.6	2.4	2.8	0.9	1.3	Q1028
Mozambique	16.7	14.6	46.8	38	4.2	4.6	1.7	1.7	Q1029
Myanmar	19.1	17.9	31.1	27.5	7	6.2	1.5	1.1	Q836
Namibia	15	11.4	25.1	20.4	9	5.3	4	1.6	Q1030
Nepal	27.2	27.3	36.2	35.8	9.4	9.9	2.1	1.7	Q837
Nicaragua	5	4.3	18.2	16.4	2.2	2.1	0.9	0.5	Q811
Niger	33	30.9	42.8	39.8	12.7	8.2	2.6	1.6	Q1032
Nigeria	23.1	20.4	39.4	34.1	8	5.5	2.2	1.4	Q1033
Pakistan	24	22.1	38.2	37.1	7.6	6.6	2.7	2.1	Q843
Paraguay	1.4	1.2	6.7	4.4	1	0.9	0.5	0.2	Q733
Peru	2.6	2.7	12.4	11.9	0.5	0.4	0.1	0.1	Q419
Philippines	21.5	21.3	33.9	32.1	7.5	6.1	1.7	1.5	Q928
Rwanda	10.4	7.5	41	33	2.2	1.7	0.6	0.2	Q1037
