Country	Penetration (%)	ID
South Korea	97.49	Q884
Japan	94.7	Q17
Norway	92.16	Q20
Hong Kong	90.34	Q8646
United States	90.32	Q30
Netherlands	89.64	Q55
Hungary	89.26	Q28
Kuwait	88.4	Q817
Lithuania	88.4	Q37
Czech Republic	87.37	Q213
Sweden	87.31	Q34
Taiwan	87.08	Q865
Australia	86.48	Q408
India	86.26	Q668
Thailand	85.58	Q869
Switzerland	85.39	Q39
Belgium	85.11	Q31
Qatar	84.47	Q846
Singapore	84.43	Q334
Estonia	84.21	Q191
Latvia	84.17	Q211
United Arab Emirates	83.78	Q878
Spain	83.73	Q29
Finland	82.79	Q33
Macedonia	82.62	Q221
Canada	82.38	Q16
Uruguay	81.59	Q77
Denmark	80.5	Q35
Croatia	80.44	Q224
Luxembourg	79.95	Q32
Slovenia	79.22	Q215
Bahrain	79.02	Q398
Slovakia	78.96	Q214
Peru	78.67	Q419
Oman	78.41	Q842
United Kingdom	77.28	Q145
Mexico	76.95	Q96
Greece	76.04	Q41
Austria	75.6	Q40
Portugal	75.57	Q45
Serbia	75.19	Q403
Malaysia	74.88	Q833
Georgia	74.54	Q230
Lebanon	74.48	Q822
Bulgaria	73.96	Q219
Brunei	73.66	Q921
Bolivia	73.52	Q750
Argentina	73.17	Q414
Romania	72.88	Q218
Poland	72.84	Q36
Saudi Arabia	72.61	Q851
Indonesia	72.39	Q252
Panama	72.11	Q804
Vietnam	71.26	Q881
Kazakhstan	71.18	Q232
Jordan	70.63	Q810
Cambodia	70.51	Q424
Paraguay	69.93	Q733
Italy	69.66	Q38
Morocco	69.34	Q1028
Ivory Coast	69.3	Q1008
Iran	69.27	Q794
Chile	69.26	Q298
Pakistan	69.99	Q843
New Zealand	69.07	Q664
France	68.31	Q142
South Africa	68.3	Q258
Turkey	67.95	Q43
Albania	67.94	Q222
Germany	65.67	Q183
Colombia	65.51	Q739
Guatemala	65.13	Q774
Russia	65.08	Q159
Israel	64.66	Q801
Philippines	63.73	Q928
Myanmar	62.52	Q836
Tunisia	61.38	Q948
Brazil	61.26	Q155
Dominican Republic	60.6	Q786
Armenia	59.99	Q399
Costa Rica	58.45	Q800
Belarus	56.99	Q184
Ireland	56.67	Q27
Ecuador	46.69	Q736
Egypt	45.43	Q79
Sri Lanka	45.3	Q854
El Salvador	44.7	Q792
Algeria	40.94	Q262
Bangladesh	40.5	Q902
