Country	Population (2000)	Population (2016)	Urban (2016)	Rural (2016)	ID
Andorra	100	100	100	100	Q228
Angola	20	40.7	70.1	3.8	Q916
Argentina	95.5	100	100	99.7	Q414
Armenia	98.9	100	100	100	Q399
Aruba	91.7	100	100	100	Q21203
Australia	100	100	100	100	Q408
Austria	100	100	100	100	Q40
Azerbaijan	98.9	100	100	100	Q227
Bahamas, The	100	100	100	100	Q778
Bahrain	100	100	100	100	Q398
Bangladesh	32	75.9	94	66.1	Q902
Barbados	100	100	100	100	Q244
Belarus	100	100	100	100	Q184
Belgium	100	100	100	100	Q31
Belize	79	97	97.9	96.2	Q242
Benin	21.4	39	65.1	16.5	Q962
Bermuda	100	100	100	100	Q23635
Bhutan	31.2	99.6	99.9	99.4	Q917
Bolivia	70	91.8	99.5	74.9	Q750
Bosnia and Herzegovina	100	100	100	100	Q225
Botswana	27.3	60.4	76.4	26.5	Q963
Brazil	94.4	99.7	99.9	98.5	Q155
Brunei Darussalam	100	100	100	100	Q921
Bulgaria	100	100	100	100	Q219
Burkina Faso	9.1	16.9	60.3	4.7	Q965
Burundi	3	9.6	59	2.7	Q967
Cabo Verde	58.6	89.2	90.8	86.4	Q1011
Cambodia	16.6	76.6	99.1	70	Q424
Cameroon	41	60	91.5	21.3	Q1009
Canada	100	100	100	100	Q16
Cayman Islands	100	100	100	100	Q5785
Central African Republic	6	27.1	48	12.8	Q929
Chad	2.7	10.4	36.2	2.9	Q657
Chile	97.9	100	100	100	Q298
China	96.9	100	100	100	Q148
Hong Kong SAR, China	100	100	100	100	Q8646
Macao SAR, China	100	100	100	100	Q14773
Colombia	95.2	98.4	99.8	92.8	Q739
Costa Rica	98.7	99.5	99.8	98.5	Q800
Cote d'Ivoire	47.6	64.3	92	36.7	Q1008
Croatia	100	100	100	100	Q224
Cuba	97	99.9	100	99.4	Q241
Curacao	100	100	100	100	Q25279
Cyprus	100	100	100	100	Q229
Czech Republic	100	100	100	100	Q213
Denmark	100	100	100	100	Q35
Djibouti	56.4	58.7	68.8	23.9	Q977
Dominican Republic	88.8	98.9	99.9	95	Q786
Ecuador	93.5	98.7	99.8	96.8	Q736
Egypt, Arab Rep.	97.7	100	100	100	Q79
El Salvador	84.5	96	98.4	90.3	Q792
Eritrea	29.2	47	77.3	30.4	Q986
Estonia	100	100	100	100	Q191
Eswatini	26.9	69.6	89.5	63.5	Q1050
Ethiopia	12.7	42.9	85.4	32.4	Q115
Faroe Islands	100	100	100	100	Q4628
Fiji	75.8	96.6	98.9	93.8	Q712
Finland	100	100	100	100	Q33
France	100	100	100	100	Q142
French Polynesia	100	100	100	100	Q30971
Gabon	73.6	90.8	96.1	49.9	Q1000
Gambia, The	34.3	56	74.2	28.9	Q1005
Georgia	99.9	100	100	100	Q230
Germany	100	100	100	100	Q183
Ghana	43.7	79.3	89.8	66.6	Q117
Greece	100	100	100	100	Q41
Greenland	100	100	100	100	Q223
Guam	100	100	100	100	Q16635
Guatemala	73.3	91.9	95.4	88.4	Q774
Guinea	15.5	33.5	82.2	6.7	Q1006
Guyana	74.5	89.7	95.9	87.5	Q734
Haiti	33.7	40.4	76.4	3	Q790
Honduras	67.4	91.6	99.1	82.1	Q783
Hungary	100	100	100	100	Q28
Iceland	100	100	100	100	Q189
India	59.1	89.7	98.3	85.4	Q668
Indonesia	86.3	97.6	99.8	95.1	Q252
Iran, Islamic Rep.	97.9	100	100	100	Q794
Ireland	100	100	100	100	Q27
Isle of Man	100	100	100	100	Q9676
Israel	100	100	100	100	Q801
Italy	100	100	100	100	Q38
Jamaica	84.4	97	99.5	93.9	Q766
Japan	100	100	100	100	Q17
Jordan	98.7	99.9	100	99.3	Q810
Kazakhstan	99.1	100	100	100	Q232
Kenya	15.4	65.4	77.6	61.1	Q114
Korea, Rep.	100	100	100	100	Q884
Kuwait	100	100	100	100	Q817
Kyrgyz Republic	99.8	99.9	100	99.9	Q813
Lao PDR	43.1	90.8	98.8	86.6	Q819
Latvia	100	100	100	100	Q211
Lesotho	4.3	35.3	66.4	23.6	Q1013
Liechtenstein	100	100	100	100	Q347
Lithuania	100	100	100	100	Q37
Luxembourg	100	100	100	100	Q32
Madagascar	13.6	22.9	67.3	0	Q1019
Malawi	4.8	11	42	4.9	Q1020
Maldives	83.8	100	100	99.9	Q826
Mali	9.4	41.2	83.1	12.4	Q912
Malta	100	100	100	100	Q233
Marshall Islands	68.6	93.4	95	88.5	Q709
Mauritania	22.2	41.5	78.3	1.6	Q1025
Mauritius	99	97.4	89.7	100	Q1027
Mexico	98	99.5	99.8	98.3	Q96
Micronesia, Fed. Sts.	46	78	91.1	74.2	Q702
Moldova	99	100	100	100	Q217
Monaco	100	100	100	100	Q235
Mongolia	67.3	91.1	98.8	74.4	Q711
Morocco	69.7	99.7	99.8	99.6	Q1028
Mozambique	6	27.7	69.4	5.3	Q1029
Myanmar	47	55.6	92.3	39.8	Q836
Namibia	36.5	49.7	69.3	31.6	Q1030
Nepal	27.7	90.7	94.5	89.8	Q837
Netherlands	100	100	100	100	Q55
New Caledonia	100	100	100	100	Q33788
New Zealand	100	100	100	100	Q664
Nicaragua	72.8	85.4	99.3	66	Q811
Niger	6.5	17.5	58.9	9.4	Q1032
Nigeria	42.9	59.3	86	34	Q1033
Northern Mariana Islands	100	100	100	100	Q16644
Norway	100	100	100	100	Q20
Oman	100	100	100	100	Q842
Pakistan	70.4	71.4	99.9	55.3	Q843
Panama	81.4	96.8	99.7	90.9	Q804
Papua New Guinea	8.7	49.4	79.3	44.9	Q691
Paraguay	89.2	98.4	99.9	96.1	Q733
Peru	72.5	94.2	98.9	78	Q419
Philippines	74.8	92.3	96.6	88.6	Q928
Poland	100	100	100	100	Q36
Portugal	100	100	100	100	Q45
Puerto Rico	100	100	100	100	Q1183
Qatar	100	100	100	100	Q846
Romania	100	99.1	99.5	100	Q218
Russian Federation	100	100	99.7	100	Q159
Rwanda	6.2	29.4	80	19	Q1037
Samoa	87.9	99.9	99.8	100	Q683
San Marino	100	100	100	100	Q238
Sao Tome and Principe	52.9	68.1	74.8	51.5	Q1039
