Country	Male	Female	ID
Antigua and Barbuda	96.4	98.7	Q781
Armenia	91	90.7	Q399
Australia	96.1	96.9	Q408
Austria	88.1	89.7	Q40
Azerbaijan	92.8	92.4	Q227
Bahamas, The	73.5	75.3	Q778
Bahrain	99	97.2	Q398
Barbados	99.2	97.5	Q244
Belarus	95.3	95.1	Q184
Belgium	99	99.2	Q31
Bhutan	89.4	90.8	Q917
Bolivia	93.3	93.1	Q750
Bulgaria	88	88.1	Q219
Burkina Faso	80.2	78.4	Q965
Burundi	92	94.8	Q967
Cabo Verde	94.4	92.6	Q1011
Cambodia	90.7	90.6	Q424
Cameroon	97	88.7	Q1009
Chad	82.6	64.3	Q657
Chile	94.8	94.8	Q298
Macao SAR, China	96.4	96.4	Q14773
Colombia	97.3	98.2	Q739
Comoros	81.8	81.7	Q970
Costa Rica	96.6	96.5	Q800
Cote d'Ivoire	97.6	89.7	Q1008
Cuba	98	97.7	Q241
Cyprus	97.4	98.2	Q229
Djibouti	61.4	62.9	Q977
Dominican Republic	93.7	94.1	Q786
El Salvador	81.1	82.1	Q792
Eritrea	54.2	49.4	Q986
Estonia	93.4	94.6	Q191
Eswatini	82.7	82.5	Q1050
Finland	98.6	98.8	Q33
France	99.1	99.7	Q142
Gambia, The	78	85.7	Q1005
Georgia	97.7	98.3	Q230
Germany	89.8	91.5	Q183
Ghana	84.4	85.6	Q117
Greece	98	98.5	Q41
Guatemala	88.9	89.5	Q774
Guinea	85.4	70.6	Q1006
Honduras	79.6	81.4	Q783
Hungary	96.4	96.6	Q28
Iceland	99.6	99.5	Q189
Indonesia	96.6	92	Q252
Italy	97.3	97.1	Q38
Jamaica	81	81.8	Q766
Jordan	81.6	80.3	Q810
Korea, Rep.	97.6	97.5	Q884
Kuwait	84.1	93	Q817
Lao PDR	92.3	90.6	Q819
Latvia	96.4	97.8	Q211
Lesotho	90.5	91.9	Q1013
Liberia	44.4	44.7	Q1014
Maldives	94.5	96.4	Q826
Mali	62	55.8	Q912
Marshall Islands	72.9	76.2	Q709
Mauritania	79.2	81.4	Q1025
Moldova	89.5	90.1	Q217
Montenegro	95.8	96.6	Q236
Morocco	96.9	97	Q1028
Mozambique	95.4	92.5	Q1029
Netherlands	98.6	99.5	Q55
New Zealand	98.2	98.9	Q664
Niger	71.3	58.3	Q1032
North Macedonia	95.7	95.8	Q221
Pakistan	73.9	62.1	Q843
Panama	87.1	86.5	Q804
Papua New Guinea	78.1	72.8	Q691
Philippines	94.9	95.2	Q928
Poland	97	97.3	Q36
Portugal	98.1	97.4	Q45
Puerto Rico	77.3	80.4	Q1183
Qatar	97	99.5	Q846
Romania	85.6	85.8	Q218
Russian Federation	96.7	98	Q159
Rwanda	95	95.5	Q1037
Sao Tome and Principe	94	94	Q1039
Saudi Arabia	95.2	95	Q851
Senegal	72.3	80.8	Q1041
Serbia	98	98.4	Q403
Slovak Republic	82.2	84.2	Q214
Solomon Islands	67.1	67.8	Q685
South Africa	90.3	94.7	Q258
Spain	97	97.7	Q29
St. Lucia	97.1	99.5	Q760
Sudan	62.4	61	Q1049
Suriname	84.4	87.7	Q730
Tajikistan	98.3	97.1	Q863
Tanzania	80.6	84.1	Q924
Timor-Leste	94.1	96.7	Q574
Togo	97.2	92.2	Q945
Turkey	95.2	94.5	Q43
Tuvalu	91.3	84.3	Q672
United Kingdom	99.7	99.4	Q145
United States	95.6	95.5	Q30
Venezuela, RB	89.6	89.7	Q717
West Bank and Gaza	97	97.3	Q407199
Yemen, Rep.	89.7	78.9	Q805
Zambia	83.2	87	Q953
