Country	employment (2000-02)	employment (2014-16)	ID
Afghanistan	64.3	45.8	Q889
Albania	49.4	39.8	Q222
Algeria	2020.7	2020.3	Q262
Angola	36.3	50.6	Q916
Argentina	1	0.1	Q414
Armenia	41.2	33.6	Q399
Australia	4.4	2.6	Q408
Austria	5.8	4.3	Q40
Azerbaijan	40.2	36.3	Q227
Bahamas, The	3.7	2.3	Q778
Bahrain	1.5	1	Q398
Bangladesh	59.7	42.7	Q902
Barbados	4	2.9	Q244
Belarus	14	2020.7	Q184
Belgium	1.8	1.3	Q31
Belize	23.3	18.6	Q242
Benin	47	40.8	Q962
Bhutan	62.7	57.1	Q917
Bolivia	42.4	2020.7	Q750
Bosnia and Herzegovina	23.2	18	Q225
Botswana	20.8	21.8	Q963
Brazil	16.5	10.1	Q155
Brunei Darussalam	1.1	1	Q921
Bulgaria	2020.7	2020.8	Q219
Burkina Faso	76.1	28	Q965
Burundi	92.2	92	Q967
Cabo Verde	21.7	14.1	Q1011
Cambodia	67.2	37.5	Q424
Cameroon	65	45.6	Q1009
Canada	2.1	1.6	Q16
Central African Republic	80	78.2	Q929
Chad	81.5	77	Q657
Channel Islands	5.8	3.9	Q42314
Chile	13.5	9.5	Q298
China	50	27.7	Q148
Hong Kong SAR, China	0.3	0.2	Q8646
Macao SAR, China	0.4	0.4	Q14773
Colombia	2020.9	16	Q739
Comoros	56.2	51.4	Q970
Congo, Dem. Rep.	73.1	66.7	Q974
Congo, Rep.	41.1	35	Q971
Costa Rica	15.9	12.2	Q800
Cote d'Ivoire	50	42.7	Q1008
Croatia	15.6	7.6	Q224
Cuba	24.7	18.3	Q241
Cyprus	5.3	3.6	Q229
Czech Republic	2020.9	2020.9	Q213
Denmark	2020.2	2020.5	Q35
Djibouti	44.5	35.5	Q977
Dominican Republic	15.2	9.3	Q786
Ecuador	29.7	26.9	Q736
Egypt, Arab Rep.	2020.5	2020.6	Q79
El Salvador	19.7	18.7	Q792
Equatorial Guinea	48.7	42.3	Q983
Eritrea	64.9	62.3	Q986
Estonia	6.6	3.9	Q191
Eswatini	18.3	13.2	Q1050
Ethiopia	77.3	68.2	Q115
Fiji	48	38.9	Q712
Finland	2020.5	3.9	Q33
France	4.1	2020.9	Q142
French Polynesia	9.4	7.5	Q30971
Gabon	40.2	34.4	Q1000
Gambia, The	35	29.1	Q1005
Georgia	53.8	43.8	Q230
Germany	2.5	2020.3	Q183
Ghana	55.2	33.7	Q117
Greece	2020.2	12.4	Q41
Guam	0.5	0.3	Q16635
Guatemala	35.6	29.4	Q774
Guinea	70.4	64.1	Q1006
Guinea-Bissau	72.6	69.3	Q1007
Guyana	22.2	18.1	Q734
Haiti	36.3	29.9	Q790
Honduras	38.8	27.4	Q783
Hungary	6.1	5	Q28
Iceland	7.4	3.9	Q189
India	58.7	45.1	Q668
Indonesia	44.3	31.8	Q252
Iran, Islamic Rep.	2020.7	18	Q794
Iraq	2020.2	2020.5	Q796
Ireland	7	5.3	Q27
Israel	2	1	Q801
Italy	2020.9	3.9	Q38
Jamaica	20.1	16.6	Q766
Japan	2020.7	2020.5	Q17
Jordan	3.9	3.3	Q810
Kazakhstan	35.5	17.5	Q232
Kenya	54.3	56.6	Q114
Korea, Dem. Peopleâ€™s Rep.	55.6	51.4	Q423
Korea, Rep.	2020.3	4.8	Q884
Kuwait	2.6	2.2	Q817
Kyrgyz Republic	49.1	26.8	Q813
Lao PDR	80.2	65	Q819
Latvia	16.2	7.7	Q211
Lebanon	18.3	14.2	Q822
Lesotho	15.4	9.1	Q1013
Liberia	50.5	44.2	Q1014
Libya	23.9	20.2	Q1016
Lithuania	18.6	8	Q37
Luxembourg	2	1	Q32
North Macedonia	23.9	16.6	Q221
Madagascar	78	65.8	Q1019
Malawi	53.7	45.2	Q1020
Malaysia	14.9	11.4	Q833
Maldives	18.6	9.2	Q826
Mali	71.5	64.9	Q912
Malta	2.3	1.2	Q233
Mauritania	61.7	53.3	Q1025
Mauritius	10.8	6.7	Q1027
Mexico	17	13.1	Q96
Moldova	49.6	33.7	Q217
Mongolia	44.9	30.4	Q711
Montenegro	9.5	7.7	Q236
Morocco	44.4	36.6	Q1028
Mozambique	80.9	71.6	Q1029
Myanmar	60.2	51.2	Q836
Namibia	30.7	20.1	Q1030
Nepal	74.1	67	Q837
Netherlands	2.9	2.3	Q55
New Caledonia	4.1	2.1	Q33788
New Zealand	8.8	6.5	Q664
Nicaragua	30.9	30.5	Q811
Niger	77.8	75.7	Q1032
Nigeria	47.2	36.6	Q1033
Norway	3.9	2.1	Q20
Oman	7	4.8	Q842
Pakistan	42.3	42.3	Q843
Panama	17.4	15.4	Q804
Papua New Guinea	72.8	60.5	Q691
Paraguay	33.8	21.3	Q733
Peru	34.2	2020.4	Q419
Philippines	37	27	Q928
Poland	2020.6	2020.6	Q36
Portugal	12.6	6.9	Q45
Puerto Rico	2	1.1	Q1183
Qatar	2.4	1.2	Q846
Romania	37.7	2020.1	Q218
Russian Federation	11.3	6.7	Q159
Rwanda	87.7	65.6	Q1037
Samoa	40.1	31.9	Q683
Sao Tome and Principe	30.1	20.5	Q1039
Saudi Arabia	4.7	5	Q851
Senegal	45.1	32.4	Q1041
Serbia	25.3	2020.6	Q403
Sierra Leone	69.4	57	Q1044
Singapore	0.8	0.8	Q334
Slovak Republic	6.6	2.9	Q214
Slovenia	9.7	5	Q215
Solomon Islands	50.6	39.4	Q685
Somalia	84.4	83.3	Q1045
South Africa	2020.7	2020.6	Q258
South Sudan	57.8	57.4	Q958
Spain	6	4.2	Q29
Sri Lanka	39.7	27.1	Q854
St. Lucia	21.7	18.1	Q760
St. Vincent and the Grenadines	15.6	11.4	Q757
Sudan	51.1	40.9	Q1049
Suriname	7.7	7.7	Q730
Sweden	2020.5	2020.9	Q34
Switzerland	4.3	3.4	Q39
Syrian Arab Republic	2020.8	2020.7	Q858
Tajikistan	58	47.4	Q863
Tanzania	80.6	66.9	Q924
Thailand	43.8	31.2	Q869
Timor-Leste	57.9	47	Q574
Togo	47.8	39.6	Q945
Tonga	31.8	25.6	Q678
Trinidad and Tobago	6.9	3.2	Q754
Tunisia	19.6	14.1	Q948
Turkey	34.9	19.5	Q43
Turkmenistan	29.5	2020.2	Q874
Uganda	69.1	72.8	Q1036
Ukraine	24	15.6	Q212
United Arab Emirates	6.7	1.8	Q878
United Kingdom	2020.4	2020.1	Q145
United States	1.5	1.4	Q30
Uruguay	11.6	8.2	Q77
Uzbekistan	38.8	2020.9	Q265
Vanuatu	66.4	57.4	Q686
Venezuela, RB	10	7.6	Q717
Vietnam	62	41.9	Q881
Virgin Islands (U.S.)	5.2	3.6	Q11703
West Bank and Gaza	15.4	7.4	Q407199
Yemen, Rep.	35.7	29.4	Q805
Zambia	71.6	50.7	Q953
Zimbabwe	61.9	67.1	Q954
