Country	Tractors (2000)	Tractors (2009)	ID
Afghanistan	0.1	0.1	Q889
Albania	139.9	121.9	Q222
Algeria	124.9	139.6	Q262
American Samoa	68	107.8	Q16641
Andorra	4370.4	4584.4	Q228
Argentina	89.6	87.7	Q414
Armenia	291.6	291.6	Q399
Austria	1.8	1.2	Q40
Azerbaijan	148.2	148.2	Q227
Bahrain	75	75	Q398
Bangladesh	1.2	1.2	Q902
Belarus	118.9	86.8	Q184
Belgium	1.8	1127	Q31
Bhutan	11	11	Q917
Bolivia	19.1	2020.1	Q750
Botswana	76.8	120.8	Q963
Brazil	138	113.3	Q155
Bulgaria	98.4	172	Q219
Cabo Verde	10.9	11.7	Q1011
Cambodia	5.9	5.9	Q424
Canada	159.1	162.5	Q16
Chile	307.3	427.2	Q298
China	83.7	83.7	Q148
Cote d'Ivoire	30	32.1	Q1008
Croatia	27.3	49.4	Q224
Cuba	216.6	203.2	Q241
Cyprus	1.2	1.2	Q229
Czech Republic	298.2	262.3	Q213
Denmark	540.2	486.3	Q35
Djibouti	80	46.2	Q977
Dominican Republic	20.8	20.8	Q786
Ecuador	90.7	90.7	Q736
Egypt, Arab Rep.	307.9	390.6	Q79
Eritrea	8.3	8.3	Q986
Estonia	600.5	603.5	Q191
Eswatini	219.8	87.1	Q1050
Fiji	357.6	354	Q712
Finland	778.9	783.5	Q33
France	688.7	640.1	Q142
Georgia	216.9	216.9	Q230
Germany	838.3	838.3	Q183
Ghana	4.9	4.5	Q117
Greece	925.9	1.7	Q41
Guinea	25.1	25.1	Q1006
Honduras	48.7	48.7	Q783
Hungary	246.2	261.8	Q28
Iceland	699.1	921.9	Q189
India	129.9	129.9	Q668
Indonesia	2	2	Q252
Iran, Islamic Rep.	152.8	152.8	Q794
Iraq	112.4	112.4	Q796
Ireland	1481.2	1.4	Q27
Israel	695.3	695.3	Q801
Italy	1938.5	1.1	Q38
Japan	4532.1	4532.1	Q17
Jordan	301.7	301.7	Q810
Kazakhstan	17.3	17.3	Q232
Kenya	24.9	25.2	Q114
Korea, Rep.	1115.4	1.4	Q884
Kuwait	89	89	Q817
Kyrgyz Republic	188.1	188.1	Q813
Latvia	575.4	501.4	Q211
Libya	218.9	218.9	Q1016
Lithuania	354.4	631.6	Q37
Luxembourg	1155.6	1039.7	Q32
North Macedonia	973	1.8	Q221
Madagascar	2.7	1.9	Q1019
Mali	4.2	2.2	Q912
Malta	1215	1.3	Q233
Mauritania	7.8	9.8	Q1025
Mexico	119.3	101.5	Q96
Moldova	229.1	197.6	Q217
Mongolia	40	40	Q711
Myanmar	10.7	10.7	Q836
Nepal	111.7	111.7	Q837
Netherlands	1.9	1.5	Q55
New Caledonia	1.3	1.4	Q33788
Nigeria	5.5	6.7	Q1033
Northern Mariana Islands	510	990	Q16644
Norway	1.2	1.1	Q20
Oman	58.1	58.1	Q842
Pakistan	105.2	105.2	Q843
Panama	147.2	147.2	Q804
Paraguay	70	68.7	Q733
Philippines	116.8	116.8	Q928
Poland	933.8	1307.2	Q36
Portugal	970.2	1.2	Q45
Puerto Rico	501.2	501.5	Q1183
Qatar	63.1	63.1	Q846
Romania	170.6	201.2	Q218
Russian Federation	60.1	27.1	Q159
Rwanda	0.7	0.5	Q1037
Samoa	60	72.3	Q683
Senegal	1.8	2.2	Q1041
Serbia	26.2	22	Q403
Slovak Republic	153.7	154.6	Q214
Slovenia	1.5	5895.2	Q215
Somalia	9.6	12	Q1045
South Africa	52.3	47.5	Q258
Spain	671.4	831.2	Q29
St. Kitts and Nevis	207.1	55	Q763
St. Lucia	675	58.3	Q760
St. Vincent and the Grenadines	208	224	Q757
Suriname	161.1	215.5	Q730
Sweden	610.4	591.5	Q34
Switzerland	2681	1.9	Q39
Syrian Arab Republic	215	215	Q858
Tajikistan	310.2	310.2	Q863
Tanzania	19	24.7	Q924
Thailand	280.5	280.5	Q869
Togo	0.3	0.6	Q945
Tonga	80	162	Q678
Trinidad and Tobago	1.3	1.7	Q754
Tunisia	114.2	142.6	Q948
Turkey	395.3	395.3	Q43
Ukraine	97.9	102.7	Q212
United Arab Emirates	63.3	63.3	Q878
United States	256.8	271.2	Q30
Uruguay	265.6	199.7	Q77
Vietnam	262.5	262.5	Q881
Virgin Islands (U.S.)	490	1190	Q11703
West Bank and Gaza	737.3	737.3	Q407199
Yemen, Rep.	41	41	Q805
