Country	average annual % growth ('90-'00)	average annual % growth ('00-'19)	ID
Albania	3.8	3.3	Q222
Antigua and Barbuda	0.8	1.2	Q781
Argentina	3.1	1.7	Q414
Australia	3.5	1.5	Q408
Austria	1.3	1.2	Q40
Azerbaijan	-1.7	4	Q227
Bahamas, The	-0.6	-2.6	Q778
Bangladesh	2.6	4.1	Q902
Belarus	-4	3.6	Q184
Belgium	2.6	-0.3	Q31
Belize	5.7	0.2	Q242
Benin	5.5	4.6	Q962
Bhutan	1.7	2.2	Q917
Bolivia	2.9	3.4	Q750
Botswana	0.3	2.4	Q963
Brazil	3.5	3.3	Q155
Brunei Darussalam	4.2	1.1	Q921
Bulgaria	-0.7	-1.6	Q219
Burkina Faso	5.8	3.2	Q965
Burundi	-1.9	-0.5	Q967
Cabo Verde	11.5	2.3	Q1011
Cambodia	3.8	3.8	Q424
Cameroon	4.7	3.7	Q1009
Chile	5	3.5	Q298
China	4	4.1	Q148
Colombia	1.4	2.6	Q739
Comoros	1.6	2.1	Q970
Congo, Dem. Rep.	1.4	2.9	Q974
Congo, Rep.	-0.6	5.1	Q971
Costa Rica	5.2	2.1	Q800
Croatia	1.1	-1.8	Q224
Cuba	-2.9	0.8	Q241
Cyprus	3.4	-2.7	Q229
Czech Republic	-1.5	0.4	Q213
Denmark	4.9	-0.5	Q35
Dominica	-1.8	-0.3	Q784
Dominican Republic	2.7	4.6	Q786
Ecuador	3.6	3.7	Q736
Egypt, Arab Rep.	3.1	3.2	Q79
El Salvador	-2.4	-0.1	Q792
Estonia	11.1	2.2	Q191
Eswatini	0.9	1.7	Q1050
Ethiopia	2.6	6.7	Q115
Fiji	0.5	0.2	Q712
Finland	-0.3	1.8	Q33
France	2.2	0.7	Q142
Gabon	2	3	Q1000
Gambia, The	2.8	-0.3	Q1005
Germany	-3.6	0.3	Q183
Greece	0.6	-0.2	Q41
Grenada	-1.4	3	Q769
Guatemala	2.8	3	Q774
Guinea	4.5	4.7	Q1006
Guyana	7.1	-0.3	Q734
Haiti	-1.2	0	Q790
Honduras	1.2	3.9	Q783
Hungary	-0.1	1.4	Q28
Iceland	-1.5	0	Q189
India	3.2	3.3	Q668
Indonesia	2.1	3.8	Q252
Iran, Islamic Rep.	3.2	3.1	Q794
Iraq	4.7	-4.8	Q796
Ireland	-2	1.7	Q27
Israel	3.7	1.5	Q801
Italy	2.1	0.1	Q38
Jamaica	-0.5	1.6	Q766
Japan	1	-1.7	Q17
Jordan	-3.9	5.3	Q810
Kazakhstan	-8	3.2	Q232
Kenya	1.9	3.1	Q114
Kiribati	-3.1	1.8	Q710
Korea, Rep.	1.9	1.4	Q884
Kyrgyz Republic	1.5	1.9	Q813
Latvia	-0.1	2	Q211
Lebanon	6.4	2.3	Q822
Lesotho	2.1	0.1	Q1013
Lithuania	-2.3	1.2	Q37
Luxembourg	-1	-5.7	Q32
Madagascar	2.3	1.2	Q1019
Malawi	8.6	2.2	Q1020
Malaysia	0.3	2.6	Q833
Maldives	3.1	-0.1	Q826
Mali	3	5	Q912
Mauritania	0.4	1.7	Q1025
Mauritius	0	1.5	Q1027
Mexico	1.4	1.9	Q96
Micronesia, Fed. Sts.	-0.2	1	Q702
Moldova	-1.5	2.1	Q217
Mongolia	0.3	6.2	Q711
Morocco	0.4	4.6	Q1028
Mozambique	4.7	5.2	Q1029
Namibia	4.2	-0.8	Q1030
Nepal	2.5	3.1	Q837
Netherlands	1.6	1.4	Q55
New Zealand	2.9	1.2	Q664
Nicaragua	4.9	2.9	Q811
Niger	4.3	6	Q1032
Nigeria	3.4	6.4	Q1033
North Macedonia	0.2	0.7	Q221
Norway	2.6	2.9	Q20
Pakistan	4.4	2.5	Q843
Panama	3.5	0.4	Q804
Paraguay	3.8	5.8	Q733
Peru	5.5	3.4	Q419
Philippines	1.9	2.7	Q928
Poland	-8.1	0.2	Q36
Portugal	-1.7	0.4	Q45
Romania	-1.7	0.5	Q218
Russian Federation	-4.9	1.7	Q159
Rwanda	3.2	5	Q1037
Samoa	-1.7	-1.6	Q683
Saudi Arabia	1.6	2.4	Q851
Senegal	2.4	4.3	Q1041
Serbia	0.7	1	Q403
Seychelles	0.3	-0.1	Q1042
Sierra Leone	0.1	5.3	Q1044
Singapore	-2.9	0.6	Q334
Slovak Republic	-2.5	8.5	Q214
Slovenia	0.8	0.8	Q215
South Africa	1	2	Q258
Spain	6.1	1.1	Q29
Sri Lanka	1.6	3.5	Q854
St. Kitts and Nevis	-0.8	-0.3	Q763
St. Lucia	-5.4	-1.1	Q760
St. Vincent and the Grenadines	-3.2	1.1	Q757
Sudan	7.2	2.9	Q1049
Suriname	-1.9	3.7	Q730
Sweden	-1.4	1.8	Q34
Switzerland	-0.2	-0.1	Q39
Tajikistan	-6.8	7.3	Q863
Tanzania	3.2	4.3	Q924
Thailand	-2.6	1.5	Q869
Togo	4	1.7	Q945
Tonga	2.1	-0.4	Q678
Trinidad and Tobago	3.3	-1.9	Q754
Tunisia	2.6	2.7	Q948
Turkey	1.4	2.8	Q43
Tuvalu	0.4	1.7	Q672
Uganda	3.4	2.3	Q1036
Ukraine	-5.6	3.6	Q212
United Kingdom	0	0.7	Q145
Uruguay	3.8	1.7	Q77
Uzbekistan	0.5	5.8	Q265
Vanuatu	2.7	3	Q686
Venezuela, RB	1.2	1.9	Q717
Vietnam	4.3	3.1	Q881
West Bank and Gaza	0.7	-0.5	Q407199
Yemen, Rep.	5.1	-0.1	Q805
Zambia	3.6	-1.2	Q953
Zimbabwe	4.3	-2.8	Q954
