Country	Total	Internal resources	Agriculture (2015)	Industry	ID
Albania	1.3	4.9	39	18	Q222
Algeria	7.8	69.4	59	5	Q262
Antigua and Barbuda	0	8.5	16	22	Q781
Argentina	37.7	12.9	74	11	Q414
Armenia	3.3	42.9	90	4	Q399
Australia	16.8	3.1	61	16	Q408
Austria	3.5	6.3	2	77	Q40
Azerbaijan	12	147.5	84	19	Q227
Bangladesh	35.9	34.2	88	2	Q902
Belarus	1.5	4.5	32	32	Q184
Belgium	6	50	1	88	Q31
Bhutan	0.3	0.4	94	1	Q917
Bolivia	2.1	0.7	92	2	Q750
Brazil	74.8	1.3	60	17	Q155
Bulgaria	5.6	27.2	15	69	Q219
Cambodia	2.2	1.8	94	2	Q424
Canada	38.8	1.4	12	80	Q16
Chile	35.4	4	83	13	Q298
China	594.2	21.3	64	22	Q148
Colombia	11.8	0.5	54	19	Q739
Costa Rica	2.3	2.1	57	11	Q800
Croatia	0.6	1.7	1	20	Q224
Cuba	7	18.3	65	11	Q241
Cyprus	0.2	28.4	66	2	Q229
Denmark	0.6	10.6	25	20	Q35
Dominica	0	10	5	0	Q784
Dominican Republic	7.1	30.4	80	8	Q786
Egypt, Arab Rep.	73.8	4100	86	3	Q79
Estonia	1.7	13.5	0	96	Q191
Ethiopia	10.6	6.4	92	1	Q115
France	29.8	14.9	10	71	Q142
Greece	9.6	16.5	88	3	Q41
Grenada	0	7.1	15	0	Q769
Guatemala	3.3	3	57	18	Q774
Guyana	1.4	0.6	94	1	Q734
Haiti	1.5	11.1	83	4	Q790
Hungary	5.1	84.2	6	79	Q28
Iceland	0.3	2.1	0	71	Q189
India	647.5	44.8	90	2	Q668
Jamaica	0.8	7.5	55	9	Q766
Japan	81.2	18.9	67	14	Q17
Jordan	1.1	124.5	52	3	Q810
Kazakhstan	20	31	66	30	Q232
Kenya	3.2	15.5	59	4	Q114
Kyrgyz Republic	7.7	15.8	93	4	Q813
Latvia	0.2	1.4	15	21	Q211
Libya	5.8	822.9	83	5	Q1016
Lithuania	0.6	4.1	10	66	Q37
Luxembourg	0	4.3	1	5	Q32
North Macedonia	0.6	10.2	23	36	Q221
Madagascar	13.6	4	96	1	Q1019
Maldives	0	15.7	0	5	Q826
Mali	5.2	8.6	98	0	Q912
Malta	0	44.4	64	2	Q233
Mexico	85.7	20	76	9	Q96
Moldova	1.1	65.7	3	83	Q217
Mongolia	0.6	1.6	44	43	Q711
Morocco	10.4	35.7	88	2	Q1028
Nepal	9.5	4.8	98	0	Q837
Netherlands	10.7	97.5	1	88	Q55
New Zealand	5.2	1.6	62	23	Q664
Nicaragua	1.5	1	77	5	Q811
Nigeria	12.5	5.6	44	16	Q1033
Norway	3	0.8	28	41	Q20
Pakistan	183.5	333.6	94	1	Q843
Panama	1	0.8	43	1	Q804
Paraguay	2.4	2.1	79	6	Q733
Peru	13.6	0.8	89	2	Q419
Philippines	81.6	17	82	10	Q928
Puerto Rico	1	14.3	2	76	Q1183
Romania	6.4	15.1	18	67	Q218
Saudi Arabia	22.6	943.3	88	3	Q851
Slovak Republic	0.6	4.4	4	49	Q214
Slovenia	1.2	6.2	0	85	Q215
South Africa	15.5	34.6	63	10	Q258
South Sudan	0.7	2.5	36	34	Q958
Spain	36.8	33	68	18	Q29
St. Kitts and Nevis	0	51.3	1	0	Q763
St. Lucia	0	14.3	71	0	Q760
St. Vincent and the Grenadines	0	7.9	0	0	Q757
Sudan	26.9	673.3	96	0	Q1049
Suriname	0.6	0.6	70	22	Q730
Sweden	2.7	1.6	4	58	Q34
Switzerland	2	5	8	32	Q39
Tajikistan	11.2	17.6	91	4	Q863
Thailand	57.3	25.5	90	5	Q869
Trinidad and Tobago	0.3	8.8	4	34	Q754
Tunisia	3.2	76.7	80	5	Q948
Uganda	0.6	1.6	41	8	Q1036
Ukraine	14.9	27	30	48	Q212
United Kingdom	8	5.5	13	14	Q145
United States	418.7	14.9	36	51	Q30
Venezuela, RB	22.6	2.8	74	4	Q717
Zimbabwe	3.6	29.1	82	6	Q954
