Country	Coverage	ID
Afghanistan	10	Q889
Albania	85	Q222
Algeria	67	Q262
Angola	27	Q916
Argentina	58	Q414
Armenia	85	Q399
Australia	83	Q408
Azerbaijan	52	Q227
Belarus	63	Q184
Benin	65	Q962
Bolivia	60	Q750
Botswana	82	Q963
Brazil	60	Q155
Burkina Faso	67	Q965
Burundi	84	Q967
Cabo Verde	62	Q1011
Cambodia	84	Q424
Cameroon	62	Q1009
Central African Republic	46	Q929
Chad	58	Q657
Chile	68	Q298
Colombia	68	Q739
Comoros	82	Q970
Congo, Dem. Rep.	53	Q974
Congo, Rep.	25	Q971
Costa Rica	66	Q800
Cote d'Ivoire	63	Q1008
Cuba	76	Q241
Djibouti	43	Q977
Dominican Republic	48	Q786
Ecuador	65	Q736
Egypt, Arab Rep.	32	Q79
El Salvador	50	Q792
Equatorial Guinea	35	Q983
Eritrea	62	Q986
Eswatini	96	Q1050
Ethiopia	74	Q115
France	82	Q142
Gabon	51	Q1000
Gambia, The	29	Q1005
Ghana	45	Q117
Guatemala	58	Q774
Guinea	45	Q1006
Guinea-Bissau	41	Q1007
Guyana	69	Q734
Haiti	71	Q790
Honduras	48	Q783
Iran, Islamic Rep.	25	Q794
Italy	90	Q38
Jamaica	44	Q766
Kazakhstan	52	Q232
Kenya	74	Q114
Kyrgyz Republic	40	Q813
Lao PDR	56	Q819
Latvia	90	Q211
Lesotho	65	Q1013
Liberia	33	Q1014
Libya	34	Q1016
Lithuania	90	Q37
Madagascar	13	Q1019
Malawi	79	Q1020
Malaysia	50	Q833
Mali	36	Q912
Mauritania	57	Q1025
Mauritius	25	Q1027
Moldova	46	Q217
Montenegro	40	Q236
Morocco	70	Q1028
Mozambique	60	Q1029
Myanmar	76	Q836
Namibia	85	Q1030
Nepal	63	Q837
Netherlands	87	Q55
New Zealand	63	Q664
Nicaragua	59	Q811
Niger	61	Q1032
Nigeria	65	Q1033
Oman	70	Q842
Pakistan	12	Q843
Papua New Guinea	62	Q691
Paraguay	44	Q733
Peru	77	Q419
Philippines	44	Q928
Romania	68	Q218
Rwanda	87	Q1037
Senegal	70	Q1041
Serbia	68	Q403
Sierra Leone	43	Q1044
Somalia	33	Q1045
South Africa	70	Q258
South Sudan	18	Q958
Spain	85	Q29
Sudan	22	Q1049
Suriname	50	Q730
Syrian Arab Republic	22	Q858
Tajikistan	51	Q863
Tanzania	75	Q924
Thailand	80	Q869
Timor-Leste	80	Q574
Togo	64	Q945
Trinidad and Tobago	50	Q754
Tunisia	20	Q948
Uganda	84	Q1036
Ukraine	54	Q212
Uzbekistan	58	Q265
Venezuela, RB	40	Q717
Vietnam	70	Q881
Yemen, Rep.	24	Q805
Zambia	85	Q953
Zimbabwe	85	Q954
