Country	$ (2010)	$ (2018)	ID
Afghanistan	377	361	Q889
Albania	15	1	Q222
Algeria	834	1253	Q262
Angola	20	270	Q916
Argentina	11	25	Q414
Armenia	52	248	Q399
Australia	1511	1575	Q408
Austria	7	4	Q40
Azerbaijan	155	322	Q227
Bahamas, The	1	12	Q778
Bahrain	103	65	Q398
Bangladesh	36	149	Q902
Belarus	75	142	Q184
Belgium	32	1	Q31
Bolivia	1	1	Q750
Botswana	10	4	Q963
Brazil	311	272	Q155
Bulgaria	8	2	Q219
Burkina Faso	0	23	Q965
Burundi	2	2	Q967
Cambodia	34	5	Q424
Cameroon	10	2	Q1009
Canada	228	157	Q16
Cabo Verde	2	3	Q1011
Central African Republic	7	1	Q929
Chad	38	3	Q657
Chile	475	70	Q298
China	1020	1633	Q148
Colombia	255	16	Q739
Congo, Dem. Rep.	151	43	Q974
Croatia	11	2	Q224
Cyprus	44	0	Q229
Czech Republic	13	7	Q213
Denmark	17	50	Q35
Djibouti	6	8	Q977
Dominican Republic	51	0	Q786
Ecuador	90	5	Q736
Egypt, Arab Rep.	686	1674	Q79
El Salvador	2	1	Q792
Equatorial Guinea	3	7	Q983
Estonia	13	17	Q191
Ethiopia	54	10	Q115
Finland	52	135	Q33
France	103	185	Q142
Gabon	22	7	Q1000
Georgia	2	39	Q230
Germany	282	14	Q183
Ghana	2	0	Q117
Greece	631	39	Q41
Guatemala	2	3	Q774
Guinea	4	2	Q1006
Guyana	0	0	Q734
Honduras	0	1	Q783
Hungary	18	36	Q28
India	2909	1488	Q668
Indonesia	225	338	Q252
Iran, Islamic Rep.	99	4	Q794
Iraq	434	543	Q796
Ireland	5	7	Q27
Israel	67	543	Q801
Italy	103	317	Q38
Jamaica	1	13	Q766
Japan	403	572	Q17
Jordan	89	215	Q810
Kazakhstan	58	304	Q232
Kenya	116	5	Q114
Korea, Rep.	1284	1106	Q884
Kuwait	85	95	Q817
Lao PDR	14	109	Q819
Latvia	15	19	Q211
Lebanon	64	52	Q822
Lithuania	8	6	Q37
Luxembourg	7	0	Q32
Madagascar	0	1	Q1019
Malawi	1	1	Q1020
Malaysia	423	98	Q833
Mali	0	25	Q912
Malta	8	8	Q233
Mauritania	9	1	Q1025
Mexico	112	16	Q96
Mongolia	27	17	Q711
Morocco	306	387	Q1028
Mozambique	0	22	Q1029
Myanmar	56	168	Q836
Namibia	3	35	Q1030
Nepal	3	7	Q837
Netherlands	190	142	Q55
New Zealand	58	6	Q664
Nicaragua	14	13	Q811
Niger	0	3	Q1032
Nigeria	188	49	Q1033
Norway	159	549	Q20
Oman	30	277	Q842
Pakistan	2199	792	Q843
Panama	7	11	Q804
Paraguay	3	2	Q733
Peru	46	92	Q419
Philippines	3	18	Q928
Poland	159	122	Q36
Portugal	894	26	Q45
Qatar	30	596	Q846
Romania	107	36	Q218
Russian Federation	25	26	Q159
Rwanda	11	3	Q1037
Saudi Arabia	1083	3760	Q851
Senegal	4	12	Q1041
Serbia	16	3	Q403
Seychelles	7	7	Q1042
Sierra Leone	2	1	Q1044
Singapore	958	592	Q334
Slovak Republic	9	34	Q214
South Sudan	2	8	Q958
Spain	288	138	Q29
Sri Lanka	4	99	Q854
Sudan	182	34	Q1049
Sweden	11	7	Q34
Switzerland	48	10	Q39
Syrian Arab Republic	426	181	Q858
Tajikistan	34	3	Q863
Tanzania	78	32	Q924
Thailand	46	630	Q869
Togo	1	2	Q945
Trinidad and Tobago	24	30	Q754
Tunisia	7	180	Q948
Turkey	484	591	Q43
Turkmenistan	27	92	Q874
Uganda	37	9	Q1036
United Arab Emirates	643	1197	Q878
United Kingdom	490	518	Q145
United States	1083	380	Q30
Uruguay	20	10	Q77
Uzbekistan	30	131	Q265
Venezuela, RB	208	137	Q717
Vietnam	152	577	Q881
West Bank and Gaza	6	2	Q407199
Yemen, Rep.	258	9	Q805
Zambia	1	38	Q953
