Country	Modern methods	ID
Afghanistan	51	Q889
Albania	100	Q222
Algeria	97	Q262
Angola	50	Q916
Antigua and Barbuda	100	Q781
Argentina	100	Q414
Armenia	100	Q399
Australia	100	Q408
Austria	98	Q40
Azerbaijan	100	Q227
Bahamas, The	100	Q778
Bahrain	100	Q398
Bangladesh	50	Q902
Barbados	99	Q244
Belarus	100	Q184
Belize	97	Q242
Benin	78	Q962
Bhutan	89	Q917
Bolivia	90	Q750
Bosnia and Herzegovina	100	Q225
Botswana	100	Q963
Brazil	99	Q155
Brunei Darussalam	100	Q921
Bulgaria	100	Q219
Burkina Faso	80	Q965
Burundi	85	Q967
Cabo Verde	91	Q1011
Cambodia	89	Q424
Cameroon	65	Q1009
Canada	98	Q16
Chad	20	Q657
Chile	100	Q298
China	100	Q148
Colombia	96	Q739
Congo, Dem. Rep.	80	Q974
Congo, Rep.	94	Q971
Costa Rica	90	Q800
Cote d'Ivoire	74	Q1008
Croatia	100	Q224
Cuba	100	Q241
Cyprus	97	Q229
Czech Republic	100	Q213
Denmark	94	Q35
Dominica	96	Q784
Dominican Republic	100	Q786
Ecuador	97	Q736
Egypt, Arab Rep.	92	Q79
El Salvador	100	Q792
Estonia	99	Q191
Eswatini	88	Q1050
Ethiopia	28	Q115
Fiji	100	Q712
Finland	100	Q33
France	97	Q142
Gambia, The	57	Q1005
Georgia	100	Q230
Germany	99	Q183
Ghana	71	Q117
Grenada	99	Q769
Guatemala	66	Q774
Guinea	55	Q1006
Guinea-Bissau	45	Q1007
Guyana	86	Q734
Haiti	42	Q790
Hungary	99	Q28
Iceland	98	Q189
India	81	Q668
Indonesia	91	Q252
Iran, Islamic Rep.	99	Q794
Iraq	96	Q796
Ireland	100	Q27
Italy	100	Q38
Japan	100	Q17
Jordan	100	Q810
Kazakhstan	99	Q232
Kenya	62	Q114
Korea, Dem. Peopleâ€™s Rep.	100	Q423
Korea, Rep.	100	Q884
Kosovo	99	Q1246
Kuwait	100	Q817
Kyrgyz Republic	98	Q813
Lao PDR	64	Q819
Latvia	100	Q211
Lesotho	78	Q1013
Liberia	61	Q1014
Libya	100	Q1016
Lithuania	100	Q37
Madagascar	44	Q1019
Malawi	90	Q1020
Malaysia	99	Q833
Maldives	100	Q826
Mali	67	Q912
Malta	100	Q233
Mauritania	69	Q1025
Mauritius	100	Q1027
Mexico	98	Q96
Moldova	100	Q217
Mongolia	99	Q711
Montenegro	99	Q236
Myanmar	60	Q836
Namibia	88	Q1030
Nepal	58	Q837
New Zealand	96	Q664
Niger	40	Q1032
Nigeria	43	Q1033
North Macedonia	100	Q221
Norway	99	Q20
Oman	99	Q842
Pakistan	69	Q843
Palau	100	Q695
Panama	95	Q804
Papua New Guinea	56	Q691
Paraguay	96	Q733
Peru	92	Q419
Philippines	84	Q928
Poland	100	Q36
Portugal	99	Q45
Qatar	100	Q846
Romania	95	Q218
Russian Federation	100	Q159
Rwanda	91	Q1037
Samoa	83	Q683
Sao Tome and Principe	93	Q1039
Saudi Arabia	98	Q851
Senegal	68	Q1041
Serbia	98	Q403
Sierra Leone	82	Q1044
Singapore	100	Q334
Slovak Republic	99	Q214
Solomon Islands	86	Q685
South Africa	97	Q258
Sri Lanka	100	Q854
St. Kitts and Nevis	100	Q763
St. Vincent and the Grenadines	99	Q757
Sudan	78	Q1049
Suriname	80	Q730
Tajikistan	95	Q863
Tanzania	64	Q924
Thailand	99	Q869
Timor-Leste	57	Q574
Togo	45	Q945
Trinidad and Tobago	100	Q754
Turkey	97	Q43
Turkmenistan	100	Q874
Uganda	74	Q1036
Ukraine	100	Q212
United Arab Emirates	100	Q878
United States	99	Q30
Uruguay	100	Q77
Uzbekistan	100	Q265
Vanuatu	89	Q686
Venezuela, RB	96	Q717
Vietnam	94	Q881
West Bank and Gaza	100	Q407199
Yemen, Rep.	45	Q805
Zambia	80	Q953
Zimbabwe	78	Q954
