Country	Survey year	Poorest quintile	Richest quintile	ID
Afghanistan	2015	27	88	Q889
Albania	2018	99	100	Q222
Algeria	2013	95	99	Q262
Angola	2016	19	89	Q916
Armenia	2016	100	100	Q399
Bangladesh	2014	18	74	Q902
Barbados	2012	100	100	Q244
Belarus	2012	100	100	Q184
Belize	2016	93	99	Q242
Benin	2018	57	96	Q962
Bhutan	2010	34	95	Q917
Bolivia	2008	39	99	Q750
Burkina Faso	2018	12	64	Q965
Burundi	2017	79	96	Q967
Cambodia	2014	79	99	Q424
Cameroon	2014	21	98	Q1009
Central African Republic	2010	33	87	Q929
Chad	2015	15	66	Q657
Colombia	2015	88	99	Q739
Comoros	2012	66	95	Q970
Congo, Dem. Rep.	2014	67	98	Q974
Congo, Rep.	2016	83	99	Q971
Costa Rica	2011	97	99	Q800
Cote d'Ivoire	2016	49	95	Q1008
Dominican Republic	2014	98	99	Q786
Egypt, Arab Rep.	2014	85	99	Q79
El Salvador	2014	94	99	Q792
Eswatini	2014	76	95	Q1050
Ethiopia	2016	14	78	Q115
Gabon	2012	71	96	Q1000
Gambia, The	2018	72	97	Q1005
Ghana	2016	51	98	Q117
Guatemala	2015	40	96	Q774
Guinea	2018	29	96	Q1006
Guinea-Bissau	2014	26	83	Q1007
Guyana	2014	79	100	Q734
Haiti	2017	15	82	Q790
Honduras	2012	61	98	Q783
India	2016	67	96	Q668
Indonesia	2017	76	99	Q252
Iraq	2018	93	99	Q796
Jamaica	2011	97	100	Q766
Jordan	2018	100	100	Q810
Kazakhstan	2015	100	100	Q232
Kenya	2015	34	93	Q114
Kosovo	2014	98	99	Q1246
Kyrgyz Republic	2018	99	100	Q813
Lao PDR	2017	33	97	Q819
Lesotho	2018	76	94	Q1013
Liberia	2016	46	89	Q1014
Madagascar	2016	22	90	Q1019
Malawi	2017	88	96	Q1020
Maldives	2017	100	99	Q826
Mali	2018	47	97	Q912
Mauritania	2015	30	96	Q1025
Mexico	2015	92	100	Q96
Moldova	2012	98	99	Q217
Mongolia	2018	98	100	Q711
Montenegro	2013	99	100	Q236
Mozambique	2018	34	91	Q1029
Myanmar	2016	40	98	Q836
Namibia	2013	76	98	Q1030
Nepal	2016	39	90	Q837
Niger	2012	14	73	Q1032
Nigeria	2018	13	87	Q1033
North Macedonia	2011	98	98	Q221
Pakistan	2018	50	94	Q843
Papua New Guinea	2018	33	92	Q691
Paraguay	2016	88	100	Q733
Peru	2012	64	100	Q419
Philippines	2017	69	98	Q928
Rwanda	2017	86	98	Q1037
Sao Tome and Principe	2014	85	98	Q1039
Senegal	2017	40	96	Q1041
Serbia	2014	98	95	Q403
Sierra Leone	2017	75	92	Q1044
South Africa	2016	92	99	Q258
South Sudan	2010	8	41	Q958
Sudan	2014	48	99	Q1049
Suriname	2018	98	99	Q730
Tajikistan	2017	91	98	Q863
Tanzania	2017	44	96	Q924
Thailand	2016	98	100	Q869
Timor-Leste	2016	28	92	Q574
Togo	2017	12	88	Q945
Tunisia	2018	99	100	Q948
Turkey	2013	93	100	Q43
Turkmenistan	2016	100	100	Q874
Uganda	2016	66	95	Q1036
Ukraine	2012	99	100	Q212
Vietnam	2014	73	100	Q881
West Bank and Gaza	2014	100	99	Q407199
Yemen, Rep.	2013	21	83	Q805
Zambia	2014	49	95	Q953
Zimbabwe	2015	66	96	Q954
