Country	Total (1990)	Total (2014)	Carbon intensity (1990)	Carbon intensity (2014)	per capita (1990)	per capita (2014)	Kg-GDP (1990)	Kg-GDP (2014)	ID
Albania	5515	5489	2.1	2.4	1.7	1.9	0.3	0.2	Q222
Algeria	76970	145411	3.5	2.8	3	3.7	0.3	0.3	Q262
Angola	5115	44851	0.9	3.1	0.4	1.7	0.1	0.2	Q916
Argentina	112148	195777	2.4	2.3	3.4	4.6	0.2	0.2	Q414
Armenia	5827	5530	1.4	1.9	1.7	1.9	0.6	0.2	Q399
Australia	263705	361317	3.1	2.9	15.5	15.4	0.5	0.3	Q408
Austria	57792	58903	2.3	1.8	7.5	6.9	0.2	0.1	Q40
Azerbaijan	56241	37385	3.1	2.6	7.6	3.9	1.3	0.3	Q227
Bahrain	12427	31368	2.4	2.2	25.1	23.5	0.6	0.5	Q398
Bangladesh	14162	73758	1.1	2.1	0.1	0.5	0.1	0.1	Q902
Belarus	87418	62801	2.4	2.3	8.6	6.6	1.1	0.3	Q184
Belgium	106050	93564	2.2	1.8	10.6	8.3	0.3	0.2	Q31
Benin	708	5376	0.4	1.3	0.1	0.5	0.1	0.2	Q962
Bolivia	5757	20330	2.2	2.4	0.8	1.9	0.2	0.2	Q750
Botswana	2703	6857	2.2	2.5	2.1	3.3	0.2	0.2	Q963
Brazil	208887	533530	1.5	1.8	1.4	2.6	0.1	0.2	Q155
Brunei Darussalam	6194	9054	3.6	2.5	23.9	22.1	0.3	0.3	Q921
Bulgaria	74480	42328	2.6	2.4	8.5	5.9	0.7	0.3	Q219
Cameroon	682	6799	0.1	0.9	0.1	0.3	0	0.1	Q1009
Canada	435181	540615	2.1	1.9	15.7	15.3	0.5	0.3	Q16
Chile	33315	79101	2.4	2.2	2.5	4.5	0.3	0.2	Q298
China	2442919	10291927	2.8	3.4	2.2	7.5	1.5	0.6	Q148
Hong Kong SAR, China	27334	45749	3.2	3.2	4.8	6.3	0.2	0.1	Q8646
Colombia	57337	86681	2.4	2.5	1.7	1.8	0.2	0.1	Q739
Congo, Dem. Rep.	4294	4672	0.4	0.2	0.1	0.1	0.1	0.1	Q974
Congo, Rep.	1188	3157	1.5	1.2	0.5	0.7	0.1	0.2	Q971
Costa Rica	2956	7844	1.8	1.6	0.9	1.6	0.1	0.1	Q800
Cote d'Ivoire	5035	11089	1.2	0.8	0.4	0.5	0.1	0.1	Q1008
Cyprus	4708	6062	3.4	3.1	6.1	5.3	0.3	0.2	Q229
Czech Republic	138176	97161	3.2	2.4	13.4	9.2	0.6	0.3	Q213
Denmark	50231	33146	2.9	2	9.8	5.9	0.2	0.1	Q35
Dominican Republic	9230	22145	2.3	2.9	1.3	2.2	0.2	0.2	Q786
Ecuador	16828	46153	2.7	3.3	1.6	2.9	0.2	0.2	Q736
Egypt, Arab Rep.	75540	227853	2.3	3	1.3	2.5	0.2	0.2	Q79
El Salvador	2519	6285	1	1.5	0.5	1	0.1	0.1	Q792
Ethiopia	3018	12435	0.1	0.3	0.1	0.1	0.1	0.1	Q115
Finland	51745	47231	1.8	1.4	10.4	8.6	0.3	0.2	Q33
France	375691	303276	1.7	1.2	6.5	4.6	0.2	0.1	Q142
Gabon	4499	5324	3.8	1	4.7	2.8	0.3	0.2	Q1000
Georgia	15335	8980	1.8	2	3.1	2.4	0.7	0.2	Q230
Germany	929973	720364	2.7	2.4	11.6	8.9	0.3	0.2	Q183
Ghana	3854	15266	0.7	1.7	0.3	0.6	0.1	0.1	Q117
Greece	74279	67528	3.5	2.9	7.3	6.2	0.3	0.2	Q41
Guatemala	5086	13953	1.2	1.1	0.6	0.9	0.1	0.1	Q774
Haiti	1008	2809	0.6	0.7	0.1	0.3	0.1	0.2	Q790
Honduras	2593	9509	1.1	1.8	0.5	1.1	0.1	0.2	Q783
Hungary	69647	41342	2.4	1.8	6.7	4.2	0.4	0.2	Q28
Iceland	1999	1984	0.9	0.3	7.8	6.1	0.2	0.1	Q189
India	619155	2232730	2	2.7	0.7	1.7	0.4	0.3	Q668
Indonesia	149566	369945	1.5	1.6	0.8	1.5	0.2	0.1	Q252
Iran, Islamic Rep.	210464	652392	3	2.8	3.7	8.4	0.4	0.6	Q794
