Country	% 1990	% 2014	ID
Albania	12.9	2.9	Q222
Algeria	45.1	38.8	Q262
Angola	12.2	2020.2	Q916
Argentina	34.5	38	Q414
Armenia	30.7	29.7	Q399
Australia	55	58.4	Q408
Austria	35.4	32.6	Q40
Azerbaijan	40.8	46.2	Q227
Bahrain	89	80.5	Q398
Bangladesh	39	52.8	Q902
Belarus	62.3	57.2	Q184
Belgium	29.8	25.8	Q31
Benin	11.5	2.3	Q962
Bolivia	29.3	24.6	Q750
Bosnia and Herzegovina	44.8	70.7	Q225
Botswana	54.1	54.5	Q963
Brazil	15.2	26.3	Q155
Brunei Darussalam	77.9	72.1	Q921
Bulgaria	64.7	69	Q219
Cameroon	1.5	32.6	Q1009
Canada	32.9	38.7	Q16
Chile	36.1	43	Q298
China	34.9	52.3	Q148
Colombia	26.8	26.9	Q739
Congo, Dem. Rep.	3.3	0	Q974
Congo, Rep.	0	17.4	Q971
Costa Rica	7.3	10.7	Q800
Cote d'Ivoire	22.2	42	Q1008
Croatia	38.8	31.8	Q224
Cuba	37.7	52.8	Q241
Curacao	38	65.7	Q25279
Cyprus	45.2	50	Q229
Czech Republic	45.1	58.6	Q213
Denmark	52.1	45.2	Q35
Dominican Republic	44.2	53.6	Q786
Ecuador	12	26.5	Q736
Egypt, Arab Rep.	32.6	50.3	Q79
El Salvador	8.1	28.1	Q792
Eritrea	63.6	55.4	Q986
Estonia	74.6	78.1	Q191
Ethiopia	13.4	0.1	Q115
Finland	36.9	50.7	Q33
France	18.4	13.8	Q142
Gabon	34.1	32.7	Q1000
Georgia	51.1	2020.6	Q230
Germany	43.8	48.5	Q183
Ghana	2.8	24.3	Q117
Gibraltar	42.9	27.8	Q1410
Greece	53.1	58.1	Q41
Guatemala	7.5	21.1	Q774
Haiti	25.8	2020.3	Q790
Honduras	2.3	40.9	Q783
Hong Kong SAR, China	73.4	66.2	Q8646
Hungary	35.7	31.1	Q28
Iceland	0	0	Q189
India	43.7	53.6	Q668
Indonesia	35.6	44.3	Q252
Iran, Islamic Rep.	24.5	34.3	Q794
Iraq	31.8	65	Q796
Ireland	36.1	33.7	Q27
Israel	60.2	68	Q801
Italy	36.8	35.6	Q38
Jamaica	27.9	35.4	Q766
Japan	42.6	53.1	Q17
Jordan	38.4	52.4	Q810
Kazakhstan	48.6	63.3	Q232
Kenya	7.6	13.4	Q114
Korea, Dem. Peopleâ€™s Rep.	13.8	16.2	Q423
Korea, Rep.	28	60.5	Q884
Kuwait	74.6	67.4	Q817
Kyrgyz Republic	17.2	25.8	Q813
Latvia	52.5	26.6	Q211
Lebanon	50.8	57.2	Q822
Libya	63	53.2	Q1016
Lithuania	42.4	30.9	Q37
Luxembourg	16.1	8.3	Q32
North Macedonia	65.5	59.9	Q221
Malaysia	38.3	54	Q833
Malta	76.6	68.4	Q233
Mauritius	37.9	61.4	Q1027
Mexico	36.7	44.1	Q96
Moldova	44.8	45.1	Q217
Mongolia	51.6	63.8	Q711
Morocco	40.3	40.6	Q1028
Mozambique	10.2	19.9	Q1029
Myanmar	40.7	2020.3	Q836
Namibia	6.2	0.3	Q1030
Nepal	0	1.9	Q837
Netherlands	40.9	45.8	Q55
New Zealand	20.8	23.7	Q664
Nicaragua	31	34.4	Q811
Nigeria	29.4	39.1	Q1033
Norway	26.6	36.5	Q20
Oman	56.5	38.5	Q842
Pakistan	28.6	33.7	Q843
Panama	21.5	30.9	Q804
Paraguay	1.6	0	Q733
Peru	20.8	34.4	Q419
Philippines	28	50.2	Q928
Poland	66.4	55.6	Q36
Portugal	43.5	41.1	Q45
Qatar	62.2	63.5	Q846
Romania	47.2	45.6	Q218
Russian Federation	56.9	61.1	Q159
Saudi Arabia	47	49.2	Q851
Senegal	40.8	37.1	Q1041
Serbia	65.3	69.4	Q403
Singapore	79.9	58.6	Q334
Slovak Republic	32.4	38.7	Q214
Slovenia	46.8	35.7	Q215
South Africa	59.8	67.5	Q258
Spain	38.5	37.4	Q29
Sri Lanka	4.1	40.8	Q854
Sudan	9.6	16.5	Q1049
Sweden	18.8	24.2	Q34
Switzerland	6.1	9.3	Q39
Syrian Arab Republic	29.2	44.5	Q858
Tajikistan	13.9	4.3	Q863
Tanzania	17.4	23.3	Q924
Thailand	38	46.6	Q869
Togo	12.1	1.2	Q945
Trinidad and Tobago	59.6	62.1	Q754
Tunisia	32.8	38.8	Q948
Turkey	30.7	46.7	Q43
Turkmenistan	29.3	35.8	Q874
Ukraine	51.9	50	Q212
United Arab Emirates	26.3	41.5	Q878
United Kingdom	45	41.9	Q145
United States	45	46	Q30
Uruguay	14.4	15.5	Q77
Uzbekistan	41.1	42.5	Q265
Venezuela, RB	39	35.5	Q717
Vietnam	28.1	34.9	Q881
Yemen, Rep.	25.4	2020.5	Q805
Zambia	6.3	9.7	Q953
Zimbabwe	43	59.4	Q954
