Country	Communicable diseases and maternal, prenatal, and nutrition conditions	Non-communicable diseases	Injuries	ID
Afghanistan	36	44	20	Q889
Albania	3	93	4	Q222
Algeria	15	76	10	Q262
Angola	63	27	9	Q916
Antigua and Barbuda	12	82	6	Q781
Argentina	16	78	7	Q414
Armenia	3	93	4	Q399
Australia	5	90	6	Q408
Austria	3	92	5	Q40
Azerbaijan	9	87	5	Q227
Bahamas, The	17	74	9	Q778
Bahrain	7	83	10	Q398
Bangladesh	26	67	8	Q902
Barbados	13	83	4	Q244
Belarus	3	91	7	Q184
Belgium	8	86	6	Q31
Belize	19	67	13	Q242
Benin	54	36	10	Q962
Bhutan	21	69	11	Q917
Bolivia	22	65	13	Q750
Bosnia and Herzegovina	2	95	4	Q225
Botswana	46	46	8	Q963
Brazil	14	74	12	Q155
Brunei Darussalam	8	85	7	Q921
Bulgaria	2	95	3	Q219
Burkina Faso	56	33	11	Q965
Burundi	56	32	12	Q967
Cabo Verde	20	70	10	Q1011
Cambodia	26	64	10	Q424
Cameroon	54	35	11	Q1009
Canada	6	88	6	Q16
Central African Republic	64	26	10	Q929
Chad	63	27	9	Q657
Chile	8	85	7	Q298
China	4	89	7	Q148
Colombia	10	75	15	Q739
Comoros	47	42	11	Q970
Congo, Dem. Rep.	62	28	10	Q974
Congo, Rep.	56	35	10	Q971
Costa Rica	6	83	10	Q800
Cote d'Ivoire	52	37	10	Q1008
Croatia	2	92	5	Q224
Cuba	8	84	8	Q241
Cyprus	4	91	5	Q229
Czech Republic	5	90	5	Q213
Denmark	7	90	4	Q35
Djibouti	45	44	10	Q977
Dominican Republic	16	72	12	Q786
Ecuador	15	72	13	Q736
Egypt, Arab Rep.	10	84	6	Q79
El Salvador	11	74	15	Q792
Equatorial Guinea	53	36	11	Q983
Eritrea	43	45	12	Q986
Estonia	3	93	5	Q191
Eswatini	54	37	10	Q1050
Ethiopia	49	39	12	Q115
Fiji	10	84	5	Q712
Finland	1	93	6	Q33
France	6	88	6	Q142
Gabon	50	41	9	Q1000
Gambia, The	55	34	11	Q1005
Georgia	3	94	4	Q230
Germany	5	91	4	Q183
Ghana	48	43	10	Q117
Greece	11	86	3	Q41
Grenada	12	81	7	Q769
Guatemala	25	59	16	Q774
Guinea	56	35	9	Q1006
Guinea-Bissau	62	30	8	Q1007
Guyana	20	68	12	Q734
Haiti	30	57	13	Q790
Honduras	14	67	20	Q783
Hungary	2	94	4	Q28
Iceland	4	90	6	Q189
India	26	63	11	Q668
Indonesia	21	73	6	Q252
Iran, Islamic Rep.	8	82	10	Q794
Iraq	17	55	28	Q796
Ireland	5	91	4	Q27
Israel	10	86	4	Q801
Italy	5	91	4	Q38
Jamaica	11	80	9	Q766
Japan	13	82	5	Q17
Jordan	11	78	11	Q810
Kazakhstan	5	86	10	Q232
Kenya	63	27	10	Q114
Kiribati	29	64	7	Q710
Korea, Dem. Peopleâ€™s Rep.	10	84	7	Q423
Korea, Rep.	10	80	10	Q884
Kuwait	15	72	13	Q817
Kyrgyz Republic	10	83	8	Q813
Lao PDR	31	60	9	Q819
Latvia	3	92	5	Q211
Lebanon	4	91	6	Q822
Lesotho	59	32	8	Q1013
Liberia	59	31	10	Q1014
Libya	8	72	20	Q1016
Lithuania	4	90	7	Q37
Luxembourg	5	88	7	Q32
Madagascar	46	43	11	Q1019
Malawi	60	32	9	Q1020
Malaysia	18	74	9	Q833
Maldives	8	84	8	Q826
Mali	61	31	9	Q912
Malta	6	91	3	Q233
Mauritania	53	37	9	Q1025
Mauritius	7	89	5	Q1027
Mexico	10	80	10	Q96
Micronesia, Fed. Sts.	19	75	7	Q702
Moldova	4	90	6	Q217
Mongolia	10	80	11	Q711
Montenegro	1	95	4	Q236
Morocco	14	80	6	Q1028
Mozambique	65	27	8	Q1029
Myanmar	24	68	9	Q836
Namibia	49	41	10	Q1030
Nepal	25	66	9	Q837
Netherlands	5	90	5	Q55
New Zealand	5	90	6	Q664
Nicaragua	11	76	13	Q811
Niger	63	27	10	Q1032
Nigeria	63	29	8	Q1033
North Macedonia	2	95	3	Q221
Norway	7	87	6	Q20
Oman	11	72	18	Q842
Pakistan	35	58	7	Q843
Panama	16	75	10	Q804
Papua New Guinea	36	56	8	Q691
Paraguay	14	74	12	Q733
Peru	20	69	11	Q419
Philippines	25	67	8	Q928
Poland	5	90	5	Q36
Portugal	10	86	4	Q45
Qatar	5	69	26	Q846
Romania	4	92	4	Q218
Russian Federation	5	87	8	Q159
Rwanda	42	44	14	Q1037
Samoa	12	81	7	Q683
Sao Tome and Principe	34	55	11	Q1039
Saudi Arabia	11	73	16	Q851
Senegal	46	42	12	Q1041
Serbia	2	95	3	Q403
Seychelles	12	81	7	Q1042
Sierra Leone	58	33	9	Q1044
Singapore	23	74	4	Q334
Slovak Republic	5	89	6	Q214
Slovenia	5	88	7	Q215
Solomon Islands	22	69	9	Q685
Somalia	64	24	12	Q1045
South Africa	40	51	9	Q258
South Sudan	63	27	9	Q958
Spain	5	91	4	Q29
Sri Lanka	8	83	10	Q854
St. Lucia	10	82	8	Q760
St. Vincent and the Grenadines	13	81	6	Q757
Sudan	35	52	13	Q1049
Suriname	13	76	11	Q730
Sweden	5	90	5	Q34
Switzerland	4	90	6	Q39
Syrian Arab Republic	5	45	50	Q858
Tajikistan	23	69	8	Q863
Tanzania	56	33	11	Q924
Thailand	16	74	10	Q869
Timor-Leste	46	45	9	Q574
Togo	52	38	11	Q945
Tonga	12	83	6	Q678
Trinidad and Tobago	9	81	10	Q754
Tunisia	8	86	6	Q948
Turkey	4	89	6	Q43
Turkmenistan	17	76	7	Q874
Uganda	55	33	13	Q1036
Ukraine	4	91	5	Q212
United Arab Emirates	7	77	17	Q878
United Kingdom	8	89	4	Q145
United States	5	88	7	Q30
Uruguay	8	85	8	Q77
Uzbekistan	10	84	6	Q265
Vanuatu	19	74	7	Q686
Venezuela, RB	11	70	19	Q717
Vietnam	12	77	11	Q881
Yemen, Rep.	29	57	15	Q805
Zambia	61	29	10	Q953
Zimbabwe	55	33	12	Q954
