Country	Score	ID
Sweden	75.77	Q34
Denmark	71.14	Q35
Morocco	70.63	Q1028
United Kingdom	69.8	Q145
Lithuania	66.22	Q37
India	66.02	Q668
Finland	63.25	Q33
Chile	62.88	Q298
Norway	61.14	Q20
Luxembourg	60.91	Q32
Malta	60.6	Q233
Latvia	60.75	Q211
Switzerland	60.61	Q39
Ukraine	60.6	Q212
France	57.9	Q142
Egypt	57.53	Q79
Croatia	56.97	Q224
Brazil	55.82	Q155
Germany	55.78	Q183
Romania	54.85	Q218
Portugal	54.1	Q45
Italy	53.92	Q38
Slovak Republic	52.69	Q214
Greece	52.59	Q41
Netherlands	50.89	Q55
China	48.16	Q148
Estonia	48.05	Q191
Mexico	47.01	Q96
Thailand	46.76	Q869
Spain	46.03	Q29
Belgium	45.73	Q31
South Africa	45.67	Q258
New Zealand	45.67	Q664
Austria	44.74	Q40
Indonesia	44.65	Q252
Belarus	44.18	Q184
Ireland	44.04	Q27
Argentina	43.77	Q414
Czech Republic	42.93	Q213
Slovenia	41.91	Q215
Cyprus	41.66	Q229
Algeria	41.45	Q262
Hungary	41.17	Q28
Turkey	40.76	Q43
Bulgaria	40.12	Q219
Poland	39.98	Q36
Japan	39.03	Q17
Russia	37.85	Q159
Malaysia	34.21	Q833
Kazakhstan	33.39	Q232
Canada	31.01	Q16
Australia	30.75	Q408
Iran	28.41	Q794
South Korea	26.75	Q884
Chinese Taipei	23.33	Q1867
Saudi Arabia	23.03	Q851
United States	18.6	Q30
