Country	Kg (2000)	Kg (2016)	ID
Afghanistan	806	1982	Q889
Albania	3175	4716	Q222
Algeria	883	1020	Q262
Angola	564	934	Q916
Antigua and Barbuda	1600	1587	Q781
Argentina	3473	5204	Q414
Armenia	1383	3076	Q399
Australia	1962	2075	Q408
Austria	5404	7245	Q40
Azerbaijan	2335	3005	Q227
Bahamas, The	2476	8526	Q778
Bangladesh	3384	4601	Q902
Barbados	2609	2853	Q244
Belarus	1950	3207	Q184
Belgium	8021	6985	Q31
Belize	2418	3165	Q242
Benin	1102	1456	Q962
Bhutan	1438	3378	Q917
Bolivia	1642	2111	Q750
Bosnia and Herzegovina	2550	5192	Q225
Botswana	153	478	Q963
Brazil	2643	4181	Q155
Brunei Darussalam	650	1558	Q921
Bulgaria	2460	4818	Q219
Burkina Faso	856	1137	Q965
Burundi	1228	1525	Q967
Cabo Verde	795	178	Q1011
Cambodia	2134	3478	Q424
Cameroon	1764	1644	Q1009
Canada	2806	4159	Q16
Central African Republic	993	880	Q929
Chad	531	845	Q657
Chile	4362	6858	Q298
China	4753	5981	Q148
Hong Kong SAR, China	1923	2000	Q8646
Colombia	3229	4342	Q739
Comoros	1322	1354	Q970
Congo, Dem. Rep.	787	770	Q974
Congo, Rep.	754	824	Q971
Costa Rica	3626	4018	Q800
Cote d'Ivoire	1682	2135	Q1008
Croatia	4115	6691	Q224
Cuba	2528	2939	Q241
Cyprus	931	436	Q229
Czech Republic	3906	6317	Q213
Denmark	6216	6222	Q35
Djibouti	1833	1922	Q977
Dominica	1357	1692	Q784
Dominican Republic	4159	3152	Q786
Ecuador	2306	3791	Q736
Egypt, Arab Rep.	7280	7249	Q79
El Salvador	2155	2746	Q792
Eritrea	377	641	Q986
Estonia	2115	2658	Q191
Eswatini	1633	1141	Q1050
Ethiopia	1116	2484	Q115
Fiji	2434	3366	Q712
Finland	3499	3574	Q33
France	7232	5687	Q142
Gabon	1630	1600	Q1000
Gambia, The	1296	877	Q1005
Georgia	1369	2517	Q230
Germany	6453	7182	Q183
Ghana	1309	1842	Q117
Greece	3869	4029	Q41
Grenada	1003	1007	Q769
Guam	1917	2607	Q16635
Guatemala	1776	2152	Q774
Guinea	1492	1144	Q1006
Guinea-Bissau	1097	1551	Q1007
Guyana	3799	3516	Q734
Haiti	932	1043	Q790
Honduras	1368	1759	Q783
Hungary	3633	6487	Q28
India	2294	3021	Q668
Indonesia	4026	5252	Q252
Iran, Islamic Rep.	1835	2653	Q794
Iraq	363	3086	Q796
Ireland	7796	8223	Q27
Israel	2443	4977	Q801
Italy	4994	5602	Q38
Jamaica	1147	1090	Q766
Japan	6257	6083	Q17
Jordan	1728	1872	Q810
Kazakhstan	943	1348	Q232
Kenya	1375	1383	Q114
Korea, Dem. Peopleâ€™s Rep.	2375	4084	Q423
Korea, Rep.	6380	6793	Q884
Kuwait	5611	5221	Q817
Kyrgyz Republic	2669	3104	Q813
Lao PDR	3018	4627	Q819
Latvia	2199	3828	Q211
Lebanon	2415	3032	Q822
Lesotho	719	468	Q1013
Liberia	1278	1273	Q1014
Libya	638	719	Q1016
Lithuania	2708	3860	Q37
Luxembourg	5329	5000	Q32
North Macedonia	2565	3859	Q221
Madagascar	1891	3906	Q1019
Malawi	1676	1347	Q1020
Malaysia	3040	4013	Q833
Maldives	1477	2556	Q826
Mali	1007	1606	Q912
Malta	4008	4759	Q233
Mauritania	864	1265	Q1025
Mauritius	8900	3455	Q1027
