Country	Survey year	Poorest quintile	Richest quintile	ID
Afghanistan	2015	38	56	Q889
Albania	2018	82	54	Q222
Algeria	2013	76	83	Q262
Angola	2016	13	57	Q916
Armenia	2016	91	79	Q399
Bangladesh	2014	69	92	Q902
Belize	2016	83	84	Q242
Benin	2018	43	66	Q962
Bolivia	2008	78	81	Q750
Burundi	2017	73	84	Q967
Cameroon	2014	61	91	Q1009
Chad	2015	6	30	Q657
Comoros	2012	64	67	Q970
Congo, Dem. Rep.	2014	40	72	Q974
Congo, Rep.	2016	36	65	Q971
Costa Rica	2011	14	27	Q800
Cote d'Ivoire	2016	64	74	Q1008
El Salvador	2014	86	92	Q792
Ethiopia	2016	79	76	Q115
Gambia, The	2018	35	16	Q1005
Guinea-Bissau	2014	52	62	Q1007
Guyana	2014	15	36	Q734
Haiti	2017	56	69	Q790
Honduras	2012	60	58	Q783
Iraq	2018	57	69	Q796
Jordan	2018	90	83	Q810
Kenya	2015	85	83	Q114
Kyrgyz Republic	2018	80	82	Q813
Maldives	2017	72	77	Q826
Mexico	2015	31	73	Q96
Moldova	2012	55	47	Q217
Mongolia	2018	99	80	Q711
Mozambique	2018	78	88	Q1029
Namibia	2013	53	85	Q1030
Nepal	2016	41	77	Q837
Papua New Guinea	2018	38	80	Q691
Philippines	2017	15	53	Q928
Sao Tome and Principe	2014	87	95	Q1039
Serbia	2014	73	83	Q403
Sierra Leone	2017	61	84	Q1044
Timor-Leste	2016	78	69	Q574
Togo	2017	65	83	Q945
Tunisia	2018	62	72	Q948
Uganda	2016	99	99	Q1036
Yemen, Rep.	2013	72	83	Q805
Zimbabwe	2015	98	83	Q954
