Country	%	ID
Afghanistan	62	Q889
Albania	82	Q222
Algeria	66	Q262
Angola	49	Q916
Armenia	94	Q399
Bangladesh	42	Q902
Belize	67	Q242
Benin	46	Q962
Burkina Faso	52	Q965
Burundi	62	Q967
Cambodia	69	Q424
Cameroon	28	Q1009
Chad	26	Q657
Congo, Dem. Rep.	42	Q974
Congo, Rep.	28	Q971
Cote d'Ivoire	44	Q1008
Cuba	93	Q241
Dominican Republic	73	Q786
Egypt, Arab Rep.	68	Q79
El Salvador	80	Q792
Eswatini	60	Q1050
Ethiopia	31	Q115
Gambia, The	68	Q1005
Ghana	56	Q117
Guatemala	52	Q774
Guinea	83	Q1006
Guinea-Bissau	34	Q1007
Guyana	84	Q734
Haiti	37	Q790
India	78	Q668
Indonesia	92	Q252
Iraq	44	Q796
Jordan	72	Q810
Kenya	66	Q114
Korea, Dem. Peopleâ€™s Rep.	86	Q423
Kosovo	73	Q1246
Kyrgyz Republic	60	Q813
Lao PDR	40	Q819
Lesotho	63	Q1013
Liberia	51	Q1014
Madagascar	41	Q1019
Malawi	78	Q1020
Mali	71	Q912
Mauritania	34	Q1025
Mexico	73	Q96
Mongolia	70	Q711
Mozambique	57	Q1029
Myanmar	58	Q836
Namibia	68	Q1030
Nepal	85	Q837
Niger	59	Q1032
Nigeria	73	Q1033
Oman	56	Q842
Pakistan	84	Q843
Panama	82	Q804
Papua New Guinea	63	Q691
Paraguay	89	Q733
Peru	62	Q419
Philippines	67	Q928
Rwanda	54	Q1037
Samoa	78	Q683
Sao Tome and Principe	69	Q1039
Senegal	60	Q1041
Sierra Leone	74	Q1044
Solomon Islands	79	Q685
South Africa	88	Q258
Sri Lanka	52	Q854
Sudan	48	Q1049
Tajikistan	69	Q863
Tanzania	55	Q924
Thailand	80	Q869
Timor-Leste	71	Q574
Togo	49	Q945
Turkmenistan	59	Q874
Uganda	80	Q1036
Uruguay	91	Q77
Vanuatu	72	Q686
Vietnam	81	Q881
West Bank and Gaza	77	Q407199
Yemen, Rep.	34	Q805
Zambia	76	Q953
Zimbabwe	51	Q954
