Country	Growth % (2017-18)	Growth % (2018-19)	ID
Afghanistan	0.6	2.3	Q889
Albania	2	1.4	Q222
Algeria	4.3	2	Q262
Angola	20.2	17.1	Q916
Argentina	34.3	53.5	Q414
Armenia	2.5	1.4	Q399
Aruba	3.6	4.3	Q21203
Australia	1.9	1.6	Q408
Austria	2	1.5	Q40
Azerbaijan	2.3	2.6	Q227
Bahamas, The	2.3	2.5	Q778
Bangladesh	5.5	5.6	Q902
Barbados	3.7	4.1	Q244
Belgium	2.1	1.4	Q31
Benin	0.8	-0.9	Q962
Bhutan	2.7	2.7	Q917
Bolivia	2.3	1.8	Q750
Bosnia and Herzegovina	1.4	0.6	Q225
Botswana	3.2	2.8	Q963
Brazil	3.7	3.7	Q155
Brunei Darussalam	1	-0.4	Q921
Bulgaria	2.8	3.1	Q219
Burkina Faso	2	-3.2	Q965
Burundi	-2.8	-0.7	Q967
Cabo Verde	1.3	1.1	Q1011
Cameroon	1.1	2.5	Q1009
Canada	2.3	1.9	Q16
Chad	4.3	-1	Q657
Chile	2.4	2.6	Q298
China	2.1	2.9	Q148
Hong Kong SAR, China	2.4	2.9	Q8646
Colombia	3.2	3.5	Q739
Congo, Rep.	1.2	2.2	Q971
Costa Rica	2.2	2.1	Q800
Cote d'Ivoire	0.4	-1.1	Q1008
Croatia	1.5	0.8	Q224
Curacao	2.6	2.6	Q25279
Cyprus	1.4	0.3	Q229
Czech Republic	2.1	2.8	Q213
Denmark	0.8	0.8	Q35
Djibouti	0.1	3.3	Q977
Dominican Republic	3.6	1.8	Q786
Ecuador	-0.2	0.3	Q736
El Salvador	1.1	0.1	Q792
Equatorial Guinea	1.3	1.2	Q983
Estonia	3.4	2.3	Q191
Ethiopia	13.8	15.8	Q115
Fiji	4.1	1.8	Q712
Finland	1.1	1	Q33
France	1.9	1.1	Q142
Gabon	4.7	2.5	Q1000
Gambia, The	6.5	7.1	Q1005
Georgia	2.6	4.9	Q230
Germany	1.7	1.4	Q183
Ghana	7.8	7.2	Q117
Greece	0.6	0.3	Q41
Guatemala	3.8	3.7	Q774
Guinea	9.8	9.5	Q1006
Guyana	1.3	2.1	Q734
Honduras	4.3	4.4	Q783
Hungary	2.9	3.3	Q28
Iceland	2.7	3	Q189
India	4.9	7.7	Q668
Indonesia	3.2	3	Q252
Iran, Islamic Rep.	18	39.9	Q794
Ireland	0.5	0.9	Q27
Israel	0.8	0.8	Q801
Italy	1.1	0.6	Q38
Jamaica	3.7	3.9	Q766
Japan	1	0.5	Q17
Jordan	4.5	0.8	Q810
Kazakhstan	6	5.2	Q232
Korea, Rep.	1.5	0.4	Q884
Kosovo	1.1	2.7	Q1246
Kuwait	0.5	1.1	Q817
Kyrgyz Republic	1.5	1.1	Q813
Lao PDR	2	3.3	Q819
Latvia	2.5	2.8	Q211
Lebanon	6.1	3	Q822
Lesotho	4.8	5.2	Q1013
Lithuania	2.7	2.3	Q37
Luxembourg	1.5	1.7	Q32
North Macedonia	1.5	0.8	Q221
Madagascar	8.6	5.6	Q1019
Malawi	12.4	9.4	Q1020
Malaysia	0.9	0.7	Q833
Maldives	-0.1	0.2	Q826
Mali	0.3	-1.7	Q912
Malta	1.2	1.6	Q233
Mauritania	3	2.3	Q1025
Mauritius	3.2	0.4	Q1027
Mexico	4.9	3.6	Q96
Moldova	3	4.8	Q217
Mongolia	6.8	7.3	Q711
Morocco	1.9	0.2	Q1028
Mozambique	3.9	2.8	Q1029
Myanmar	6.9	8.8	Q836
Namibia	4.3	3.7	Q1030
Nepal	4.1	5.6	Q837
Netherlands	1.7	2.6	Q55
New Zealand	1.6	1.6	Q664
Nicaragua	4.9	5.4	Q811
Niger	3	-2.5	Q1032
Nigeria	12.1	11.4	Q1033
Norway	2.8	2.2	Q20
Oman	0.9	0.1	Q842
Pakistan	5.1	10.6	Q843
Panama	0.8	-0.4	Q804
Papua New Guinea	4.7	3.6	Q691
Paraguay	4	2.8	Q733
Peru	1.3	2.1	Q419
Philippines	5.2	2.5	Q928
Poland	1.8	2.2	Q36
Portugal	1	0.3	Q45
Qatar	0.3	-0.7	Q846
Romania	4.6	3.8	Q218
Russian Federation	2.9	4.5	Q159
Rwanda	-0.3	3.4	Q1037
Samoa	4.2	1	Q683
Saudi Arabia	2.5	-2.1	Q851
Senegal	0.5	1.8	Q1041
Serbia	2	1.8	Q403
Seychelles	3.7	1.8	Q1042
Sierra Leone	16	14.8	Q1044
Singapore	0.4	0.6	Q334
Slovak Republic	2.5	2.7	Q214
Slovenia	1.7	1.6	Q215
Solomon Islands	3.5	1.6	Q685
South Africa	4.5	4.1	Q258
Spain	1.7	0.7	Q29
Sri Lanka	2.1	3.5	Q854
Sudan	63.3	51	Q1049
Sweden	2	1.8	Q34
Switzerland	0.9	0.4	Q39
Tanzania	3.5	3.5	Q924
Thailand	1.1	0.7	Q869
Togo	0.9	0.7	Q945
Tunisia	7.3	6.7	Q948
Turkey	16.3	15.2	Q43
Uganda	2.6	2.9	Q1036
Ukraine	11	7.9	Q212
United Arab Emirates	3.1	-1.9	Q878
United Kingdom	2.3	1.7	Q145
United States	2.4	1.8	Q30
Uruguay	7.6	7.9	Q77
Vanuatu	2.3	2.8	Q686
Vietnam	3.5	2.8	Q881
West Bank and Gaza	-0.2	1.6	Q407199
Zambia	7.5	9.2	Q953
