Country	Survey Year	Bribery incidence	ID
Afghanistan	2014	46.8	Q889
Albania	2019	36.1	Q222
Algeria	2007	18.8	Q262
Angola	2010	51.3	Q916
Antigua and Barbuda	2010	6.9	Q781
Argentina	2017	9.3	Q414
Armenia	2013	8.7	Q399
Azerbaijan	2013	16	Q227
Bahamas, The	2010	21	Q778
Bangladesh	2013	47.7	Q902
Barbados	2010	1.2	Q244
Belarus	2018	4.9	Q184
Belize	2010	6.2	Q242
Benin	2016	14.5	Q962
Bhutan	2015	0.9	Q917
Bolivia	2017	9.1	Q750
Bosnia and Herzegovina	2019	16	Q225
Botswana	2010	8.4	Q963
Brazil	2009	11.7	Q155
Bulgaria	2019	10	Q219
Burkina Faso	2009	9.8	Q965
Burundi	2014	30.3	Q967
Cambodia	2016	64.7	Q424
Cameroon	2016	26.7	Q1009
Cabo Verde	2009	2	Q1011
Central African Republic	2011	21	Q929
Chad	2018	27.4	Q657
Chile	2010	1.3	Q298
China	2012	11.6	Q148
Colombia	2017	6.6	Q739
Congo, Dem. Rep.	2013	56.5	Q974
Congo, Rep.	2009	37.5	Q971
Costa Rica	2010	8.7	Q800
Cote d'Ivoire	2016	25.3	Q1008
Croatia	2019	10.1	Q224
Cyprus	2019	0.2	Q229
Czech Republic	2019	3.5	Q213
Djibouti	2013	11.1	Q977
Dominica	2010	5.8	Q784
Dominican Republic	2016	12.3	Q786
Ecuador	2017	5.9	Q736
Egypt, Arab Rep.	2016	15.2	Q79
El Salvador	2016	4.2	Q792
Eritrea	2009	0	Q986
Estonia	2019	0	Q191
Ethiopia	2015	26.8	Q115
Fiji	2009	10.5	Q712
Gabon	2009	23.2	Q1000
Gambia, The	2018	9.2	Q1005
Georgia	2019	1.3	Q230
Ghana	2013	18.7	Q117
Greece	2018	5.5	Q41
Grenada	2010	6.6	Q769
Guatemala	2017	2.8	Q774
Guinea	2016	7.9	Q1006
Guinea-Bissau	2006	27.6	Q1007
Guyana	2010	14.9	Q734
Honduras	2016	8.7	Q783
Hungary	2019	4.7	Q28
India	2014	22.7	Q668
Indonesia	2015	30.6	Q252
Iraq	2011	37.3	Q796
Israel	2013	0.1	Q801
Italy	2019	11.8	Q38
Jamaica	2010	19.3	Q766
Jordan	2019	2.5	Q810
Kazakhstan	2019	11.6	Q232
Kenya	2018	23.9	Q114
Kosovo	2019	3.2	Q1246
Kyrgyz Republic	2019	31.4	Q813
Lao PDR	2018	40.3	Q819
Latvia	2019	2	Q211
Lebanon	2019	21.8	Q822
Lesotho	2016	14.6	Q1013
Liberia	2017	56.1	Q1014
Lithuania	2019	0.2	Q37
North Macedonia	2019	7.4	Q221
Madagascar	2013	32.9	Q1019
Malawi	2014	24.2	Q1020
Malaysia	2015	28.2	Q833
Mali	2016	33.7	Q912
Malta	2019	2.4	Q233
Mauritania	2014	28.9	Q1025
Mauritius	2009	3.9	Q1027
Mexico	2010	17.6	Q96
Micronesia, Fed. Sts.	2009	4.5	Q702
Moldova	2019	11.9	Q217
Mongolia	2019	24.7	Q711
Montenegro	2019	21.4	Q236
Morocco	2019	16.9	Q1028
Mozambique	2018	21.1	Q1029
Myanmar	2016	29.3	Q836
Namibia	2014	9.1	Q1030
Nepal	2013	14.4	Q837
Nicaragua	2016	6.5	Q811
Niger	2017	7.8	Q1032
Nigeria	2014	28.9	Q1033
Pakistan	2013	30.8	Q843
Panama	2010	7.1	Q804
Papua New Guinea	2015	26.4	Q691
Paraguay	2017	13.8	Q733
Peru	2017	17.6	Q419
Philippines	2015	17.2	Q928
Poland	2019	2.8	Q36
Portugal	2019	0.3	Q45
Romania	2013	9.8	Q218
Russian Federation	2019	26.8	Q159
Rwanda	2019	4.1	Q1037
Samoa	2009	30.5	Q683
Senegal	2014	11.1	Q1041
Serbia	2019	6.9	Q403
Sierra Leone	2017	46.1	Q1044
Slovak Republic	2019	2.4	Q214
Slovenia	2019	1.8	Q215
Solomon Islands	2015	43.8	Q685
South Africa	2007	4.2	Q258
South Sudan	2014	48	Q958
Sri Lanka	2011	10	Q854
St. Kitts and Nevis	2010	2.2	Q763
St. Lucia	2010	11.6	Q760
St. Vincent and the Grenadines	2010	4.9	Q757
Sudan	2014	17.6	Q1049
Suriname	2018	12.7	Q730
Eswatini	2016	6.7	Q1050
Sweden	2014	1.9	Q34
Syrian Arab Republic	2009	69.6	Q858
Tajikistan	2019	11.1	Q863
Tanzania	2013	20.8	Q924
Thailand	2016	9.9	Q869
Timor-Leste	2015	44.2	Q574
Togo	2016	7	Q945
Tonga	2009	24.9	Q678
Trinidad and Tobago	2010	10.5	Q754
Tunisia	2013	10.3	Q948
Turkey	2019	1.4	Q43
Uganda	2013	22	Q1036
Ukraine	2019	37.4	Q212
Uruguay	2017	2.4	Q77
Uzbekistan	2019	5.9	Q265
Vanuatu	2009	11.9	Q686
Venezuela, RB	2010	10.3	Q717
Vietnam	2015	26.1	Q881
West Bank and Gaza	2019	7.9	Q407199
Yemen, Rep.	2013	64.3	Q805
Zambia	2019	9.6	Q953
Zimbabwe	2016	17.5	Q954
