Country	2019	2018	2017	2016	2015	2014	2013	2012	ID
New Zealand	87	87	89	90	91.0	91.0	91.0	90.0	Q664
Denmark	87	88	88	90	91.0	92.0	91.0	90.0	Q35
Finland	86	85	85	89	90.0	89.0	89.0	90.0	Q33
Singapore	85	85	84	84	85.0	84.0	86.0	87.0	Q334
Switzerland	85	85	85	86	86.0	86.0	85.0	86.0	Q39
Sweden	85	85	84	88	89.0	87.0	89.0	88.0	Q34
Norway	84	84	85	85	87.0	86.0	86.0	85.0	Q20
Netherlands	82	82	82	83	87.0	83.0	83.0	84.0	Q55
Luxembourg	80	81	82	81	81.0	82.0	80.0	80.0	Q32
Germany	80	80	81	81	81.0	79.0	78.0	79.0	Q183
Iceland	78	76	77	78	79.0	79.0	78.0	82.0	Q189
Canada	77	81	82	82	83.0	81.0	81.0	84.0	Q16
United Kingdom	77	80	82	81	81.0	78.0	76.0	74.0	Q145
Australia	77	77	77	79	79.0	80.0	81.0	85.0	Q408
Austria	77	76	75	75	76.0	72.0	69.0	69.0	Q40
Hong Kong	76	76	77	77	75.0	74.0	75.0	77.0	Q8646
Belgium	75	75	75	77	77.0	76.0	75.0	75.0	Q31
Ireland	74	73	74	73	75.0	74.0	72.0	69.0	Q27
Estonia	74	73	71	70	70.0	69.0	68.0	64.0	Q191
Japan	73	73	73	72	75.0	76.0	74.0	74.0	Q17
Uruguay	71	70	70	71	74.0	73.0	73.0	72.0	Q77
United Arab Emirates	71	70	71	66	70.0	70.0	69.0	68.0	Q878
France	69	72	70	69	70.0	69.0	71.0	71.0	Q142
United States	69	71	75	74	76.0	74.0	73.0	73.0	Q30
Bhutan	68	68	67	65	65.0	65.0	63.0	63.0	Q917
Chile	67	67	67	66	70.0	73.0	71.0	72.0	Q298
Taiwan	65	63	63	61	62.0	61.0	61.0	61.0	Q865
Spain	62	58	57	58	58.0	60.0	59.0	65.0	Q29
Portugal	62	64	63	62	63.0	63.0	62.0	63.0	Q45
Qatar	62	62	63	61	71.0	69.0	68.0	68.0	Q846
Botswana	61	61	61	60	63.0	63.0	64.0	65.0	Q963
Israel	60	61	62	64	61.0	60.0	61.0	60.0	Q801
Slovenia	60	60	61	61	60.0	58.0	57.0	61.0	Q215
Lithuania	60	59	59	59	61.0	58.0	57.0	54.0	Q37
South Korea	59	57	54	53	56.0	55.0	55.0	56.0	Q884
Poland	58	60	60	62	62.0	61.0	60.0	58.0	Q36
Cyprus	58	59	57	55	61.0	63.0	63.0	66.0	Q229
Cape Verde	58	57	55	59	55.0	57.0	58.0	60.0	Q1011
Czech Republic	56	59	57	55	56.0	51.0	48.0	49.0	Q213
Georgia	56	58	56	57	52.0	52.0	49.0	52.0	Q230
Latvia	56	58	58	57	55.0	55.0	53.0	49.0	Q211
Costa Rica	56	56	59	58	55.0	54.0	53.0	54.0	Q800
Malta	54	54	56	55	56.0	55.0	56.0	57.0	Q233
Rwanda	53	56	55	54	54.0	49.0	53.0	53.0	Q1037
Italy	53	52	50	47	44.0	43.0	43.0	42.0	Q38
Saudi Arabia	53	49	49	46	52.0	49.0	46.0	44.0	Q851
Malaysia	53	47	47	49	50.0	52.0	50.0	49.0	Q833
Namibia	52	53	51	52	53.0	49.0	48.0	48.0	Q1030
Oman	52	52	44	45	45.0	45.0	47.0	47.0	Q842
Mauritius	52	51	50	54	53.0	54.0	52.0	57.0	Q1027
Slovakia	50	50	50	51	51.0	50.0	47.0	46.0	Q214
Greece	48	45	48	44	46.0	43.0	40.0	36.0	Q41
Jordan	48	49	48	48	53.0	49.0	45.0	48.0	Q810
Cuba	48	47	47	47	47.0	46.0	46.0	48.0	Q241
Croatia	47	48	49	49	51.0	48.0	48.0	46.0	Q224
São Tomé and Príncipe	46	46	46	46	42.0	42.0	42.0	42.0	Q1039
Montenegro	45	45	46	45	44.0	42.0	44.0	41.0	Q236
Senegal	45	45	45	45	44.0	43.0	41.0	36.0	Q1041
Belarus	45	44	44	40	32.0	31.0	29.0	31.0	Q184
Argentina	45	40	39	36	32.0	34.0	34.0	35.0	Q414
Romania	44	47	48	48	46.0	43.0	43.0	44.0	Q218
South Africa	44	43	43	45	44.0	44.0	42.0	43.0	Q258
Suriname	44	43	41	45	36.0	36.0	36.0	37.0	Q730
Hungary	44	46	45	48	51.0	54.0	54.0	55.0	Q28
Jamaica	43	44	44	39	41.0	38.0	38.0	38.0	Q766
Tunisia	43	43	42	41	38.0	40.0	41.0	41.0	Q948
Bulgaria	43	42	43	41	41.0	43.0	41.0	41.0	Q219
Bahrain	42	36	36	43	51.0	49.0	48.0	51.0	Q398
Armenia	42	35	35	33	35.0	37.0	36.0	34.0	Q399
Morocco	41	43	40	37	36.0	39.0	37.0	37.0	Q1028
India	41	41	40	40	38.0	38.0	36.0	36.0	Q668
Ghana	41	41	40	43	47.0	48.0	46.0	45.0	Q117
Benin	41	40	39	36	37.0	39.0	36.0	36.0	Q962
China	41	39	41	40	37.0	36.0	40.0	39.0	Q148
Burkina Faso	40	41	42	42	38.0	38.0	38.0	38.0	Q965
Kuwait	40	41	39	41	49.0	44.0	43.0	44.0	Q817
Indonesia	40	38	37	37	36.0	34.0	32.0	32.0	Q252
Guyana	40	37	38	34	29.0	30.0	27.0	28.0	Q734
Lesotho	40	41	42	39	44.0	49.0	49.0	45.0	Q1013
Trinidad and Tobago	40	41	41	35	39.0	38.0	38.0	39.0	Q754
Serbia	39	39	41	42	40.0	41.0	42.0	39.0	Q403
Turkey	39	41	40	41	42.0	45.0	50.0	49.0	Q43
East Timor	38	35	38	35	28.0	28.0	30.0	33.0	Q574
Sri Lanka	38	38	38	36	37.0	38.0	37.0	40.0	Q854
Ecuador	38	34	32	31	32.0	33.0	35.0	32.0	Q736
Vietnam	37	33	35	33	31.0	31.0	31.0	31.0	Q881
Colombia	37	36	37	37	37.0	37.0	36.0	36.0	Q739
Tanzania	37	36	36	32	30.0	31.0	33.0	35.0	Q924
Ethiopia	37	34	35	34	33.0	33.0	33.0	33.0	Q115
Gambia	37	37	30	26	28.0	29.0	28.0	34.0	Q1005
Bosnia and Herzegovina	36	38	38	39	38.0	39.0	42.0	42.0	Q225
Panama	36	37	37	38	39.0	37.0	35.0	38.0	Q804
Kosovo	36	37	39	36	33.0	33.0	33.0	34.0	Q1246
Thailand	36	36	37	35	38.0	38.0	35.0	37.0	Q869
Peru	36	35	37	35	36.0	38.0	38.0	38.0	Q419
Egypt	35	35	32	34	36.0	37.0	32.0	32.0	Q79
Ivory Coast	35	35	36	34	32.0	32.0	27.0	29.0	Q1008
Mongolia	35	37	36	38	39.0	39.0	38.0	36.0	Q711
North Macedonia	35	37	35	37	42.0	45.0	44.0	43.0	Q221
Albania	35	36	38	39	36.0	33.0	31.0	33.0	Q222
Brazil	35	35	37	40	38.0	43.0	42.0	43.0	Q155
Algeria	35	35	33	34	36.0	36.0	36.0	34.0	Q262
Philippines	34	36	34	35	35.0	38.0	36.0	34.0	Q928
Zambia	34	35	37	38	38.0	38.0	38.0	37.0	Q953
El Salvador	34	35	33	36	39.0	39.0	38.0	38.0	Q792
Kazakhstan	34	31	31	29	28.0	29.0	26.0	28.0	Q232
Nepal	34	31	31	29	27.0	29.0	31.0	27.0	Q837
Sierra Leone	33	30	30	30	29.0	31.0	30.0	31.0	Q1044
Niger	32	34	33	35	34.0	35.0	34.0	33.0	Q1032
Pakistan	32	33	32	32	30.0	29.0	28.0	27.0	Q843
Moldova	32	33	31	30	33.0	35.0	35.0	36.0	Q217
Bolivia	31	29	33	33	34.0	35.0	34.0	34.0	Q750
Malawi	31	32	31	31	31.0	33.0	37.0	37.0	Q1020
Gabon	31	31	32	35	34.0	37.0	34.0	35.0	Q1000
Djibouti	30	31	31	30	34.0	34.0	36.0	36.0	Q977
Ukraine	30	32	30	29	27.0	26.0	25.0	26.0	Q212
Azerbaijan	30	25	31	30	29.0	29.0	28.0	27.0	Q227
Kyrgyzstan	30	29	29	28	28.0	27.0	24.0	24.0	Q813
Myanmar	29	29	30	28	22.0	21.0	21.0	15.0	Q836
Mexico	29	28	29	30	35.0	35.0	34.0	34.0	Q96
Mali	29	32	31	32	35.0	32.0	28.0	34.0	Q912
Togo	29	30	32	32	32.0	29.0	29.0	30.0	Q945
Guinea	29	28	27	27	25.0	25.0	24.0	24.0	Q1006
Laos	29	29	29	30	25.0	25.0	26.0	21.0	Q819
Liberia	28	32	31	37	37.0	37.0	38.0	41.0	Q1014
Dominican Republic	28	30	29	31	33.0	32.0	29.0	32.0	Q786
Paraguay	28	29	29	30	27.0	24.0	24.0	25.0	Q733
Russia	28	28	29	29	29.0	27.0	28.0	28.0	Q159
Lebanon	28	28	28	28	28.0	27.0	28.0	30.0	Q822
Papua New Guinea	28	28	29	28	25.0	25.0	25.0	25.0	Q691
Mauritania	28	27	28	27	31.0	30.0	30.0	31.0	Q1025
Uganda	28	26	26	25	25.0	26.0	26.0	29.0	Q1036
