Country	2000	2016	ID
Afghanistan	70.2	148	Q889
Albania	85.8	182.1	Q222
Algeria	53.6	154.3	Q262
American Samoa	74.8	118.3	Q16641
Angola	52.5	208.7	Q916
Antigua and Barbuda	108	111.8	Q781
Argentina	81.3	145.5	Q414
Armenia	58	124.9	Q399
Australia	96.4	107.1	Q408
Austria	94.4	90.8	Q40
Azerbaijan	71.2	122.5	Q227
Bahamas, The	87.2	142.7	Q778
Bahrain	110.2	103.6	Q398
Bangladesh	90.6	146.4	Q902
Barbados	128.7	45.7	Q244
Belarus	75.9	100.5	Q184
Belgium	102.3	88.7	Q31
Belize	97.5	91.9	Q242
Benin	91.6	157.6	Q962
Bermuda	105.1	114	Q23635
Bhutan	63	108.9	Q917
Bolivia	85	153.9	Q750
Bosnia and Herzegovina	65	118.3	Q225
Botswana	90.8	126.4	Q963
Brazil	77.6	142.7	Q155
Brunei Darussalam	90.9	96.9	Q921
Bulgaria	85.9	128.1	Q219
Burkina Faso	58.9	144.9	Q965
Burundi	85.8	105.2	Q967
Cabo Verde	112.5	108.7	Q1011
Cambodia	71.5	210.8	Q424
Cameroon	77.8	186	Q1009
Canada	96.1	141.1	Q16
Cayman Islands	98.8	104	Q5785
Central African Republic	99.9	116.3	Q929
Chad	79.5	176.1	Q657
Chile	82	116	Q298
China	84.8	144.2	Q148
Hong Kong SAR, China	114.1	101.3	Q8646
Macao SAR, China	84.8	117	Q14773
Colombia	88.2	114.6	Q739
Comoros	96.1	108.7	Q970
Congo, Dem. Rep.	102.5	108.8	Q974
Congo, Rep.	86.3	126.1	Q971
Costa Rica	89.5	130.3	Q800
Cote d'Ivoire	98.9	127.6	Q1008
Croatia	77.8	133.2	Q224
Cuba	112.1	93.1	Q241
Cyprus	111.8	64.3	Q229
Czech Republic	104.5	115.2	Q213
Denmark	103.5	103.8	Q35
Djibouti	96.3	129.3	Q977
Dominica	119.6	115.3	Q784
Dominican Republic	87.6	171	Q786
