Country	Deaths	ID
Afghanistan	0.11	Q889
Albania	1.43	Q222
Algeria	0.81	Q262
American Samoa	6.86	Q16641
Andorra	18.15	Q228
Angola	0.76	Q916
Antigua and Barbuda	0.69	Q781
Argentina	2.04	Q414
Armenia	3.39	Q399
Australia	14.6	Q408
Austria	48.24	Q40
Azerbaijan	3.84	Q227
Bahamas	1.22	Q778
Bahrain	0.35	Q398
Bangladesh	0.53	Q902
Barbados	1.41	Q244
Belarus	2.42	Q184
Belgium	17.34	Q31
Belize	0.59	Q242
Benin	0.3	Q962
Bermuda	0.57	Q23635
Bhutan	0.92	Q917
Bolivia	1.92	Q750
Bosnia and Herzegovina	1.48	Q225
Botswana	2.03	Q963
Brazil	3.83	Q155
Brunei	46.66	Q921
Bulgaria	3.35	Q219
Burkina Faso	0.25	Q965
Burundi	0.23	Q967
Cambodia	0.09	Q424
Cameroon	1.0	Q1009
Canada	14.67	Q16
Cape Verde	0.79	Q1011
Central African Republic	0.45	Q929
Chad	0.21	Q657
Chile	0.37	Q298
China	2.63	Q148
Colombia	0.28	Q739
Comoros	0.74	Q970
Congo	1.85	Q971
Costa Rica	0.35	Q800
Cote d'Ivoire	0.43	Q1008
Croatia	4.47	Q224
Cuba	3.37	Q241
Cyprus	0.7	Q229
Czech Republic	3.09	Q213
Democratic Republic of Congo	0.47	Q974
Denmark	10.22	Q35
Djibouti	0.48	Q977
Dominica	1.65	Q784
Dominican Republic	12.84	Q786
Ecuador	0.6	Q736
Egypt	0.61	Q79
El Salvador	2.85	Q792
England	20.77	Q21
Equatorial Guinea	1.74	Q983
Eritrea	0.49	Q986
Estonia	60.86	Q191
Ethiopia	0.2	Q115
Fiji	4.77	Q712
Finland	23.06	Q33
France	24.83	Q142
Gabon	1.81	Q1000
Gambia	0.46	Q1005
Georgia	5.01	Q230
Germany	33.57	Q183
Ghana	1.08	Q117
Greece	16.39	Q41
Greenland	9.81	Q223
Grenada	0.62	Q769
Guam	8.72	Q16635
Guatemala	1.32	Q774
Guinea	0.31	Q1006
Guinea-Bissau	0.33	Q1007
Guyana	0.79	Q734
Haiti	0.27	Q790
Honduras	3.03	Q783
Hungary	2.96	Q28
Iceland	3.57	Q189
India	1.05	Q668
Indonesia	0.24	Q252
Iran	9.47	Q794
Iraq	0.29	Q796
Ireland	3.83	Q27
Israel	0.88	Q801
Italy	10.9	Q38
Jamaica	1.06	Q766
Japan	44.01	Q17
Jordan	0.97	Q810
Kazakhstan	3.81	Q232
Kenya	1.22	Q114
Kiribati	2.2	Q710
Kuwait	11.02	Q817
Kyrgyzstan	8.84	Q813
Laos	0.13	Q819
Latvia	3.2	Q211
Lebanon	1.86	Q822
Lesotho	1.5	Q1013
Liberia	0.31	Q1014
Libya	2.85	Q1016
Lithuania	0.42	Q37
Luxembourg	61.81	Q32
Macedonia	2.74	Q221
Madagascar	0.37	Q1019
Malawi	0.48	Q1020
Malaysia	0.4	Q833
Maldives	0.12	Q826
Mali	0.22	Q912
Malta	16.06	Q233
Marshall Islands	6.55	Q709
Mauritania	0.52	Q1025
Mauritius	0.32	Q1027
Mexico	2.92	Q96
Micronesia (country)	4.4	Q702
Moldova	19.78	Q217
Mongolia	3.7	Q711
Montenegro	2.78	Q236
Morocco	0.35	Q1028
Mozambique	0.38	Q1029
Myanmar	0.19	Q836
Namibia	1.52	Q1030
Nepal	0.37	Q837
Netherlands	44.35	Q55
New Zealand	9.1	Q664
Nicaragua	2.0	Q811
Niger	0.13	Q1032
Nigeria	0.74	Q1033
North Korea	0.62	Q423
Northern Ireland	24.67	Q26
Northern Mariana Islands	4.61	Q16644
Norway	14.74	Q20
Oman	0.51	Q842
Pakistan	0.97	Q843
Palestine	0.78	Q219060
Panama	13.64	Q804
Papua New Guinea	1.52	Q691
Paraguay	12.3	Q733
Peru	3.51	Q419
Philippines	0.16	Q928
Poland	11.44	Q36
Portugal	0.25	Q45
Puerto Rico	9.04	Q1183
Qatar	0.38	Q846
Romania	2.67	Q218
Russia	4.19	Q159
Rwanda	0.45	Q1037
Saint Lucia	0.6	Q760
Saint Vincent and the Grenadines	0.51	Q757
Samoa	3.95	Q683
Sao Tome and Principe	0.99	Q1039
Saudi Arabia	0.74	Q851
Scotland	27.68	Q22
Senegal	0.36	Q1041
Serbia	1.95	Q403
Seychelles	0.42	Q1042
Sierra Leone	0.33	Q1044
Singapore	0.89	Q334
Slovakia	3.49	Q214
Slovenia	2.98	Q215
Solomon Islands	1.58	Q685
Somalia	0.2	Q1045
South Africa	2.95	Q258
South Korea	32.59	Q884
South Sudan	0.23	Q958
Spain	6.36	Q29
Sri Lanka	0.3	Q854
Sudan	0.21	Q1049
Suriname	0.66	Q730
Swaziland	1.88	Q1050
Sweden	9.83	Q34
Switzerland	54.73	Q39
Syria	0.55	Q858
Taiwan	7.42	Q865
Tajikistan	2.76	Q863
Tanzania	0.64	Q924
Thailand	0.4	Q869
Timor	0.14	Q574
Togo	0.43	Q945
Tonga	3.16	Q678
Trinidad and Tobago	0.57	Q754
Tunisia	0.52	Q948
Turkey	1.45	Q43
Turkmenistan	3.34	Q874
Uganda	0.48	Q1036
Ukraine	2.81	Q212
United Arab Emirates	1.06	Q878
United Kingdom	21.43	Q145
United States	13.45	Q30
United States Virgin Islands	0.18	Q11703
Uruguay	2.33	Q77
Uzbekistan	3.83	Q265
Vanuatu	3.14	Q686
Venezuela	0.39	Q717
Vietnam	0.21	Q881
Wales	20.53	Q25
Yemen	0.12	Q805
Zambia	0.96	Q953
Zimbabwe	1.47	Q954
