Country	Deaths	ID
Afghanistan	74.24	Q889
Albania	18.18	Q222
Algeria	19.11	Q262
American Samoa	52.53	Q16641
Andorra	21.65	Q228
Angola	45.18	Q916
Antigua and Barbuda	12.25	Q781
Argentina	34.18	Q414
Armenia	32.75	Q399
Australia	23.61	Q408
Austria	16.82	Q40
Azerbaijan	32.57	Q227
Bahamas	15.39	Q778
Bahrain	22.14	Q398
Bangladesh	76.12	Q902
Barbados	12.94	Q244
Belarus	12.6	Q184
Belgium	25.3	Q31
Belize	28.14	Q242
Benin	47.78	Q962
Bermuda	12.28	Q23635
Bhutan	87.13	Q917
Bolivia	43.18	Q750
Bosnia and Herzegovina	22.68	Q225
Botswana	46.29	Q963
Brazil	33.89	Q155
Brunei	46.36	Q921
Bulgaria	21.17	Q219
Burkina Faso	31.65	Q965
Burundi	54.65	Q967
Cambodia	50.76	Q424
Cameroon	52.8	Q1009
Canada	21.56	Q16
Cape Verde	20.37	Q1011
Central African Republic	79.17	Q929
Chad	51.42	Q657
Chile	26.27	Q298
China	62.8	Q148
Colombia	27.87	Q739
Comoros	37.05	Q970
Congo	56.9	Q971
Costa Rica	27.02	Q800
Cote d'Ivoire	42.19	Q1008
Croatia	19.78	Q224
Cuba	22.86	Q241
Cyprus	24.38	Q229
Czech Republic	17.85	Q213
Democratic Republic of Congo	62.68	Q974
Denmark	34.96	Q35
Djibouti	33.44	Q977
Dominica	23.4	Q784
Dominican Republic	19.01	Q786
Ecuador	24.83	Q736
Egypt	42.81	Q79
El Salvador	22.57	Q792
England	32.23	Q21
Equatorial Guinea	39.65	Q983
Eritrea	52.25	Q986
Estonia	9.98	Q191
Ethiopia	33.34	Q115
Fiji	64.4	Q712
Finland	13.2	Q33
France	11.88	Q142
Gabon	33.57	Q1000
Gambia	47.47	Q1005
Georgia	29.78	Q230
Germany	21.34	Q183
Ghana	32.97	Q117
Greece	19.8	Q41
Greenland	50.23	Q223
Grenada	18.34	Q769
Guam	34.87	Q16635
Guatemala	20.55	Q774
Guinea	58.08	Q1006
Guinea-Bissau	59.98	Q1007
Guyana	20.56	Q734
Haiti	55.22	Q790
Honduras	36.74	Q783
Hungary	27.23	Q28
Iceland	18.87	Q189
India	146.63	Q668
Indonesia	57.58	Q252
Iran	24.9	Q794
Iraq	10.5	Q796
Ireland	29.02	Q27
Israel	14.64	Q801
Italy	15.19	Q38
Jamaica	23.61	Q766
Japan	11.41	Q17
Jordan	17.09	Q810
Kazakhstan	37.74	Q232
Kenya	40.38	Q114
Kiribati	115.1	Q710
Kuwait	7.96	Q817
Kyrgyzstan	37.5	Q813
Laos	75.31	Q819
Latvia	9.92	Q211
Lebanon	22.4	Q822
Lesotho	100.44	Q1013
Liberia	32.45	Q1014
Libya	31.4	Q1016
Lithuania	12.26	Q37
Luxembourg	22.13	Q32
Macedonia	16.11	Q221
Madagascar	71.34	Q1019
Malawi	36.92	Q1020
Malaysia	27.8	Q833
Maldives	41.33	Q826
Mali	62.48	Q912
Malta	18.21	Q233
Marshall Islands	92.54	Q709
Mauritania	34.26	Q1025
Mauritius	34.87	Q1027
Mexico	33.17	Q96
Micronesia (country)	78.65	Q702
Moldova	16.11	Q217
Mongolia	21.33	Q711
Montenegro	8.85	Q236
Morocco	27.94	Q1028
Mozambique	40.48	Q1029
Myanmar	150.26	Q836
Namibia	51.47	Q1030
Nepal	131.37	Q837
Netherlands	27.37	Q55
New Zealand	26.03	Q664
Nicaragua	20.29	Q811
Niger	48.31	Q1032
Nigeria	25.98	Q1033
North Korea	163.77	Q423
Northern Ireland	34.76	Q26
Northern Mariana Islands	35.26	Q16644
Norway	24.89	Q20
Oman	12.8	Q842
Pakistan	82.17	Q843
Palestine	20.24	Q219060
Panama	18.73	Q804
Papua New Guinea	350.72	Q691
Paraguay	22.06	Q733
Peru	23.63	Q419
Philippines	56.26	Q928
Poland	16.06	Q36
Portugal	22.39	Q45
Puerto Rico	20.51	Q1183
Qatar	13.62	Q846
Romania	19.21	Q218
Russia	16.27	Q159
Rwanda	45.2	Q1037
Saint Lucia	25.96	Q760
Saint Vincent and the Grenadines	15.81	Q757
Samoa	55.13	Q683
Sao Tome and Principe	94.47	Q1039
Saudi Arabia	24.56	Q851
Scotland	39.42	Q22
Senegal	44.59	Q1041
Serbia	25.89	Q403
Seychelles	28.3	Q1042
Sierra Leone	46.63	Q1044
Singapore	9.52	Q334
Slovakia	12.41	Q214
Slovenia	12.98	Q215
Solomon Islands	87.2	Q685
Somalia	58.32	Q1045
South Africa	46.89	Q258
South Korea	18.13	Q884
South Sudan	52.62	Q958
Spain	26.13	Q29
Sri Lanka	60.7	Q854
Sudan	37.45	Q1049
Suriname	23.07	Q730
Swaziland	68.23	Q1050
Sweden	18.21	Q34
Switzerland	13.99	Q39
Syria	27.44	Q858
Taiwan	23.94	Q865
Tajikistan	32.05	Q863
Tanzania	29.12	Q924
Thailand	21.67	Q869
Timor	67.96	Q574
Togo	44.87	Q945
Tonga	58.48	Q678
Trinidad and Tobago	14.98	Q754
Tunisia	23.26	Q948
Turkey	35.97	Q43
Turkmenistan	13.85	Q874
Uganda	38.72	Q1036
Ukraine	14.43	Q212
United Arab Emirates	43.91	Q878
United Kingdom	33.08	Q145
United States	34.05	Q30
United States Virgin Islands	18.1	Q11703
Uruguay	34.17	Q77
Uzbekistan	24.39	Q265
Vanuatu	103.71	Q686
Venezuela	22.72	Q717
Vietnam	45.29	Q881
Wales	35.23	Q25
Yemen	46.74	Q805
Zambia	40.69	Q953
Zimbabwe	59.22	Q954
