Country	deaths	ID
Afghanistan	632	Q889
Albania	1,485	Q222
Algeria	941	Q262
American Samoa	2	Q16641
Andorra	27	Q228
Angola	9,08	Q916
Antigua and Barbuda	16	Q781
Argentina	7,181	Q414
Armenia	290	Q399
Australia	7,227	Q408
Austria	4,745	Q40
Azerbaijan	3,98	Q227
Bahamas	151	Q778
Bahrain	56	Q398
Bangladesh	9,91	Q902
Barbados	112	Q244
Belarus	14,625	Q184
Belgium	5,764	Q31
Belize	174	Q242
Benin	1,321	Q962
Bermuda	40	Q23635
Bhutan	136	Q917
Bolivia	1,855	Q750
Bosnia and Herzegovina	3,194	Q225
Botswana	844	Q963
Brazil	83,215	Q155
Brunei	13	Q921
Bulgaria	5,497	Q219
Burkina Faso	7,161	Q965
Burundi	9,174	Q967
Cambodia	10,42	Q424
Cameroon	11,702	Q1009
Canada	5,23	Q16
Cape Verde	184	Q1011
Central African Republic	3,889	Q929
Chad	3,288	Q657
Chile	5,084	Q298
China	670,297	Q148
Colombia	11,338	Q739
Comoros	41	Q970
Congo	1,884	Q971
Costa Rica	1,25	Q800
Cote d'Ivoire	5,671	Q1008
Croatia	3,628	Q224
Cuba	4,149	Q241
Cyprus	206	Q229
Czech Republic	7,854	Q213
Democratic Republic of Congo	21,974	Q974
Denmark	3,389	Q35
Djibouti	93	Q977
Dominica	36	Q784
Dominican Republic	2,416	Q786
Ecuador	6,864	Q736
Egypt	7,288	Q79
El Salvador	3,025	Q792
England	13,006	Q21
Equatorial Guinea	414	Q983
Eritrea	1,705	Q986
Estonia	1,524	Q191
Ethiopia	17,32	Q115
Fiji	92	Q712
Finland	2,332	Q33
France	38,821	Q142
Gabon	777	Q1000
Gambia	257	Q1005
Georgia	1,915	Q230
Germany	46,904	Q183
Ghana	17,418	Q117
Greece	4,5	Q41
Greenland	26	Q223
Grenada	47	Q769
Guam	3	Q16635
Guatemala	7,674	Q774
Guinea	943	Q1006
Guinea-Bissau	645	Q1007
Guyana	357	Q734
Haiti	3,9	Q790
Honduras	3,031	Q783
Hungary	12,113	Q28
Iceland	28	Q189
India	580,499	Q668
Indonesia	20,053	Q252
Iran	856	Q794
Iraq	862	Q796
Ireland	2,136	Q27
Israel	595	Q801
Italy	26,208	Q38
Jamaica	837	Q766
Japan	12,904	Q17
Jordan	100	Q810
Kazakhstan	15,037	Q232
Kenya	20,883	Q114
Kiribati	16	Q710
Kuwait	23	Q817
Kyrgyzstan	3,199	Q813
Laos	1,71	Q819
Latvia	1,901	Q211
Lebanon	495	Q822
Lesotho	2,687	Q1013
Liberia	1,346	Q1014
Libya	76	Q1016
Lithuania	3,945	Q37
Luxembourg	417	Q32
Macedonia	62	Q221
Madagascar	2,882	Q1019
Malawi	4,234	Q1020
Malaysia	7,003	Q833
Maldives	8	Q826
Mali	2,117	Q912
Malta	-10	Q233
Marshall Islands	3	Q709
Mauritania	163	Q1025
Mauritius	238	Q1027
Mexico	52,225	Q96
Micronesia (country)	2	Q702
Moldova	4,188	Q217
Mongolia	2,571	Q711
Montenegro	863	Q236
Morocco	2,998	Q1028
Mozambique	8,52	Q1029
Myanmar	13,213	Q836
Namibia	1,331	Q1030
Nepal	6,325	Q837
Netherlands	5,852	Q55
New Zealand	1,299	Q664
Nicaragua	1,441	Q811
Niger	1,036	Q1032
Nigeria	39,517	Q1033
North Korea	7,861	Q423
Northern Ireland	715	Q26
Northern Mariana Islands	4	Q16644
Norway	520	Q20
Oman	81	Q842
Pakistan	7,948	Q843
Palestine	28	Q219060
Panama	1,26	Q804
Papua New Guinea	4,537	Q691
Paraguay	1,729	Q733
Peru	6,288	Q419
Philippines	29,507	Q928
Poland	27,755	Q36
Portugal	12,203	Q45
Puerto Rico	1,878	Q1183
Qatar	137	Q846
Romania	37,822	Q218
Russia	189,865	Q159
Rwanda	4,604	Q1037
Saint Lucia	81	Q760
Saint Vincent and the Grenadines	49	Q757
Samoa	14	Q683
Sao Tome and Principe	82	Q1039
Saudi Arabia	558	Q851
Scotland	2,019	Q22
Senegal	873	Q1041
Serbia	10,161	Q403
Seychelles	49	Q1042
Sierra Leone	3,606	Q1044
Singapore	93	Q334
Slovakia	3,105	Q214
Slovenia	695	Q215
Solomon Islands	25	Q685
Somalia	1,528	Q1045
South Africa	39,78	Q258
South Korea	12,802	Q884
South Sudan	745	Q958
Spain	31,586	Q29
Sri Lanka	6,15	Q854
Sudan	4,099	Q1049
Suriname	338	Q730
Swaziland	544	Q1050
Sweden	2,75	Q34
Switzerland	1,818	Q39
Syria	512	Q858
Taiwan	11,776	Q865
Tajikistan	341	Q863
Tanzania	15,323	Q924
Thailand	40,559	Q869
Timor	65	Q574
Togo	1,463	Q945
Tonga	4	Q678
Trinidad and Tobago	192	Q754
Tunisia	174	Q948
Turkey	5,795	Q43
Turkmenistan	2,134	Q874
Uganda	10,541	Q1036
Ukraine	85,457	Q212
United Arab Emirates	1,725	Q878
United Kingdom	16,672	Q145
United States	80,986	Q30
United States Virgin Islands	39	Q11703
Uruguay	989	Q77
Uzbekistan	7,663	Q265
Vanuatu	13	Q686
Venezuela	15,599	Q717
Vietnam	76,353	Q881
Wales	931	Q25
Yemen	42	Q805
Zambia	5,287	Q953
Zimbabwe	7,228	Q954
