Country	deaths	ID
Afghanistan	17,453	Q889
Albania	107	Q222
Algeria	5,259	Q262
American Samoa	3	Q16641
Andorra	<1	Q228
Angola	11,338	Q916
Antigua and Barbuda	4	Q781
Argentina	2,567	Q414
Armenia	99	Q399
Australia	350	Q408
Austria	89	Q40
Azerbaijan	1,539	Q227
Bahamas	13	Q778
Bahrain	40	Q398
Bangladesh	27,149	Q902
Barbados	10	Q244
Belarus	152	Q184
Belgium	105	Q31
Belize	42	Q242
Benin	5,768	Q962
Bermuda	<1	Q23635
Bhutan	118	Q917
Bolivia	1,883	Q750
Bosnia and Herzegovina	70	Q225
Botswana	272	Q963
Brazil	12,554	Q155
Brunei	13	Q921
Bulgaria	123	Q219
Burkina Faso	9,352	Q965
Burundi	4,272	Q967
Cambodia	2,83	Q424
Cameroon	8,592	Q1009
Canada	655	Q16
Cape Verde	78	Q1011
Central African Republic	2,912	Q929
Chad	11,396	Q657
Chile	545	Q298
China	39,335	Q148
Colombia	3,061	Q739
Comoros	160	Q970
Congo	1,055	Q971
Costa Rica	191	Q800
Cote d'Ivoire	12,41	Q1008
Croatia	43	Q224
Cuba	99	Q241
Cyprus	11	Q229
Czech Republic	68	Q213
Democratic Republic of Congo	33,854	Q974
Denmark	89	Q35
Djibouti	196	Q977
Dominica	7	Q784
Dominican Republic	2,007	Q786
Ecuador	1,314	Q736
Egypt	6,262	Q79
El Salvador	367	Q792
England	1,23	Q21
Equatorial Guinea	289	Q983
Eritrea	1,706	Q986
Estonia	8	Q191
Ethiopia	39,714	Q115
Fiji	115	Q712
Finland	31	Q33
France	668	Q142
Gabon	379	Q1000
Gambia	771	Q1005
Georgia	167	Q230
Germany	956	Q183
Ghana	8,783	Q117
Greece	127	Q41
Greenland	4	Q223
Grenada	6	Q769
Guam	13	Q16635
Guatemala	2,167	Q774
Guinea	6,227	Q1006
Guinea-Bissau	1,004	Q1007
Guyana	115	Q734
Haiti	2,848	Q790
Honduras	904	Q783
Hungary	125	Q28
Iceland	2	Q189
India	259,862	Q668
Indonesia	25,854	Q252
Iran	7,313	Q794
Iraq	8,553	Q796
Ireland	64	Q27
Israel	163	Q801
Italy	472	Q38
Jamaica	303	Q766
Japan	311	Q17
Jordan	1,539	Q810
Kazakhstan	1,391	Q232
Kenya	11,932	Q114
Kiribati	32	Q710
Kuwait	153	Q817
Kyrgyzstan	1,258	Q813
Laos	2,409	Q819
Latvia	18	Q211
Lebanon	398	Q822
Lesotho	529	Q1013
Liberia	1,472	Q1014
Libya	320	Q1016
Lithuania	24	Q37
Luxembourg	3	Q32
Macedonia	106	Q221
Madagascar	12,039	Q1019
Malawi	6,126	Q1020
Malaysia	793	Q833
Maldives	17	Q826
Mali	16,261	Q912
Malta	9	Q233
Marshall Islands	8	Q709
Mauritania	1,221	Q1025
Mauritius	59	Q1027
Mexico	7,222	Q96
Micronesia (country)	10	Q702
Moldova	145	Q217
Mongolia	576	Q711
Montenegro	11	Q236
Morocco	4,389	Q1028
Mozambique	10,724	Q1029
Myanmar	8,683	Q836
Namibia	480	Q1030
Nepal	3,995	Q837
Netherlands	210	Q55
New Zealand	94	Q664
Nicaragua	565	Q811
Niger	10,823	Q1032
Nigeria	119,824	Q1033
North Korea	1,538	Q423
Northern Ireland	52	Q26
Northern Mariana Islands	<1	Q16644
Norway	34	Q20
Oman	301	Q842
Pakistan	91,614	Q843
Palestine	704	Q219060
Panama	238	Q804
Papua New Guinea	2,677	Q691
Paraguay	323	Q733
Peru	2,156	Q419
Philippines	14,396	Q928
Poland	591	Q36
Portugal	73	Q45
Puerto Rico	79	Q1183
Qatar	67	Q846
Romania	342	Q218
Russia	2,702	Q159
Rwanda	3,571	Q1037
Saint Lucia	11	Q760
Saint Vincent and the Grenadines	9	Q757
Samoa	18	Q683
Sao Tome and Principe	31	Q1039
Saudi Arabia	1,545	Q851
Scotland	78	Q22
Senegal	4,646	Q1041
Serbia	175	Q403
Seychelles	5	Q1042
Sierra Leone	4,175	Q1044
Singapore	18	Q334
Slovakia	103	Q214
Slovenia	13	Q215
Solomon Islands	94	Q685
Somalia	6,78	Q1045
South Africa	6,404	Q258
South Korea	426	Q884
South Sudan	6,473	Q958
Spain	328	Q29
Sri Lanka	819	Q854
Sudan	19,437	Q1049
Suriname	94	Q730
Swaziland	220	Q1050
Sweden	84	Q34
Switzerland	103	Q39
Syria	580	Q858
Taiwan	217	Q865
Tajikistan	3,266	Q863
Tanzania	20,886	Q924
Thailand	1,423	Q869
Timor	300	Q574
Togo	2,533	Q945
Tonga	9	Q678
Trinidad and Tobago	95	Q754
Tunisia	635	Q948
Turkey	5,299	Q43
Turkmenistan	780	Q874
Uganda	15,221	Q1036
Ukraine	815	Q212
United Arab Emirates	231	Q878
United Kingdom	1,412	Q145
United States	8,706	Q30
United States Virgin Islands	4	Q11703
Uruguay	109	Q77
Uzbekistan	3,214	Q265
Vanuatu	57	Q686
Venezuela	2,722	Q717
Vietnam	4,417	Q881
Wales	52	Q25
Yemen	14,468	Q805
Zambia	5,362	Q953
Zimbabwe	5,289	Q954
