Country	deaths	ID
Afghanistan	447	Q889
Albania	43	Q222
Algeria	618	Q262
American Samoa	<1	Q16641
Andorra	4	Q228
Angola	358	Q916
Antigua and Barbuda	1	Q781
Argentina	1,107	Q414
Armenia	45	Q399
Australia	1,671	Q408
Austria	664	Q40
Azerbaijan	74	Q227
Bahamas	8	Q778
Bahrain	8	Q398
Bangladesh	3,147	Q902
Barbados	8	Q244
Belarus	295	Q184
Belgium	1,081	Q31
Belize	6	Q242
Benin	313	Q962
Bermuda	2	Q23635
Bhutan	36	Q917
Bolivia	276	Q750
Bosnia and Herzegovina	71	Q225
Botswana	29	Q963
Brazil	8,08	Q155
Brunei	8	Q921
Bulgaria	218	Q219
Burkina Faso	570	Q965
Burundi	225	Q967
Cambodia	1,165	Q424
Cameroon	581	Q1009
Canada	3,029	Q16
Cape Verde	8	Q1011
Central African Republic	126	Q929
Chad	280	Q657
Chile	688	Q298
China	68,055	Q148
Colombia	917	Q739
Comoros	22	Q970
Congo	87	Q971
Costa Rica	178	Q800
Cote d'Ivoire	460	Q1008
Croatia	558	Q224
Cuba	1,221	Q241
Cyprus	49	Q229
Czech Republic	711	Q213
Democratic Republic of Congo	1,075	Q974
Denmark	412	Q35
Djibouti	23	Q977
Dominica	2	Q784
Dominican Republic	204	Q786
Ecuador	478	Q736
Egypt	1,524	Q79
El Salvador	278	Q792
England	3,027	Q21
Equatorial Guinea	14	Q983
Eritrea	116	Q986
Estonia	42	Q191
Ethiopia	1,988	Q115
Fiji	10	Q712
Finland	613	Q33
France	6,642	Q142
Gabon	42	Q1000
Gambia	64	Q1005
Georgia	128	Q230
Germany	6,792	Q183
Ghana	930	Q117
Greece	395	Q41
Greenland	3	Q223
Grenada	4	Q769
Guam	4	Q16635
Guatemala	329	Q774
Guinea	311	Q1006
Guinea-Bissau	37	Q1007
Guyana	17	Q734
Haiti	250	Q790
Honduras	138	Q783
Hungary	840	Q28
Iceland	17	Q189
India	93,209	Q668
Indonesia	7,875	Q252
Iran	1,843	Q794
Iraq	218	Q796
Ireland	147	Q27
Israel	239	Q801
Italy	4,577	Q38
Jamaica	41	Q766
Japan	6,85	Q17
Jordan	70	Q810
Kazakhstan	234	Q232
Kenya	1,047	Q114
Kiribati	<1	Q710
Kuwait	33	Q817
Kyrgyzstan	50	Q813
Laos	160	Q819
Latvia	91	Q211
Lebanon	148	Q822
Lesotho	44	Q1013
Liberia	75	Q1014
Libya	146	Q1016
Lithuania	163	Q37
Luxembourg	40	Q32
Macedonia	47	Q221
Madagascar	382	Q1019
Malawi	436	Q1020
Malaysia	714	Q833
Maldives	6	Q826
Mali	328	Q912
Malta	26	Q233
Marshall Islands	<1	Q709
Mauritania	96	Q1025
Mauritius	26	Q1027
Mexico	3,326	Q96
Micronesia (country)	2	Q702
Moldova	82	Q217
Mongolia	36	Q711
Montenegro	14	Q236
Morocco	615	Q1028
Mozambique	631	Q1029
Myanmar	2,592	Q836
Namibia	39	Q1030
Nepal	1,547	Q837
Netherlands	1,753	Q55
New Zealand	300	Q664
Nicaragua	107	Q811
Niger	275	Q1032
Nigeria	3,118	Q1033
North Korea	787	Q423
Northern Ireland	89	Q26
Northern Mariana Islands	1	Q16644
Norway	499	Q20
Oman	72	Q842
Pakistan	4,131	Q843
Palestine	31	Q219060
Panama	75	Q804
Papua New Guinea	132	Q691
Paraguay	166	Q733
Peru	621	Q419
Philippines	1,518	Q928
Poland	2,331	Q36
Portugal	445	Q45
Puerto Rico	144	Q1183
Qatar	22	Q846
Romania	632	Q218
Russia	4,657	Q159
Rwanda	336	Q1037
Saint Lucia	4	Q760
Saint Vincent and the Grenadines	3	Q757
Samoa	3	Q683
Sao Tome and Principe	5	Q1039
Saudi Arabia	662	Q851
Scotland	418	Q22
Senegal	347	Q1041
Serbia	306	Q403
Seychelles	3	Q1042
Sierra Leone	173	Q1044
Singapore	63	Q334
Slovakia	279	Q214
Slovenia	251	Q215
Solomon Islands	22	Q685
Somalia	400	Q1045
South Africa	1,078	Q258
South Korea	2,37	Q884
South Sudan	186	Q958
Spain	2,039	Q29
Sri Lanka	1,055	Q854
Sudan	448	Q1049
Suriname	15	Q730
Swaziland	16	Q1050
Sweden	866	Q34
Switzerland	941	Q39
Syria	198	Q858
Taiwan	1,063	Q865
Tajikistan	45	Q863
Tanzania	1,142	Q924
Thailand	1,948	Q869
Timor	22	Q574
Togo	147	Q945
Tonga	2	Q678
Trinidad and Tobago	28	Q754
Tunisia	434	Q948
Turkey	2,278	Q43
Turkmenistan	27	Q874
Uganda	663	Q1036
Ukraine	1,082	Q212
United Arab Emirates	163	Q878
United Kingdom	3,74	Q145
United States	20,321	Q30
United States Virgin Islands	5	Q11703
Uruguay	169	Q77
Uzbekistan	229	Q265
Vanuatu	4	Q686
Venezuela	648	Q717
Vietnam	7,437	Q881
Wales	205	Q25
Yemen	409	Q805
Zambia	344	Q953
Zimbabwe	250	Q954
