Country	deaths	ID
Afghanistan	<1	Q889
Albania	3	Q222
Algeria	<1	Q262
American Samoa	<1	Q16641
Andorra	<1	Q228
Angola	2	Q916
Antigua and Barbuda	<1	Q781
Argentina	792	Q414
Armenia	5	Q399
Australia	390	Q408
Austria	207	Q40
Azerbaijan	3	Q227
Bahamas	2	Q778
Bahrain	<1	Q398
Bangladesh	<1	Q902
Barbados	<1	Q244
Belarus	75	Q184
Belgium	109	Q31
Belize	<1	Q242
Benin	<1	Q962
Bermuda	<1	Q23635
Bhutan	<1	Q917
Bolivia	24	Q750
Bosnia and Herzegovina	<1	Q225
Botswana	<1	Q963
Brazil	2,064	Q155
Brunei	<1	Q921
Bulgaria	101	Q219
Burkina Faso	<1	Q965
Burundi	<1	Q967
Cambodia	<1	Q424
Cameroon	<1	Q1009
Canada	364	Q16
Cape Verde	<1	Q1011
Central African Republic	3	Q929
Chad	<1	Q657
Chile	133	Q298
China	7,142	Q148
Colombia	19	Q739
Comoros	<1	Q970
Congo	<1	Q971
Costa Rica	3	Q800
Cote d'Ivoire	<1	Q1008
Croatia	48	Q224
Cuba	8	Q241
Cyprus	8	Q229
Czech Republic	137	Q213
Democratic Republic of Congo	<1	Q974
Denmark	73	Q35
Djibouti	<1	Q977
Dominica	<1	Q784
Dominican Republic	3	Q786
Ecuador	34	Q736
Egypt	<1	Q79
El Salvador	<1	Q792
England	306	Q21
Equatorial Guinea	<1	Q983
Eritrea	<1	Q986
Estonia	6	Q191
Ethiopia	<1	Q115
Fiji	2	Q712
Finland	32	Q33
France	732	Q142
Gabon	<1	Q1000
Gambia	<1	Q1005
Georgia	<1	Q230
Germany	1,251	Q183
Ghana	<1	Q117
Greece	94	Q41
Greenland	<1	Q223
Grenada	<1	Q769
Guam	1	Q16635
Guatemala	<1	Q774
Guinea	<1	Q1006
Guinea-Bissau	<1	Q1007
Guyana	<1	Q734
Haiti	<1	Q790
Honduras	<1	Q783
Hungary	128	Q28
Iceland	2	Q189
India	<1	Q668
Indonesia	<1	Q252
Iran	<1	Q794
Iraq	<1	Q796
Ireland	63	Q27
Israel	20	Q801
Italy	722	Q38
Jamaica	<1	Q766
Japan	247	Q17
Jordan	<1	Q810
Kazakhstan	67	Q232
Kenya	3	Q114
Kiribati	<1	Q710
Kuwait	<1	Q817
Kyrgyzstan	2	Q813
Laos	<1	Q819
Latvia	14	Q211
Lebanon	3	Q822
Lesotho	<1	Q1013
Liberia	<1	Q1014
Libya	<1	Q1016
Lithuania	27	Q37
Luxembourg	8	Q32
Macedonia	2	Q221
Madagascar	<1	Q1019
Malawi	<1	Q1020
Malaysia	<1	Q833
Maldives	<1	Q826
Mali	<1	Q912
Malta	5	Q233
Marshall Islands	<1	Q709
Mauritania	<1	Q1025
Mauritius	<1	Q1027
Mexico	665	Q96
Micronesia (country)	<1	Q702
Moldova	<1	Q217
Mongolia	9	Q711
Montenegro	5	Q236
Morocco	<1	Q1028
Mozambique	<1	Q1029
Myanmar	3	Q836
Namibia	<1	Q1030
Nepal	<1	Q837
Netherlands	217	Q55
New Zealand	85	Q664
Nicaragua	<1	Q811
Niger	<1	Q1032
Nigeria	<1	Q1033
North Korea	<1	Q423
Northern Ireland	9	Q26
Northern Mariana Islands	<1	Q16644
Norway	46	Q20
Oman	2	Q842
Pakistan	<1	Q843
Palestine	<1	Q219060
Panama	8	Q804
Papua New Guinea	<1	Q691
Paraguay	38	Q733
Peru	<1	Q419
Philippines	75	Q928
Poland	555	Q36
Portugal	223	Q45
Puerto Rico	15	Q1183
Qatar	2	Q846
Romania	202	Q218
Russia	627	Q159
Rwanda	<1	Q1037
Saint Lucia	<1	Q760
Saint Vincent and the Grenadines	<1	Q757
Samoa	<1	Q683
Sao Tome and Principe	<1	Q1039
Saudi Arabia	<1	Q851
Scotland	37	Q22
Senegal	<1	Q1041
Serbia	56	Q403
Seychelles	<1	Q1042
Sierra Leone	<1	Q1044
Singapore	16	Q334
Slovakia	54	Q214
Slovenia	29	Q215
Solomon Islands	<1	Q685
Somalia	<1	Q1045
South Africa	126	Q258
South Korea	266	Q884
South Sudan	<1	Q958
Spain	566	Q29
Sri Lanka	<1	Q854
Sudan	<1	Q1049
Suriname	<1	Q730
Swaziland	<1	Q1050
Sweden	114	Q34
Switzerland	69	Q39
Syria	<1	Q858
Taiwan	345	Q865
Tajikistan	<1	Q863
Tanzania	<1	Q924
Thailand	2	Q869
Timor	<1	Q574
Togo	<1	Q945
Tonga	<1	Q678
Trinidad and Tobago	<1	Q754
Tunisia	<1	Q948
Turkey	<1	Q43
Turkmenistan	26	Q874
Uganda	<1	Q1036
Ukraine	52	Q212
United Arab Emirates	2	Q878
United Kingdom	369	Q145
United States	4,249	Q30
United States Virgin Islands	<1	Q11703
Uruguay	34	Q77
Uzbekistan	54	Q265
Vanuatu	<1	Q686
Venezuela	63	Q717
Vietnam	238	Q881
Wales	17	Q25
Yemen	<1	Q805
Zambia	<1	Q953
Zimbabwe	<1	Q954
