Country	deaths	ID
Afghanistan	7,775	Q889
Albania	846	Q222
Algeria	8,81	Q262
American Samoa	8	Q16641
Andorra	9	Q228
Angola	1,626	Q916
Antigua and Barbuda	9	Q781
Argentina	5,032	Q414
Armenia	1,325	Q399
Australia	2,692	Q408
Austria	2,1	Q40
Azerbaijan	4,722	Q227
Bahamas	38	Q778
Bahrain	100	Q398
Bangladesh	28,602	Q902
Barbados	39	Q244
Belarus	6,679	Q184
Belgium	1,842	Q31
Belize	30	Q242
Benin	708	Q962
Bermuda	6	Q23635
Bhutan	126	Q917
Bolivia	1,069	Q750
Bosnia and Herzegovina	1,391	Q225
Botswana	203	Q963
Brazil	20,149	Q155
Brunei	34	Q921
Bulgaria	4,83	Q219
Burkina Faso	1,937	Q965
Burundi	856	Q967
Cambodia	1,579	Q424
Cameroon	1,79	Q1009
Canada	3,97	Q16
Cape Verde	70	Q1011
Central African Republic	688	Q929
Chad	1,127	Q657
Chile	1,501	Q298
China	284,292	Q148
Colombia	5,288	Q739
Comoros	94	Q970
Congo	600	Q971
Costa Rica	547	Q800
Cote d'Ivoire	2,585	Q1008
Croatia	1,952	Q224
Cuba	3,208	Q241
Cyprus	223	Q229
Czech Republic	4,152	Q213
Democratic Republic of Congo	7,964	Q974
Denmark	693	Q35
Djibouti	117	Q977
Dominica	11	Q784
Dominican Republic	2,005	Q786
Ecuador	1,311	Q736
Egypt	28,953	Q79
El Salvador	984	Q792
England	8,568	Q21
Equatorial Guinea	36	Q983
Eritrea	466	Q986
Estonia	545	Q191
Ethiopia	5,489	Q115
Fiji	267	Q712
Finland	1,505	Q33
France	8,165	Q142
Gabon	167	Q1000
Gambia	279	Q1005
Georgia	2,322	Q230
Germany	24,72	Q183
Ghana	3,042	Q117
Greece	3,576	Q41
Greenland	5	Q223
Grenada	24	Q769
Guam	39	Q16635
Guatemala	1,371	Q774
Guinea	1,498	Q1006
Guinea-Bissau	216	Q1007
Guyana	144	Q734
Haiti	2,069	Q790
Honduras	1,4	Q783
Hungary	4,554	Q28
Iceland	47	Q189
India	328,843	Q668
Indonesia	48,178	Q252
Iran	14,955	Q794
Iraq	4,662	Q796
Ireland	622	Q27
Israel	525	Q801
Italy	12,067	Q38
Jamaica	274	Q766
Japan	324	Q17
Jordan	761	Q810
Kazakhstan	5,385	Q232
Kenya	2,791	Q114
Kiribati	27	Q710
Kuwait	248	Q817
Kyrgyzstan	1,874	Q813
Laos	1,124	Q819
Latvia	862	Q211
Lebanon	1,598	Q822
Lesotho	288	Q1013
Liberia	438	Q1014
Libya	1,755	Q1016
Lithuania	1,762	Q37
Luxembourg	71	Q32
Macedonia	652	Q221
Madagascar	2,302	Q1019
Malawi	1,403	Q1020
Malaysia	4,696	Q833
Maldives	43	Q826
Mali	1,414	Q912
Malta	119	Q233
Marshall Islands	16	Q709
Mauritania	367	Q1025
Mauritius	241	Q1027
Mexico	13,568	Q96
Micronesia (country)	29	Q702
Moldova	2,386	Q217
Mongolia	756	Q711
Montenegro	219	Q236
Morocco	13,131	Q1028
Mozambique	2,163	Q1029
Myanmar	5,38	Q836
Namibia	206	Q1030
Nepal	5,891	Q837
Netherlands	2,377	Q55
New Zealand	672	Q664
Nicaragua	568	Q811
Niger	1,122	Q1032
Nigeria	9,93	Q1033
North Korea	6,129	Q423
Northern Ireland	310	Q26
Northern Mariana Islands	7	Q16644
Norway	754	Q20
Oman	478	Q842
Pakistan	44,576	Q843
Palestine	605	Q219060
Panama	309	Q804
Papua New Guinea	2,762	Q691
Paraguay	794	Q733
Peru	2,409	Q419
Philippines	19,792	Q928
Poland	12,105	Q36
Portugal	1,713	Q45
Puerto Rico	403	Q1183
Qatar	58	Q846
Romania	9,895	Q218
Russia	72,963	Q159
Rwanda	516	Q1037
Saint Lucia	20	Q760
Saint Vincent and the Grenadines	23	Q757
Samoa	38	Q683
Sao Tome and Principe	20	Q1039
Saudi Arabia	2,955	Q851
Scotland	1,12	Q22
Senegal	1,422	Q1041
Serbia	4,237	Q403
Seychelles	17	Q1042
Sierra Leone	969	Q1044
Singapore	404	Q334
Slovakia	2,376	Q214
Slovenia	393	Q215
Solomon Islands	153	Q685
Somalia	1,804	Q1045
South Africa	4,411	Q258
South Korea	3,462	Q884
South Sudan	750	Q958
Spain	6,726	Q29
Sri Lanka	4,259	Q854
Sudan	8,426	Q1049
Suriname	85	Q730
Swaziland	120	Q1050
Sweden	1,835	Q34
Switzerland	1,465	Q39
Syria	6,214	Q858
Taiwan	2,418	Q865
Tajikistan	2,2	Q863
Tanzania	4,058	Q924
Thailand	7,043	Q869
Timor	161	Q574
Togo	760	Q945
Tonga	17	Q678
Trinidad and Tobago	265	Q754
Tunisia	3,569	Q948
Turkey	13,277	Q43
Turkmenistan	1,817	Q874
Uganda	1,818	Q1036
Ukraine	44,912	Q212
United Arab Emirates	775	Q878
United Kingdom	10,663	Q145
United States	56,909	Q30
United States Virgin Islands	25	Q11703
Uruguay	500	Q77
Uzbekistan	14,457	Q265
Vanuatu	88	Q686
Venezuela	3,96	Q717
Vietnam	10,652	Q881
Wales	666	Q25
Yemen	6,783	Q805
Zambia	1,164	Q953
Zimbabwe	1,7	Q954
