Country	deaths	ID
Afghanistan	9,074	Q889
Albania	1,131	Q222
Algeria	11,483	Q262
American Samoa	18	Q16641
Andorra	13	Q228
Angola	2,618	Q916
Antigua and Barbuda	21	Q781
Argentina	13,12	Q414
Armenia	2,16	Q399
Australia	4,546	Q408
Austria	3,014	Q40
Azerbaijan	5,461	Q227
Bahamas	84	Q778
Bahrain	139	Q398
Bangladesh	35,582	Q902
Barbados	91	Q244
Belarus	10,748	Q184
Belgium	2,756	Q31
Belize	59	Q242
Benin	859	Q962
Bermuda	21	Q23635
Bhutan	159	Q917
Bolivia	1,488	Q750
Bosnia and Herzegovina	2,038	Q225
Botswana	320	Q963
Brazil	47,677	Q155
Brunei	76	Q921
Bulgaria	6,774	Q219
Burkina Faso	2,424	Q965
Burundi	1,102	Q967
Cambodia	1,905	Q424
Cameroon	2,276	Q1009
Canada	9,711	Q16
Cape Verde	97	Q1011
Central African Republic	831	Q929
Chad	1,279	Q657
Chile	3,074	Q298
China	394,876	Q148
Colombia	9,683	Q739
Comoros	132	Q970
Congo	875	Q971
Costa Rica	926	Q800
Cote d'Ivoire	2,53	Q1008
Croatia	2,537	Q224
Cuba	4,962	Q241
Cyprus	310	Q229
Czech Republic	6,621	Q213
Democratic Republic of Congo	10,486	Q974
Denmark	1,346	Q35
Djibouti	157	Q977
Dominica	22	Q784
Dominican Republic	3,615	Q786
Ecuador	2,657	Q736
Egypt	40,722	Q79
El Salvador	1,686	Q792
England	13,666	Q21
Equatorial Guinea	57	Q983
Eritrea	618	Q986
Estonia	847	Q191
Ethiopia	7,053	Q115
Fiji	591	Q712
Finland	2,577	Q33
France	13,358	Q142
Gabon	254	Q1000
Gambia	347	Q1005
Georgia	3,002	Q230
Germany	34,237	Q183
Ghana	4,199	Q117
Greece	4,008	Q41
Greenland	10	Q223
Grenada	48	Q769
Guam	93	Q16635
Guatemala	2,303	Q774
Guinea	1,968	Q1006
Guinea-Bissau	264	Q1007
Guyana	267	Q734
Haiti	2,882	Q790
Honduras	2,144	Q783
Hungary	7,658	Q28
Iceland	92	Q189
India	385,013	Q668
Indonesia	67,921	Q252
Iran	14,973	Q794
Iraq	6,5	Q796
Ireland	1,133	Q27
Israel	945	Q801
Italy	17,271	Q38
Jamaica	736	Q766
Japan	30,752	Q17
Jordan	1,197	Q810
Kazakhstan	8,466	Q232
Kenya	4,08	Q114
Kiribati	48	Q710
Kuwait	475	Q817
Kyrgyzstan	2,417	Q813
Laos	1,509	Q819
Latvia	1,813	Q211
Lebanon	1,164	Q822
Lesotho	467	Q1013
Liberia	584	Q1014
Libya	2,33	Q1016
Lithuania	3,187	Q37
Luxembourg	89	Q32
Macedonia	869	Q221
Madagascar	3,131	Q1019
Malawi	1,929	Q1020
Malaysia	8	Q833
Maldives	29	Q826
Mali	1,862	Q912
Malta	180	Q233
Marshall Islands	25	Q709
Mauritania	472	Q1025
Mauritius	592	Q1027
Mexico	29,313	Q96
Micronesia (country)	45	Q702
Moldova	3,322	Q217
Mongolia	931	Q711
Montenegro	303	Q236
Morocco	16,913	Q1028
Mozambique	2,62	Q1029
Myanmar	7,624	Q836
Namibia	341	Q1030
Nepal	7,409	Q837
Netherlands	3,094	Q55
New Zealand	1,175	Q664
Nicaragua	983	Q811
Niger	1,299	Q1032
Nigeria	9,565	Q1033
North Korea	7,695	Q423
Northern Ireland	467	Q26
Northern Mariana Islands	13	Q16644
Norway	1,252	Q20
Oman	775	Q842
Pakistan	59,704	Q843
Palestine	846	Q219060
Panama	669	Q804
Papua New Guinea	3,724	Q691
Paraguay	1,248	Q733
Peru	3,905	Q419
Philippines	28,519	Q928
Poland	21,166	Q36
Portugal	2,819	Q45
Puerto Rico	1,198	Q1183
Qatar	39	Q846
Romania	14,161	Q218
Russia	126,752	Q159
Rwanda	725	Q1037
Saint Lucia	43	Q760
Saint Vincent and the Grenadines	45	Q757
Samoa	60	Q683
Sao Tome and Principe	24	Q1039
Saudi Arabia	5,579	Q851
Scotland	1,691	Q22
Senegal	1,844	Q1041
Serbia	6,391	Q403
Seychelles	19	Q1042
Sierra Leone	1,169	Q1044
Singapore	634	Q334
Slovakia	3,431	Q214
Slovenia	648	Q215
Solomon Islands	218	Q685
Somalia	2,31	Q1045
South Africa	10,016	Q258
South Korea	5,758	Q884
South Sudan	999	Q958
Spain	9,404	Q29
Sri Lanka	6,218	Q854
Sudan	10,821	Q1049
Suriname	166	Q730
Swaziland	192	Q1050
Sweden	3,435	Q34
Switzerland	1,77	Q39
Syria	7,696	Q858
Taiwan	3,158	Q865
Tajikistan	2,895	Q863
Tanzania	5,295	Q924
Thailand	11,814	Q869
Timor	242	Q574
Togo	983	Q945
Tonga	33	Q678
Trinidad and Tobago	626	Q754
Tunisia	3,967	Q948
Turkey	13,767	Q43
Turkmenistan	2,677	Q874
Uganda	1,985	Q1036
Ukraine	68,057	Q212
United Arab Emirates	946	Q878
United Kingdom	16,819	Q145
United States	98,874	Q30
United States Virgin Islands	65	Q11703
Uruguay	998	Q77
Uzbekistan	19,17	Q265
Vanuatu	121	Q686
Venezuela	8,657	Q717
Vietnam	14,237	Q881
Wales	994	Q25
Yemen	8,678	Q805
Zambia	1,58	Q953
Zimbabwe	2,45	Q954
