Country	deaths	ID
Afghanistan	19,397	Q889
Albania	737	Q222
Algeria	58	Q262
American Samoa	8	Q16641
Andorra	<1	Q228
Angola	7,129	Q916
Antigua and Barbuda	1	Q781
Argentina	1,24	Q414
Armenia	482	Q399
Australia	38	Q408
Austria	54	Q40
Azerbaijan	1,629	Q227
Bahamas	7	Q778
Bahrain	2	Q398
Bangladesh	70,345	Q902
Barbados	<1	Q244
Belarus	114	Q184
Belgium	27	Q31
Belize	30	Q242
Benin	4,92	Q962
Bermuda	2	Q23635
Bhutan	135	Q917
Bolivia	1,557	Q750
Bosnia and Herzegovina	1,278	Q225
Botswana	419	Q963
Brazil	12,154	Q155
Brunei	<1	Q921
Bulgaria	1,541	Q219
Burkina Faso	12,783	Q965
Burundi	5,461	Q967
Cambodia	8,429	Q424
Cameroon	6,717	Q1009
Canada	18	Q16
Cape Verde	111	Q1011
Central African Republic	3,645	Q929
Chad	11,551	Q657
Chile	685	Q298
China	271,089	Q148
Colombia	2,383	Q739
Comoros	323	Q970
Congo	1,283	Q971
Costa Rica	179	Q800
Cote d'Ivoire	10,917	Q1008
Croatia	430	Q224
Cuba	331	Q241
Cyprus	4	Q229
Czech Republic	206	Q213
Democratic Republic of Congo	42,04	Q974
Denmark	13	Q35
Djibouti	162	Q977
Dominica	6	Q784
Dominican Republic	1,024	Q786
Ecuador	442	Q736
Egypt	387	Q79
El Salvador	933	Q792
England	233	Q21
Equatorial Guinea	166	Q983
Eritrea	2,241	Q986
Estonia	115	Q191
Ethiopia	32,771	Q115
Fiji	383	Q712
Finland	18	Q33
France	145	Q142
Gabon	101	Q1000
Gambia	1,02	Q1005
Georgia	1,898	Q230
Germany	599	Q183
Ghana	9,781	Q117
Greece	78	Q41
Greenland	<1	Q223
Grenada	7	Q769
Guam	13	Q16635
Guatemala	4,559	Q774
Guinea	9,236	Q1006
Guinea-Bissau	1,006	Q1007
Guyana	87	Q734
Haiti	6,786	Q790
Honduras	1,974	Q783
Hungary	1,607	Q28
Iceland	<1	Q189
India	481,738	Q668
Indonesia	68,117	Q252
Iran	172	Q794
Iraq	46	Q796
Ireland	17	Q27
Israel	21	Q801
Italy	347	Q38
Jamaica	270	Q766
Japan	117	Q17
Jordan	<1	Q810
Kazakhstan	2,001	Q232
Kenya	14	Q114
Kiribati	91	Q710
Kuwait	1	Q817
Kyrgyzstan	1,225	Q813
Laos	3,807	Q819
Latvia	177	Q211
Lebanon	<1	Q822
Lesotho	1,153	Q1013
Liberia	2,122	Q1014
Libya	2	Q1016
Lithuania	60	Q37
Luxembourg	1	Q32
Macedonia	411	Q221
Madagascar	16,691	Q1019
Malawi	7,628	Q1020
Malaysia	487	Q833
Maldives	16	Q826
Mali	9,958	Q912
Malta	3	Q233
Marshall Islands	17	Q709
Mauritania	962	Q1025
Mauritius	53	Q1027
Mexico	11,727	Q96
Micronesia (country)	36	Q702
Moldova	526	Q217
Mongolia	692	Q711
Montenegro	169	Q236
Morocco	681	Q1028
Mozambique	12,821	Q1029
Myanmar	27,891	Q836
Namibia	568	Q1030
Nepal	11,191	Q837
Netherlands	31	Q55
New Zealand	10	Q664
Nicaragua	984	Q811
Niger	12,319	Q1032
Nigeria	64,226	Q1033
North Korea	24,067	Q423
Northern Ireland	10	Q26
Northern Mariana Islands	5	Q16644
Norway	20	Q20
Oman	8	Q842
Pakistan	59,08	Q843
Palestine	12	Q219060
Panama	242	Q804
Papua New Guinea	9,069	Q691
Paraguay	1,326	Q733
Peru	3,775	Q419
Philippines	42	Q928
Poland	2,4	Q36
Portugal	175	Q45
Puerto Rico	10	Q1183
Qatar	<1	Q846
Romania	3,59	Q218
Russia	382	Q159
Rwanda	4,237	Q1037
Saint Lucia	11	Q760
Saint Vincent and the Grenadines	14	Q757
Samoa	75	Q683
Sao Tome and Principe	71	Q1039
Saudi Arabia	22	Q851
Scotland	75	Q22
Senegal	6,069	Q1041
Serbia	3,612	Q403
Seychelles	4	Q1042
Sierra Leone	5,397	Q1044
Singapore	2	Q334
Slovakia	144	Q214
Slovenia	73	Q215
Solomon Islands	502	Q685
Somalia	11,073	Q1045
South Africa	4,365	Q258
South Korea	12	Q884
South Sudan	7,639	Q958
Spain	522	Q29
Sri Lanka	5,48	Q854
Sudan	10,01	Q1049
Suriname	62	Q730
Swaziland	337	Q1050
Sweden	42	Q34
Switzerland	38	Q39
Syria	10	Q858
Taiwan	614	Q865
Tajikistan	2,28	Q863
Tanzania	22,226	Q924
Thailand	6,245	Q869
Timor	605	Q574
Togo	2,968	Q945
Tonga	35	Q678
Trinidad and Tobago	15	Q754
Tunisia	21	Q948
Turkey	342	Q43
Turkmenistan	16	Q874
Uganda	10,123	Q1036
Ukraine	3,85	Q212
United Arab Emirates	7	Q878
United Kingdom	348	Q145
United States	508	Q30
United States Virgin Islands	2	Q11703
Uruguay	74	Q77
Uzbekistan	4,417	Q265
Vanuatu	193	Q686
Venezuela	125	Q717
Vietnam	21,274	Q881
Wales	30	Q25
Yemen	4,7	Q805
Zambia	5,452	Q953
Zimbabwe	6,982	Q954
