Country	deaths	ID
Afghanistan	1,035	Q889
Albania	<1	Q222
Algeria	138	Q262
American Samoa	<1	Q16641
Andorra	<1	Q228
Angola	723	Q916
Antigua and Barbuda	<1	Q781
Argentina	72	Q414
Armenia	2	Q399
Australia	2	Q408
Austria	<1	Q40
Azerbaijan	12	Q227
Bahamas	<1	Q778
Bahrain	1	Q398
Bangladesh	1,314	Q902
Barbados	<1	Q244
Belarus	2	Q184
Belgium	1	Q31
Belize	1	Q242
Benin	367	Q962
Bermuda	<1	Q23635
Bhutan	9	Q917
Bolivia	118	Q750
Bosnia and Herzegovina	<1	Q225
Botswana	10	Q963
Brazil	525	Q155
Brunei	<1	Q921
Bulgaria	2	Q219
Burkina Faso	667	Q965
Burundi	226	Q967
Cambodia	131	Q424
Cameroon	760	Q1009
Canada	4	Q16
Cape Verde	1	Q1011
Central African Republic	239	Q929
Chad	1,089	Q657
Chile	10	Q298
China	325	Q148
Colombia	52	Q739
Comoros	8	Q970
Congo	174	Q971
Costa Rica	4	Q800
Cote d'Ivoire	948	Q1008
Croatia	<1	Q224
Cuba	13	Q241
Cyprus	<1	Q229
Czech Republic	<1	Q213
Democratic Republic of Congo	2,842	Q974
Denmark	<1	Q35
Djibouti	31	Q977
Dominica	<1	Q784
Dominican Republic	63	Q786
Ecuador	40	Q736
Egypt	321	Q79
El Salvador	6	Q792
England	10	Q21
Equatorial Guinea	19	Q983
Eritrea	255	Q986
Estonia	<1	Q191
Ethiopia	1,984	Q115
Fiji	3	Q712
Finland	<1	Q33
France	7	Q142
Gabon	32	Q1000
Gambia	125	Q1005
Georgia	4	Q230
Germany	8	Q183
Ghana	363	Q117
Greece	2	Q41
Greenland	<1	Q223
Grenada	<1	Q769
Guam	<1	Q16635
Guatemala	81	Q774
Guinea	685	Q1006
Guinea-Bissau	47	Q1007
Guyana	6	Q734
Haiti	360	Q790
Honduras	47	Q783
Hungary	1	Q28
Iceland	<1	Q189
India	15,245	Q668
Indonesia	1,602	Q252
Iran	66	Q794
Iraq	70	Q796
Ireland	<1	Q27
Israel	2	Q801
Italy	3	Q38
Jamaica	7	Q766
Japan	10	Q17
Jordan	13	Q810
Kazakhstan	14	Q232
Kenya	880	Q114
Kiribati	3	Q710
Kuwait	1	Q817
Kyrgyzstan	18	Q813
Laos	89	Q819
Latvia	<1	Q211
Lebanon	7	Q822
Lesotho	36	Q1013
Liberia	258	Q1014
Libya	10	Q1016
Lithuania	<1	Q37
Luxembourg	<1	Q32
Macedonia	<1	Q221
Madagascar	747	Q1019
Malawi	287	Q1020
Malaysia	51	Q833
Maldives	1	Q826
Mali	974	Q912
Malta	<1	Q233
Marshall Islands	<1	Q709
Mauritania	149	Q1025
Mauritius	2	Q1027
Mexico	190	Q96
Micronesia (country)	<1	Q702
Moldova	1	Q217
Mongolia	8	Q711
Montenegro	<1	Q236
Morocco	209	Q1028
Mozambique	748	Q1029
Myanmar	506	Q836
Namibia	12	Q1030
Nepal	347	Q837
Netherlands	2	Q55
New Zealand	<1	Q664
Nicaragua	10	Q811
Niger	1,009	Q1032
Nigeria	6,057	Q1033
North Korea	55	Q423
Northern Ireland	<1	Q26
Northern Mariana Islands	<1	Q16644
Norway	<1	Q20
Oman	3	Q842
Pakistan	5,287	Q843
Palestine	4	Q219060
Panama	11	Q804
Papua New Guinea	481	Q691
Paraguay	29	Q733
Peru	103	Q419
Philippines	365	Q928
Poland	2	Q36
Portugal	1	Q45
Puerto Rico	1	Q1183
Qatar	<1	Q846
Romania	7	Q218
Russia	36	Q159
Rwanda	138	Q1037
Saint Lucia	<1	Q760
Saint Vincent and the Grenadines	<1	Q757
Samoa	<1	Q683
Sao Tome and Principe	2	Q1039
Saudi Arabia	21	Q851
Scotland	2	Q22
Senegal	539	Q1041
Serbia	2	Q403
Seychelles	<1	Q1042
Sierra Leone	397	Q1044
Singapore	<1	Q334
Slovakia	<1	Q214
Slovenia	<1	Q215
Solomon Islands	10	Q685
Somalia	839	Q1045
South Africa	262	Q258
South Korea	7	Q884
South Sudan	462	Q958
Spain	4	Q29
Sri Lanka	20	Q854
Sudan	644	Q1049
Suriname	3	Q730
Swaziland	8	Q1050
Sweden	<1	Q34
Switzerland	1	Q39
Syria	10	Q858
Taiwan	3	Q865
Tajikistan	19	Q863
Tanzania	1,543	Q924
Thailand	40	Q869
Timor	21	Q574
Togo	163	Q945
Tonga	<1	Q678
Trinidad and Tobago	2	Q754
Tunisia	9	Q948
Turkey	47	Q43
Turkmenistan	2	Q874
Uganda	387	Q1036
Ukraine	18	Q212
United Arab Emirates	2	Q878
United Kingdom	13	Q145
United States	151	Q30
United States Virgin Islands	<1	Q11703
Uruguay	2	Q77
Uzbekistan	62	Q265
Vanuatu	3	Q686
Venezuela	56	Q717
Vietnam	38	Q881
Wales	<1	Q25
Yemen	1,009	Q805
Zambia	180	Q953
Zimbabwe	311	Q954
