Country	deaths	ID
Afghanistan	6,872	Q889
Albania	920	Q222
Algeria	13,315	Q262
American Samoa	15	Q16641
Andorra	24	Q228
Angola	3,724	Q916
Antigua and Barbuda	30	Q781
Argentina	15,931	Q414
Armenia	2,189	Q399
Australia	4,881	Q408
Austria	3,507	Q40
Azerbaijan	4,76	Q227
Bahamas	105	Q778
Bahrain	410	Q398
Bangladesh	56,068	Q902
Barbados	171	Q244
Belarus	8,185	Q184
Belgium	5,059	Q31
Belize	80	Q242
Benin	1,307	Q962
Bermuda	21	Q23635
Bhutan	280	Q917
Bolivia	2,745	Q750
Bosnia and Herzegovina	2,135	Q225
Botswana	415	Q963
Brazil	54,86	Q155
Brunei	52	Q921
Bulgaria	6,223	Q219
Burkina Faso	2,481	Q965
Burundi	1,11	Q967
Cambodia	2,389	Q424
Cameroon	6,69	Q1009
Canada	7,937	Q16
Cape Verde	120	Q1011
Central African Republic	1,106	Q929
Chad	2,856	Q657
Chile	5,043	Q298
China	1.03 million	Q148
Colombia	9,712	Q739
Comoros	70	Q970
Congo	1,18	Q971
Costa Rica	874	Q800
Cote d'Ivoire	2,524	Q1008
Croatia	2,712	Q224
Cuba	5,959	Q241
Cyprus	507	Q229
Czech Republic	6,342	Q213
Democratic Republic of Congo	12,165	Q974
Denmark	2,404	Q35
Djibouti	245	Q977
Dominica	29	Q784
Dominican Republic	2,358	Q786
Ecuador	3,427	Q736
Egypt	60,855	Q79
El Salvador	1,744	Q792
England	21,008	Q21
Equatorial Guinea	171	Q983
Eritrea	928	Q986
Estonia	339	Q191
Ethiopia	8,076	Q115
Fiji	286	Q712
Finland	1,118	Q33
France	19,174	Q142
Gabon	577	Q1000
Gambia	269	Q1005
Georgia	2,357	Q230
Germany	42,061	Q183
Ghana	5,359	Q117
Greece	7,018	Q41
Greenland	20	Q223
Grenada	74	Q769
Guam	63	Q16635
Guatemala	2,654	Q774
Guinea	1,34	Q1006
Guinea-Bissau	182	Q1007
Guyana	274	Q734
Haiti	1,128	Q790
Honduras	976	Q783
Hungary	6,311	Q28
Iceland	59	Q189
India	818,803	Q668
Indonesia	56,781	Q252
Iran	29,395	Q794
Iraq	9,452	Q796
Ireland	1,107	Q27
Israel	2,633	Q801
Italy	29,742	Q38
Jamaica	971	Q766
Japan	50,407	Q17
Jordan	1,971	Q810
Kazakhstan	6,09	Q232
Kenya	4,999	Q114
Kiribati	12	Q710
Kuwait	836	Q817
Kyrgyzstan	1,634	Q813
Laos	1,255	Q819
Latvia	1,285	Q211
Lebanon	2,8	Q822
Lesotho	592	Q1013
Liberia	215	Q1014
Libya	3,097	Q1016
Lithuania	2,004	Q37
Luxembourg	170	Q32
Macedonia	1,269	Q221
Madagascar	2,096	Q1019
Malawi	1,22	Q1020
Malaysia	10,929	Q833
Maldives	41	Q826
Mali	1,658	Q912
Malta	218	Q233
Marshall Islands	12	Q709
Mauritania	706	Q1025
Mauritius	704	Q1027
Mexico	37,368	Q96
Micronesia (country)	21	Q702
Moldova	2,279	Q217
Mongolia	981	Q711
Montenegro	303	Q236
Morocco	19,175	Q1028
Mozambique	1,728	Q1029
Myanmar	19,001	Q836
Namibia	479	Q1030
Nepal	15,895	Q837
Netherlands	6,825	Q55
New Zealand	689	Q664
Nicaragua	538	Q811
Niger	3,203	Q1032
Nigeria	50,401	Q1033
North Korea	17,529	Q423
Northern Ireland	593	Q26
Northern Mariana Islands	12	Q16644
Norway	1,152	Q20
Oman	897	Q842
Pakistan	71,961	Q843
Palestine	1,123	Q219060
Panama	616	Q804
Papua New Guinea	1,106	Q691
Paraguay	801	Q733
Peru	5,84	Q419
Philippines	22,639	Q928
Poland	22,52	Q36
Portugal	4,238	Q45
Puerto Rico	1,281	Q1183
Qatar	348	Q846
Romania	11,662	Q218
Russia	99,613	Q159
Rwanda	1,338	Q1037
Saint Lucia	70	Q760
Saint Vincent and the Grenadines	52	Q757
Samoa	20	Q683
Sao Tome and Principe	35	Q1039
Saudi Arabia	8,8	Q851
Scotland	1,853	Q22
Senegal	1,854	Q1041
Serbia	6,407	Q403
Seychelles	38	Q1042
Sierra Leone	734	Q1044
Singapore	1,326	Q334
Slovakia	3,028	Q214
Slovenia	858	Q215
Solomon Islands	55	Q685
Somalia	1,32	Q1045
South Africa	19,451	Q258
South Korea	17,685	Q884
South Sudan	1,479	Q958
Spain	17,129	Q29
Sri Lanka	2,953	Q854
Sudan	8,2	Q1049
Suriname	207	Q730
Swaziland	236	Q1050
Sweden	2,242	Q34
Switzerland	2,327	Q39
Syria	7,683	Q858
Taiwan	12,445	Q865
Tajikistan	3,081	Q863
Tanzania	4,954	Q924
Thailand	24,579	Q869
Timor	150	Q574
Togo	858	Q945
Tonga	19	Q678
Trinidad and Tobago	893	Q754
Tunisia	5,815	Q948
Turkey	40,721	Q43
Turkmenistan	2,407	Q874
Uganda	3,587	Q1036
Ukraine	46,52	Q212
United Arab Emirates	2,111	Q878
United Kingdom	24,81	Q145
United States	109,63	Q30
United States Virgin Islands	52	Q11703
Uruguay	1,133	Q77
Uzbekistan	15,528	Q265
Vanuatu	31	Q686
Venezuela	9,142	Q717
Vietnam	29,55	Q881
Wales	1,355	Q25
Yemen	7,777	Q805
Zambia	1,727	Q953
Zimbabwe	2,112	Q954
