Country	deaths	ID
Afghanistan	9,241	Q889
Albania	4,161	Q222
Algeria	18,61	Q262
American Samoa	31	Q16641
Andorra	80	Q228
Angola	8,811	Q916
Antigua and Barbuda	38	Q781
Argentina	51,912	Q414
Armenia	4,872	Q399
Australia	21,559	Q408
Austria	11,502	Q40
Azerbaijan	12,217	Q227
Bahamas	159	Q778
Bahrain	329	Q398
Bangladesh	90,795	Q902
Barbados	168	Q244
Belarus	21,497	Q184
Belgium	20,078	Q31
Belize	127	Q242
Benin	1,984	Q962
Bermuda	62	Q23635
Bhutan	296	Q917
Bolivia	4,025	Q750
Bosnia and Herzegovina	8,483	Q225
Botswana	901	Q963
Brazil	167,657	Q155
Brunei	286	Q921
Bulgaria	20,301	Q219
Burkina Faso	3,335	Q965
Burundi	2,736	Q967
Cambodia	12,677	Q424
Cameroon	5,244	Q1009
Canada	49,362	Q16
Cape Verde	126	Q1011
Central African Republic	2,509	Q929
Chad	1,658	Q657
Chile	10,405	Q298
China	2.20 million	Q148
Colombia	19,434	Q739
Comoros	180	Q970
Congo	1,556	Q971
Costa Rica	2,204	Q800
Cote d'Ivoire	6,312	Q1008
Croatia	9,34	Q224
Cuba	18,457	Q241
Cyprus	1,492	Q229
Czech Republic	20,822	Q213
Democratic Republic of Congo	16,609	Q974
Denmark	11,7	Q35
Djibouti	343	Q977
Dominica	38	Q784
Dominican Republic	7,726	Q786
Ecuador	4,722	Q736
Egypt	69,344	Q79
El Salvador	2,219	Q792
England	73,218	Q21
Equatorial Guinea	163	Q983
Eritrea	1,358	Q986
Estonia	2,161	Q191
Ethiopia	9,463	Q115
Fiji	886	Q712
Finland	5,639	Q33
France	79,002	Q142
Gabon	645	Q1000
Gambia	669	Q1005
Georgia	6,799	Q230
Germany	141,531	Q183
Ghana	5,839	Q117
Greece	24,401	Q41
Greenland	118	Q223
Grenada	86	Q769
Guam	116	Q16635
Guatemala	3,769	Q774
Guinea	2,275	Q1006
Guinea-Bissau	319	Q1007
Guyana	412	Q734
Haiti	4,007	Q790
Honduras	3,974	Q783
Hungary	24,007	Q28
Iceland	323	Q189
India	894,372	Q668
Indonesia	227,477	Q252
Iran	38,921	Q794
Iraq	11,42	Q796
Ireland	5,694	Q27
Israel	6,092	Q801
Italy	84,848	Q38
Jamaica	2,158	Q766
Japan	200,016	Q17
Jordan	3,337	Q810
Kazakhstan	20,075	Q232
Kenya	9,78	Q114
Kiribati	178	Q710
Kuwait	1,074	Q817
Kyrgyzstan	3,801	Q813
Laos	5,375	Q819
Latvia	4,123	Q211
Lebanon	6,406	Q822
Lesotho	1,853	Q1013
Liberia	928	Q1014
Libya	2,752	Q1016
Lithuania	5,642	Q37
Luxembourg	671	Q32
Macedonia	4,279	Q221
Madagascar	5,821	Q1019
Malawi	3,826	Q1020
Malaysia	23,65	Q833
Maldives	170	Q826
Mali	2,594	Q912
Malta	627	Q233
Marshall Islands	43	Q709
Mauritania	527	Q1025
Mauritius	1,126	Q1027
Mexico	51,575	Q96
Micronesia (country)	80	Q702
Moldova	6,386	Q217
Mongolia	2,934	Q711
Montenegro	1,724	Q236
Morocco	18,402	Q1028
Mozambique	9,799	Q1029
Myanmar	68,092	Q836
Namibia	1,148	Q1030
Nepal	23,558	Q837
Netherlands	30,791	Q55
New Zealand	4,205	Q664
Nicaragua	1,475	Q811
Niger	1,614	Q1032
Nigeria	13,479	Q1033
North Korea	36,468	Q423
Northern Ireland	2,184	Q26
Northern Mariana Islands	26	Q16644
Norway	5,898	Q20
Oman	922	Q842
Pakistan	128,589	Q843
Palestine	1,139	Q219060
Panama	1,542	Q804
Papua New Guinea	10,566	Q691
Paraguay	4,293	Q733
Peru	7,049	Q419
Philippines	93,737	Q928
Poland	76,482	Q36
Portugal	11,869	Q45
Puerto Rico	1,866	Q1183
Qatar	277	Q846
Romania	40,499	Q218
Russia	301,068	Q159
Rwanda	3,787	Q1037
Saint Lucia	113	Q760
Saint Vincent and the Grenadines	70	Q757
Samoa	179	Q683
Sao Tome and Principe	38	Q1039
Saudi Arabia	5,604	Q851
Scotland	11,877	Q22
Senegal	2,487	Q1041
Serbia	24,724	Q403
Seychelles	88	Q1042
Sierra Leone	2,43	Q1044
Singapore	2,4	Q334
Slovakia	8,241	Q214
Slovenia	2,963	Q215
Solomon Islands	513	Q685
Somalia	4,876	Q1045
South Africa	29,92	Q258
South Korea	48,053	Q884
South Sudan	2,38	Q958
Spain	63,969	Q29
Sri Lanka	12,689	Q854
Sudan	2,868	Q1049
Suriname	476	Q730
Swaziland	499	Q1050
Sweden	13,194	Q34
Switzerland	9,671	Q39
Syria	10,057	Q858
Taiwan	27,763	Q865
Tajikistan	4,165	Q863
Tanzania	15,146	Q924
Thailand	56,235	Q869
Timor	805	Q574
Togo	1,519	Q945
Tonga	80	Q678
Trinidad and Tobago	1,011	Q754
Tunisia	10,746	Q948
Turkey	77,09	Q43
Turkmenistan	3,883	Q874
Uganda	5,557	Q1036
Ukraine	117,039	Q212
United Arab Emirates	2,513	Q878
United Kingdom	92,871	Q145
United States	422,011	Q30
United States Virgin Islands	85	Q11703
Uruguay	4,736	Q77
Uzbekistan	20,932	Q265
Vanuatu	234	Q686
Venezuela	15,929	Q717
Vietnam	86,358	Q881
Wales	5,592	Q25
Yemen	12,553	Q805
Zambia	4,354	Q953
Zimbabwe	8,715	Q954
