Country	deaths	ID
Afghanistan	27,535	Q889
Albania	2,993	Q222
Algeria	32,279	Q262
American Samoa	86	Q16641
Andorra	67	Q228
Angola	13,735	Q916
Antigua and Barbuda	117	Q781
Argentina	47,639	Q414
Armenia	6,582	Q399
Australia	20,075	Q408
Austria	14,462	Q40
Azerbaijan	17,247	Q227
Bahamas	373	Q778
Bahrain	991	Q398
Bangladesh	109,116	Q902
Barbados	557	Q244
Belarus	14,638	Q184
Belgium	14,698	Q31
Belize	316	Q242
Benin	4,639	Q962
Bermuda	72	Q23635
Bhutan	425	Q917
Bolivia	10,213	Q750
Bosnia and Herzegovina	9,49	Q225
Botswana	1,777	Q963
Brazil	131,163	Q155
Brunei	415	Q921
Bulgaria	17,412	Q219
Burkina Faso	9,53	Q965
Burundi	5,061	Q967
Cambodia	12,367	Q424
Cameroon	11,294	Q1009
Canada	36,53	Q16
Cape Verde	352	Q1011
Central African Republic	4,579	Q929
Chad	5,581	Q657
Chile	16,147	Q298
China	891,047	Q148
Colombia	20,405	Q739
Comoros	539	Q970
Congo	3,947	Q971
Costa Rica	2,169	Q800
Cote d'Ivoire	10,809	Q1008
Croatia	9,614	Q224
Cuba	11,139	Q241
Cyprus	1,566	Q229
Czech Republic	21,703	Q213
Democratic Republic of Congo	48,204	Q974
Denmark	8,477	Q35
Djibouti	627	Q977
Dominica	129	Q784
Dominican Republic	9,928	Q786
Ecuador	13,501	Q736
Egypt	102,942	Q79
El Salvador	7,504	Q792
England	58,599	Q21
Equatorial Guinea	524	Q983
Eritrea	3,035	Q986
Estonia	2,556	Q191
Ethiopia	31,269	Q115
Fiji	2,571	Q712
Finland	8,901	Q33
France	65,807	Q142
Gabon	1,523	Q1000
Gambia	1,185	Q1005
Georgia	11,936	Q230
Germany	155,36	Q183
Ghana	17,736	Q117
Greece	19,42	Q41
Greenland	41	Q223
Grenada	262	Q769
Guam	301	Q16635
Guatemala	14,294	Q774
Guinea	6,744	Q1006
Guinea-Bissau	1,017	Q1007
Guyana	1,22	Q734
Haiti	12,66	Q790
Honduras	4,894	Q783
Hungary	21,434	Q28
Iceland	330	Q189
India	1.00 million	Q668
Indonesia	333,49	Q252
Iran	71,194	Q794
Iraq	21,106	Q796
Ireland	4,655	Q27
Israel	8,908	Q801
Italy	104,405	Q38
Jamaica	5,284	Q766
Japan	114,24	Q17
Jordan	5,201	Q810
Kazakhstan	20,919	Q232
Kenya	20,047	Q114
Kiribati	249	Q710
Kuwait	1,205	Q817
Kyrgyzstan	5,308	Q813
Laos	6,368	Q819
Latvia	4,78	Q211
Lebanon	7,398	Q822
Lesotho	2,998	Q1013
Liberia	2,122	Q1014
Libya	6,87	Q1016
Lithuania	5,747	Q37
Luxembourg	664	Q32
Macedonia	4,433	Q221
Madagascar	11,664	Q1019
Malawi	8,828	Q1020
Malaysia	19,366	Q833
Maldives	206	Q826
Mali	7,575	Q912
Malta	855	Q233
Marshall Islands	97	Q709
Mauritania	1,995	Q1025
Mauritius	3,7	Q1027
Mexico	176,934	Q96
Micronesia (country)	189	Q702
Moldova	6,932	Q217
Mongolia	2,325	Q711
Montenegro	1,511	Q236
Morocco	51,256	Q1028
Mozambique	15,413	Q1029
Myanmar	65,988	Q836
Namibia	1,825	Q1030
Nepal	17,698	Q837
Netherlands	21,354	Q55
New Zealand	3,814	Q664
Nicaragua	4,459	Q811
Niger	6,051	Q1032
Nigeria	46,112	Q1033
North Korea	22,288	Q423
Northern Ireland	2,044	Q26
Northern Mariana Islands	66	Q16644
Norway	5,852	Q20
Oman	2,056	Q842
Pakistan	161,494	Q843
Palestine	3,19	Q219060
Panama	2,816	Q804
Papua New Guinea	13,024	Q691
Paraguay	6,207	Q733
Peru	12,427	Q419
Philippines	125,939	Q928
Poland	65,171	Q36
Portugal	20,961	Q45
Puerto Rico	7,124	Q1183
Qatar	676	Q846
Romania	29,894	Q218
Russia	257,066	Q159
Rwanda	4,632	Q1037
Saint Lucia	268	Q760
Saint Vincent and the Grenadines	233	Q757
Samoa	269	Q683
Sao Tome and Principe	91	Q1039
Saudi Arabia	16,065	Q851
Scotland	6,764	Q22
Senegal	8,135	Q1041
Serbia	28,519	Q403
Seychelles	112	Q1042
Sierra Leone	3,986	Q1044
Singapore	2,085	Q334
Slovakia	7,253	Q214
Slovenia	2,348	Q215
Solomon Islands	843	Q685
Somalia	9,821	Q1045
South Africa	56,263	Q258
South Korea	44,263	Q884
South Sudan	4,873	Q958
Spain	58,741	Q29
Sri Lanka	29,918	Q854
Sudan	24,259	Q1049
Suriname	809	Q730
Swaziland	1,366	Q1050
Sweden	15,101	Q34
Switzerland	10,15	Q39
Syria	14,84	Q858
Taiwan	26,897	Q865
Tajikistan	7,906	Q863
Tanzania	22,463	Q924
Thailand	55,472	Q869
Timor	1,069	Q574
Togo	3,141	Q945
Tonga	185	Q678
Trinidad and Tobago	3,425	Q754
Tunisia	14,141	Q948
Turkey	62,393	Q43
Turkmenistan	7,113	Q874
Uganda	12,587	Q1036
Ukraine	107,617	Q212
United Arab Emirates	3,919	Q878
United Kingdom	71,546	Q145
United States	420,328	Q30
United States Virgin Islands	246	Q11703
Uruguay	4,946	Q77
Uzbekistan	50,135	Q265
Vanuatu	414	Q686
Venezuela	26,801	Q717
Vietnam	98,864	Q881
Wales	4,139	Q25
Yemen	17,126	Q805
Zambia	7,573	Q953
Zimbabwe	10,768	Q954
