Country	Debt	ID
Afghanistan	-5	Q889
Albania	-130	Q222
Algeria	-8	Q262
Angola	-525	Q916
Argentina	5117	Q414
Armenia	381	Q399
Azerbaijan	720	Q227
Bangladesh	1483	Q902
Belarus	2613	Q184
Belize	-12	Q242
Benin	805	Q962
Bhutan	-5	Q917
Bolivia	-106	Q750
Bosnia and Herzegovina	516	Q225
Botswana	-9	Q963
Brazil	29749	Q155
Bulgaria	848	Q219
Burkina Faso	1	Q965
Burundi	0	Q967
Cabo Verde	0	Q1011
Cambodia	805	Q424
Cameroon	-41	Q1009
Central African Republic	0	Q929
Chad	0	Q657
China	2006	Q148
Colombia	4831	Q739
Comoros	0	Q970
Congo, Dem. Rep.	17	Q974
Congo, Rep.	0	Q971
Costa Rica	1139	Q800
Cote d'Ivoire	1	Q1008
Djibouti	-94	Q977
Dominica	-1	Q784
Dominican Republic	205	Q786
Ecuador	1563	Q736
Egypt, Arab Rep.	4817	Q79
El Salvador	220	Q792
Eritrea	0	Q986
Ethiopia	252	Q115
Fiji	0	Q712
Gabon	-211	Q1000
Gambia, The	-2	Q1005
Georgia	221	Q230
Ghana	-320	Q117
Grenada	0	Q769
Guatemala	-548	Q774
Guinea	0	Q1006
Guinea-Bissau	0	Q1007
Guyana	-51	Q734
Haiti	-3	Q790
Honduras	218	Q783
India	11006	Q668
Indonesia	11319	Q252
Iran, Islamic Rep.	-45	Q794
Jamaica	987	Q766
Jordan	600	Q810
Kazakhstan	1299	Q232
Kenya	161	Q114
Kosovo	11	Q1246
Kyrgyz Republic	-86	Q813
Lao PDR	140	Q819
Lebanon	5164	Q822
Lesotho	0	Q1013
Liberia	-8	Q1014
North Macedonia	-137	Q221
Madagascar	106	Q1019
Malawi	0	Q1020
Maldives	30	Q826
Mali	0	Q912
Mauritania	0	Q1025
Mauritius	1077	Q1027
Mexico	-2598	Q96
Moldova	127	Q217
Mongolia	757	Q711
Montenegro	191	Q236
Morocco	757	Q1028
Mozambique	1380	Q1029
Myanmar	-42	Q836
Nepal	-8	Q837
Nicaragua	-140	Q811
Niger	0	Q1032
Nigeria	1144	Q1033
Pakistan	1596	Q843
Papua New Guinea	65	Q691
Paraguay	-955	Q733
Peru	455	Q419
Philippines	-185	Q928
Romania	-1531	Q218
Russian Federation	-55764	Q159
Rwanda	229	Q1037
Samoa	0	Q683
Sao Tome and Principe	0	Q1039
Senegal	388	Q1041
Serbia	705	Q403
Sierra Leone	0	Q1044
Solomon Islands	6	Q685
Somalia	0	Q1045
South Africa	1769	Q258
Sri Lanka	-714	Q854
St. Lucia	0	Q760
St. Vincent and the Grenadines	-3	Q757
Sudan	0	Q1049
Eswatini	-1	Q1050
Syrian Arab Republic	0	Q858
Tajikistan	81	Q863
Tanzania	-24	Q924
Thailand	14686	Q869
Timor-Leste	0	Q574
Togo	-5	Q945
Tonga	0	Q678
Tunisia	-208	Q948
Turkey	-2009	Q43
Turkmenistan	254	Q874
Uganda	-197	Q1036
Ukraine	1492	Q212
Uzbekistan	-51	Q265
Vanuatu	0	Q686
Venezuela, RB	3226	Q717
Vietnam	4256	Q881
Yemen, Rep.	0	Q805
Zambia	1495	Q953
Zimbabwe	496	Q954
