Country	Resilience	ID
Algeria	3.5	Q262
Antigua and Barbuda	2.8	Q781
Argentina	3.3	Q414
Armenia	3	Q399
Australia	4	Q408
Bangladesh	4	Q902
Barbados	4	Q244
Bolivia	2.3	Q750
Botswana	3	Q963
Brazil	4.5	Q155
Brunei Darussalam	2.8	Q921
Bulgaria	3.5	Q219
Burundi	3.3	Q967
Canada	4.3	Q16
Cabo Verde	3.5	Q1011
Cayman Islands	3	Q5785
Chile	2.8	Q298
Colombia	3.8	Q739
Comoros	1.8	Q970
Costa Rica	4.5	Q800
Cote d'Ivoire	2.5	Q1008
Cuba	4.5	Q241
Czech Republic	2.8	Q213
Dominican Republic	3	Q786
Ecuador	4.8	Q736
El Salvador	3.3	Q792
Fiji	2.8	Q712
Finland	3.5	Q33
Georgia	2.8	Q230
Germany	4.3	Q183
Ghana	3.3	Q117
Guatemala	3.3	Q774
Guinea-Bissau	1	Q1007
Honduras	3.8	Q783
India	3.3	Q668
Indonesia	3.3	Q252
Italy	3.5	Q38
Jamaica	3.8	Q766
Japan	4.5	Q17
Kenya	4	Q114
Lao PDR	2.3	Q819
Lebanon	3	Q822
Lesotho	2.5	Q1013
North Macedonia	3.3	Q221
Madagascar	3.8	Q1019
Malawi	1.8	Q1020
Malaysia	3.8	Q833
Maldives	2.3	Q826
Marshall Islands	1.8	Q709
Mauritius	3.5	Q1027
Mexico	4.3	Q96
Mongolia	2.8	Q711
Morocco	3	Q1028
Mozambique	4	Q1029
Nepal	2.8	Q837
New Zealand	3.8	Q664
Nicaragua	3.8	Q811
Nigeria	4	Q1033
Norway	3.8	Q20
Pakistan	3.5	Q843
Panama	3	Q804
Paraguay	3.8	Q733
Peru	3	Q419
Poland	3.3	Q36
Romania	3.3	Q218
Samoa	3.5	Q683
Senegal	2.8	Q1041
Sierra Leone	3	Q1044
Solomon Islands	2	Q685
Sri Lanka	3.5	Q854
St. Kitts and Nevis	3.5	Q763
St. Lucia	3.3	Q760
Sweden	3.8	Q34
Switzerland	4.8	Q39
Syrian Arab Republic	3.5	Q858
Tanzania	3.5	Q924
Thailand	3.8	Q869
Turks and Caicos Islands	2.3	Q18221
United States	3.5	Q30
Vanuatu	2	Q686
Venezuela, RB	2.8	Q717
Yemen, Rep.	2.3	Q805
Zambia	3.8	Q953
