Country	Total_2000	Total_2018	Youth_2000	Youth_2018	ID
Afghanistan	42	43.4	32.5	33.2	Q889
Albania	51.4	49	39.7	22.1	Q222
Algeria	30.6	36.4	17.9	18.2	Q262
Angola	74.6	72.1	52.3	47.3	Q916
Argentina	52.6	55.7	31.1	29.6	Q414
Armenia	47.6	45.9	25.4	21.8	Q399
Australia	59.4	62.2	61.7	59.5	Q408
Austria	55.8	57.8	52.8	51.1	Q40
Azerbaijan	55.7	63.6	35.5	38.1	Q227
Bahamas, The	69.5	67.2	45.4	40.7	Q778
Bahrain	64.8	72.7	39.4	41.8	Q398
Bangladesh	55.9	56.4	43.5	36.9	Q902
Barbados	61.9	59.4	46.3	32.8	Q244
Belarus	52	61.5	35.3	41.6	Q184
Belgium	48.8	50.5	30.3	25	Q31
Belize	54.4	60.7	39.9	42	Q242
Benin	71.6	69.1	59.6	40.3	Q962
Bhutan	67.8	64.9	47.7	28.6	Q917
Bolivia	68.7	69.4	49.2	46.8	Q750
Bosnia and Herzegovina	33.4	38	13.8	19.7	Q225
Botswana	49.1	58.4	26	28.6	Q963
Brazil	57.8	56.2	48.8	40	Q155
Brunei Darussalam	64.2	59.2	39.7	26.7	Q921
Bulgaria	41.8	52.6	20.5	21.3	Q219
Burkina Faso	75.7	62.5	69.9	47.4	Q965
Burundi	82	78	66.4	52.4	Q967
Cabo Verde	52.7	52.9	39.5	25.6	Q1011
Cambodia	78	81.7	64.7	71.2	Q424
Cameroon	76.1	73.6	61.6	52.1	Q1009
Canada	60.8	61.5	56.2	56.4	Q16
Central African Republic	69.5	69.3	50.4	52.3	Q929
Chad	71.6	69.4	57.5	53.5	Q657
Channel Islands	54.4	54.1	42.7	41.6	Q42314
Chile	50.4	58	30.2	27.8	Q298
China	74.8	65.6	64.1	40.8	Q148
Hong Kong SAR, China	58.3	58.6	41.7	37.8	Q8646
Macao SAR, China	60.9	69.3	38.6	44.4	Q14773
Colombia	53.9	62.4	36.3	42.9	Q739
Comoros	40.1	41.3	15.8	12.6	Q970
Congo, Dem. Rep.	69.5	61	42.6	32.8	Q974
Congo, Rep.	54.6	62.8	26.6	33.2	Q971
Costa Rica	56.5	56.2	45	33.7	Q800
Cote d'Ivoire	62.4	55.2	46.6	33	Q1008
Croatia	45	47	24.7	26	Q224
Cuba	49.1	52.8	31.4	35.4	Q241
Cyprus	57.8	57.9	39.2	32.1	Q229
Czech Republic	54.9	59.4	37	28.7	Q213
