Country	Time required	ID
Afghanistan	1642	Q889
Albania	525	Q222
Algeria	630	Q262
Angola	1296	Q916
Antigua and Barbuda	476	Q781
Argentina	995	Q414
Armenia	570	Q399
Australia	402	Q408
Austria	397	Q40
Azerbaijan	277	Q227
Bahamas, The	545	Q778
Bahrain	635	Q398
Bangladesh	1442	Q902
Barbados	1340	Q244
Belarus	275	Q184
Belgium	505	Q31
Belize	892	Q242
Benin	595	Q962
Bhutan	225	Q917
Bolivia	591	Q750
Bosnia and Herzegovina	595	Q225
Botswana	660	Q963
Brazil	801	Q155
Brunei Darussalam	540	Q921
Bulgaria	564	Q219
Burkina Faso	446	Q965
Burundi	832	Q967
Cabo Verde	425	Q1011
Cambodia	483	Q424
Cameroon	800	Q1009
Canada	910	Q16
Central African Republic	660	Q929
Chad	743	Q657
Chile	519	Q298
China	496	Q148
Hong Kong SAR, China	385	Q8646
Colombia	1288	Q739
Comoros	506	Q970
Congo, Dem. Rep.	610	Q974
Congo, Rep.	560	Q971
Costa Rica	852	Q800
Cote d'Ivoire	525	Q1008
Croatia	650	Q224
Cyprus	1100	Q229
Czech Republic	678	Q213
Denmark	485	Q35
Djibouti	695	Q977
Dominica	741	Q784
Dominican Republic	590	Q786
Ecuador	523	Q736
Egypt, Arab Rep.	1010	Q79
El Salvador	816	Q792
Equatorial Guinea	475	Q983
Eritrea	490	Q986
Estonia	455	Q191
Ethiopia	530	Q115
Fiji	397	Q712
Finland	485	Q33
France	447	Q142
Gabon	1160	Q1000
Gambia, The	758	Q1005
Georgia	285	Q230
Germany	499	Q183
Ghana	710	Q117
Greece	1711	Q41
Grenada	688	Q769
Guatemala	1402	Q774
Guinea	311	Q1006
Guinea-Bissau	1785	Q1007
Guyana	581	Q734
Haiti	530	Q790
Honduras	920	Q783
Hungary	605	Q28
Iceland	417	Q189
India	1445	Q668
Indonesia	403	Q252
Iran, Islamic Rep.	505	Q794
Iraq	520	Q796
Ireland	650	Q27
Israel	975	Q801
Italy	1120	Q38
Jamaica	550	Q766
Japan	360	Q17
Jordan	642	Q810
Kazakhstan	370	Q232
Kenya	465	Q114
Kiribati	660	Q710
Korea, Rep.	290	Q884
Kosovo	330	Q1246
Kuwait	566	Q817
Kyrgyz Republic	410	Q813
Lao PDR	828	Q819
Latvia	469	Q211
Lebanon	721	Q822
Lesotho	615	Q1013
Liberia	1300	Q1014
Libya	690	Q1016
Liechtenstein	640	Q347
Lithuania	370	Q37
Luxembourg	321	Q32
North Macedonia	634	Q221
Madagascar	811	Q1019
Malawi	522	Q1020
Malaysia	425	Q833
Maldives	760	Q826
Mali	620	Q912
Malta	505	Q233
Marshall Islands	616	Q709
Mauritania	370	Q1025
Mauritius	490	Q1027
Mexico	341	Q96
Micronesia, Fed. Sts.	885	Q702
Moldova	585	Q217
Mongolia	374	Q711
Montenegro	545	Q236
Morocco	510	Q1028
Mozambique	950	Q1029
Myanmar	1160	Q836
Namibia	460	Q1030
Nepal	910	Q837
Netherlands	514	Q55
New Zealand	216	Q664
Nicaragua	490	Q811
Niger	380	Q1032
Nigeria	399	Q1033
Norway	400	Q20
Oman	598	Q842
Pakistan	1071	Q843
Palau	810	Q695
Panama	790	Q804
Papua New Guinea	591	Q691
Paraguay	606	Q733
Peru	478	Q419
Philippines	962	Q928
Poland	685	Q36
Portugal	755	Q45
Puerto Rico	630	Q1183
Qatar	570	Q846
Romania	512	Q218
Russian Federation	337	Q159
Rwanda	230	Q1037
Samoa	455	Q683
San Marino	575	Q238
Sao Tome and Principe	1185	Q1039
Saudi Arabia	575	Q851
Senegal	650	Q1041
Serbia	622	Q403
Seychelles	915	Q1042
Sierra Leone	515	Q1044
Singapore	164	Q334
Slovak Republic	775	Q214
Slovenia	1160	Q215
Solomon Islands	497	Q685
Somalia	575	Q1045
South Africa	600	Q258
South Sudan	228	Q958
Spain	510	Q29
Sri Lanka	1318	Q854
St. Kitts and Nevis	578	Q763
St. Lucia	645	Q760
St. Vincent and the Grenadines	595	Q757
Sudan	810	Q1049
Suriname	1715	Q730
Eswatini	956	Q1050
Sweden	483	Q34
Switzerland	598	Q39
Syrian Arab Republic	872	Q858
Tajikistan	430	Q863
Tanzania	515	Q924
Thailand	420	Q869
Timor-Leste	1285	Q574
Togo	488	Q945
Tonga	350	Q678
Trinidad and Tobago	1340	Q754
Tunisia	565	Q948
Turkey	623	Q43
Uganda	490	Q1036
Ukraine	378	Q212
United Arab Emirates	445	Q878
United Kingdom	437	Q145
United States	444	Q30
Uruguay	725	Q77
Uzbekistan	225	Q265
Vanuatu	430	Q686
Venezuela, RB	720	Q717
Vietnam	400	Q881
West Bank and Gaza	540	Q407199
Yemen, Rep.	645	Q805
Zambia	611	Q953
Zimbabwe	410	Q954
