Country	Expenditures	ID
Algeria	0.54	Q262
Angola	0.03	Q916
Argentina	0.54	Q414
Armenia	0.19	Q399
Australia	1.87	Q408
Austria	3.17	Q40
Azerbaijan	0.18	Q227
Bahrain	0.1	Q398
Belarus	0.61	Q184
Belgium	2.82	Q31
Bermuda	0.26	Q23635
Bosnia and Herzegovina	0.2	Q225
Botswana	0.54	Q963
Brazil	1.26	Q155
Brunei Darussalam	0.28	Q921
Bulgaria	0.77	Q219
Burkina Faso	0.7	Q965
Burundi	0.21	Q967
Cambodia	0.12	Q424
Canada	1.57	Q16
Cabo Verde	0.07	Q1011
Chad	0.3	Q657
Chile	0.36	Q298
China	2.19	Q148
Hong Kong SAR, China	0.86	Q8646
Macao SAR, China	0.2	Q14773
Colombia	0.24	Q739
Congo, Dem. Rep.	0.41	Q974
Costa Rica	0.42	Q800
Cote d'Ivoire	0.1	Q1008
Croatia	0.97	Q224
Cuba	0.43	Q241
Cyprus	0.56	Q229
Czech Republic	1.93	Q213
Denmark	03.06	Q35
Ecuador	0.44	Q736
Egypt, Arab Rep.	0.72	Q79
El Salvador	0.18	Q792
Estonia	1.43	Q191
Ethiopia	0.27	Q115
Finland	2.77	Q33
France	2.2	Q142
Gambia, The	0.07	Q1005
Georgia	0.3	Q230
Germany	03.09	Q183
Ghana	0.38	Q117
Greece	1.18	Q41
Guatemala	0.03	Q774
Honduras	0.04	Q783
Hungary	1.55	Q28
Iceland	02.03	Q189
India	0.65	Q668
Indonesia	0.23	Q252
Iran, Islamic Rep.	0.83	Q794
Iraq	0.04	Q796
Ireland	1.15	Q27
Israel	4.95	Q801
Italy	1.4	Q38
Japan	3.26	Q17
Jordan	0.71	Q810
Kazakhstan	0.12	Q232
Kenya	0.79	Q114
Korea, Rep.	4.81	Q884
Kuwait	0.06	Q817
Kyrgyz Republic	0.11	Q813
Latvia	0.63	Q211
Lesotho	0.05	Q1013
Lithuania	0.94	Q37
Luxembourg	1.24	Q32
North Macedonia	0.36	Q221
Madagascar	0.01	Q1019
Malaysia	1.44	Q833
Mali	0.29	Q912
Malta	0.57	Q233
Mauritania	0.01	Q1025
Mauritius	0.35	Q1027
Mexico	0.31	Q96
Moldova	0.25	Q217
Mongolia	0.1	Q711
Montenegro	0.37	Q236
Morocco	0.71	Q1028
Mozambique	0.34	Q1029
Myanmar	0.03	Q836
Namibia	0.34	Q1030
Nepal	0.3	Q837
Netherlands	2.16	Q55
New Zealand	1.37	Q664
Nicaragua	0.11	Q811
Norway	02.07	Q20
Oman	0.22	Q842
Pakistan	0.24	Q843
Panama	0.15	Q804
Papua New Guinea	0.03	Q691
Paraguay	0.15	Q733
Peru	0.13	Q419
Philippines	0.16	Q928
Poland	1.21	Q36
Portugal	1.37	Q45
Puerto Rico	0.43	Q1183
Qatar	0.51	Q846
Romania	0.51	Q218
Russian Federation	0.99	Q159
Rwanda	0.67	Q1037
Saudi Arabia	0.82	Q851
Senegal	0.58	Q1041
Serbia	0.92	Q403
Seychelles	0.22	Q1042
Singapore	1.94	Q334
Slovak Republic	0.83	Q214
Slovenia	1.94	Q215
South Africa	0.83	Q258
Spain	1.24	Q29
Sri Lanka	0.11	Q854
Eswatini	0.27	Q1050
Sweden	3.34	Q34
Switzerland	3.37	Q39
Syrian Arab Republic	0.02	Q858
Tajikistan	0.1	Q863
Tanzania	0.51	Q924
Thailand	1	Q869
Togo	0.27	Q945
Trinidad and Tobago	0.09	Q754
Tunisia	0.6	Q948
Turkey	0.96	Q43
Uganda	0.17	Q1036
Ukraine	0.47	Q212
United Arab Emirates	1.3	Q878
United Kingdom	1.72	Q145
United States	2.84	Q30
Uruguay	0.48	Q77
Uzbekistan	0.13	Q265
Venezuela, RB	0.34	Q717
Vietnam	0.53	Q881
West Bank and Gaza	0.49	Q407199
