Country	Exports (2010)	Exports (2019)	ID
Afghanistan	16	8	Q889
Albania	28	32	Q222
Algeria	38	23	Q262
American Samoa	63	69	Q16641
Angola	62	41	Q916
Argentina	19	17	Q414
Armenia	20	39	Q399
Aruba	61	73	Q21203
Australia	20	24	Q408
Austria	51	56	Q40
Azerbaijan	54	49	Q227
Bahamas, The	35	36	Q778
Bahrain	70	80	Q398
Bangladesh	16	15	Q902
Barbados	46	42	Q244
Belarus	51	66	Q184
Belgium	76	82	Q31
Belize	59	58	Q242
Benin	23	30	Q962
Bhutan	43	31	Q917
Bolivia	41	25	Q750
Bosnia and Herzegovina	30	40	Q225
Botswana	44	34	Q963
Brazil	11	14	Q155
Brunei Darussalam	67	58	Q921
Bulgaria	50	64	Q219
Burkina Faso	21	28	Q965
Burundi	10	9	Q967
Cabo Verde	33	51	Q1011
Cambodia	54	61	Q424
Cameroon	22	17	Q1009
Canada	29	32	Q16
Central African Republic	12	19	Q929
Chad	37	37	Q657
Chile	38	28	Q298
China	27	18	Q148
Hong Kong SAR, China	205	177	Q8646
Macao SAR, China	88	84	Q14773
Colombia	16	16	Q739
Comoros	10	13	Q970
Congo, Dem. Rep.	41	32	Q974
Congo, Rep.	85	77	Q971
Costa Rica	33	34	Q800
Cote d'Ivoire	51	24	Q1008
Croatia	36	51	Q224
Cuba	23	15	Q241
Cyprus	50	71	Q229
Czech Republic	66	75	Q213
Denmark	51	56	Q35
Dominica	36	52	Q784
Dominican Republic	23	24	Q786
Ecuador	28	23	Q736
Egypt, Arab Rep.	21	19	Q79
El Salvador	27	30	Q792
Equatorial Guinea	86	55	Q983
Estonia	74	73	Q191
Eswatini	46	41	Q1050
Ethiopia	17	8	Q115
Finland	38	40	Q33
France	27	32	Q142
Gabon	58	51	Q1000
Gambia, The	15	21	Q1005
Georgia	33	54	Q230
Germany	43	47	Q183
Ghana	29	36	Q117
Greece	22	37	Q41
Greenland	34	41	Q223
Grenada	24	55	Q769
Guam	17	20	Q16635
Guatemala	26	18	Q774
Guinea	30	42	Q1006
Guinea-Bissau	15	23	Q1007
Guyana	39	33	Q734
Haiti	15	17	Q790
Honduras	46	40	Q783
Hungary	82	83	Q28
Iceland	52	45	Q189
India	22	19	Q668
Indonesia	24	18	Q252
Iran, Islamic Rep.	24	25	Q794
Iraq	39	37	Q796
Ireland	103	127	Q27
Israel	35	29	Q801
Italy	25	32	Q38
Jamaica	31	38	Q766
Japan	15	19	Q17
Jordan	48	37	Q810
Kazakhstan	44	37	Q232
Kenya	21	12	Q114
Kiribati	12	10	Q710
Korea, Rep.	47	40	Q884
Kosovo	20	28	Q1246
Kuwait	67	57	Q817
Kyrgyz Republic	52	37	Q813
Latvia	54	60	Q211
Lebanon	35	22	Q822
Lesotho	41	44	Q1013
Liberia	19	29	Q1014
Libya	66	65	Q1016
Lithuania	64	78	Q37
Luxembourg	175	209	Q32
Madagascar	22	26	Q1019
Malawi	23	31	Q1020
Malaysia	87	65	Q833
Maldives	78	66	Q826
Mali	23	23	Q912
Malta	153	141	Q233
Marshall Islands	37	40	Q709
Mauritania	46	42	Q1025
Mauritius	51	39	Q1027
Mexico	30	39	Q96
Micronesia, Fed. Sts.	24	35	Q702
Moldova	28	31	Q217
Mongolia	47	61	Q711
Montenegro	37	44	Q236
Morocco	32	39	Q1028
Mozambique	28	38	Q1029
Myanmar	20	30	Q836
Namibia	48	36	Q1030
Nepal	10	9	Q837
Netherlands	70	83	Q55
New Zealand	30	28	Q664
Nicaragua	40	45	Q811
Niger	16	12	Q1032
Nigeria	26	15	Q1033
North Macedonia	40	62	Q221
Northern Mariana Islands	42	54	Q16644
Norway	40	37	Q20
Oman	67	58	Q842
Pakistan	14	10	Q843
Palau	50	47	Q695
Panama	70	43	Q804
Paraguay	40	35	Q733
Peru	28	24	Q419
Philippines	33	28	Q928
Poland	40	56	Q36
Portugal	30	44	Q45
Puerto Rico	63	60	Q1183
Qatar	62	50	Q846
Romania	32	40	Q218
Russian Federation	29	28	Q159
Rwanda	11	19	Q1037
Samoa	28	38	Q683
Saudi Arabia	50	36	Q851
Senegal	20	23	Q1041
Serbia	32	52	Q403
Seychelles	94	69	Q1042
Sierra Leone	17	17	Q1044
Singapore	198	174	Q334
Sint Maarten (Dutch part)	110	92	Q26273
Slovak Republic	77	93	Q214
Slovenia	64	84	Q215
South Africa	29	30	Q258
Spain	26	35	Q29
Sri Lanka	20	23	Q854
St. Kitts and Nevis	28	64	Q763
Sudan	17	13	Q1049
Sweden	45	47	Q34
Switzerland	64	66	Q39
Tajikistan	15	16	Q863
Tanzania	20	15	Q924
Thailand	66	60	Q869
Timor-Leste	9	3	Q574
Togo	38	30	Q945
Tonga	12	22	Q678
Tunisia	49	50	Q948
Turkey	20	32	Q43
Turkmenistan	46	23	Q874
Uganda	14	19	Q1036
Ukraine	47	41	Q212
United Arab Emirates	82	92	Q878
United Kingdom	28	32	Q145
United States	12	12	Q30
Uruguay	26	22	Q77
Uzbekistan	28	31	Q265
Vietnam	72	107	Q881
Virgin Islands (U.S.)	298	73	Q11703
West Bank and Gaza	15	20	Q407199
Zambia	37	35	Q953
Zimbabwe	30	19	Q954
