Country	average annual (1990-2000)	average annual (2000-2019)	ID
Algeria	21.2	-1.7	Q262
Argentina	8.7	-0.7	Q414
Armenia	-3.1	10.5	Q399
Australia	7.7	5.4	Q408
Austria	5.6	3.2	Q40
Bahamas	2.5	0.7	Q778
Bangladesh	12.8	4.3	Q902
Belarus	-4.8	3.1	Q184
Belgium	5.4	3.3	Q31
Belize	6.8	0.9	Q242
Benin	6.4	7.9	Q962
Bolivia	4.5	1.4	Q750
Botswana	5.2	3.8	Q963
Brazil	6.1	2.3	Q155
Brunei Darussalam	2.4	-2	Q921
Bulgaria	1.8	5.8	Q219
Burkina Faso	4.6	7.3	Q965
Cambodia	21.7	9.7	Q424
Cameroon	4.3	3	Q1009
Canada	8.9	3	Q16
Chile	9.4	0.7	Q298
Hong Kong	7.8	2.3	Q8646
Macao	2.5	0.9	Q14773
Colombia	5.4	2.4	Q739
Comoros	1.6	7.5	Q970
Congo, Dem. Rep.	-0.5	9.5	Q974
Congo, Rep.	5.4	2.3	Q971
Costa Rica	8.7	4.9	Q800
Croatia	6	5.4	Q224
Cuba	2.5	-3.2	Q241
Cyprus	6.3	5.5	Q229
Czech Republic	8.6	5.1	Q213
Denmark	5	3.2	Q35
Dominican Republic	7.5	6.3	Q786
Ecuador	5.6	2.6	Q736
Egypt	3.7	5.3	Q79
El Salvador	12.4	3.2	Q792
Estonia	7.8	4.1	Q191
Eswatini	6.4	3.2	Q1050
Finland	10.3	2.1	Q33
France	7.2	3.4	Q142
Gabon	2.1	2.3	Q1000
Germany	5.9	3.6	Q183
Greece	8.7	3.5	Q41
Guatemala	6.1	3.1	Q774
Haiti	7.3	3.2	Q790
Honduras	1.5	3.2	Q783
Hungary	14.6	5.3	Q28
Iceland	3.3	5.3	Q189
India	12.3	4.1	Q668
Indonesia	6.1	2.7	Q252
Iran	0.4	3.7	Q794
Ireland	15.7	11.3	Q27
Israel	9.9	1.8	Q801
Italy	5.9	2.8	Q38
Japan	4.3	3.4	Q17
Jordan	1.3	0.2	Q810
Kazakhstan	-2.6	1.1	Q232
Kenya	1	1.8	Q114
South Korea	15.1	3.3	Q884
Kyrgyz Republic	-4.5	-0.7	Q813
Latvia	7	5	Q211
Lebanon	24.1	-0.9	Q822
Lesotho	21.7	2.4	Q1013
Lithuania	6.5	6.3	Q37
Luxembourg	8.7	4.7	Q32
Madagascar	3.8	11.8	Q1019
Malaysia	12	2.3	Q833
Mali	8.9	4.3	Q912
Mauritania	-2.3	2.2	Q1025
Mauritius	5.6	0.6	Q1027
Mexico	9.6	5.2	Q96
Moldova	-6.5	7.3	Q217
Morocco	3.4	5.7	Q1028
Mozambique	15.7	6.6	Q1029
Namibia	3.9	1.3	Q1030
Netherlands	7.1	4.2	Q55
New Zealand	5.5	3.2	Q664
Nicaragua	11.3	5	Q811
Niger	4.5	1.4	Q1032
Nigeria	2.1	3.6	Q1033
North Macedonia	4.2	9.8	Q221
Norway	5.5	1.5	Q20
Pakistan	1.7	0.5	Q843
Panama	2.1	0.9	Q804
Paraguay	5.1	3	Q733
Peru	8.6	3.7	Q419
Philippines	8.2	8.6	Q928
Poland	10.6	7.2	Q36
Portugal	5.4	5.5	Q45
Romania	8.5	9.2	Q218
Russian Federation	0.7	2.8	Q159
Rwanda	-2.9	15.5	Q1037
Senegal	4.1	5.4	Q1041
Serbia	19	8.9	Q403
Sierra Leone	-6.6	13.8	Q1044
Singapore	11.2	4.1	Q334
Slovak Republic	5.5	5.6	Q214
Slovenia	1.8	5.5	Q215
South Africa	5.8	1.8	Q258
Spain	10.4	4.2	Q29
Sri Lanka	7.5	3.9	Q854
Sudan	15.4	-0.9	Q1049
Sweden	8.6	3.3	Q34
Switzerland	4.1	2.8	Q39
Tanzania	11.4	3.7	Q924
Thailand	10	2.6	Q869
Togo	1.2	2.9	Q945
Turkey	11.2	6.4	Q43
Uganda	13.8	8.3	Q1036
Ukraine	-3.6	-5.3	Q212
United Kingdom	6.2	2.9	Q145
United States	7.4	2.8	Q30
Uruguay	6.5	1.5	Q77
Uzbekistan	-3.7	4.4	Q265
Vietnam	19.2	13.8	Q881
West Bank and Gaza	12.7	6.3	Q407199
Zimbabwe	3.9	6.6	Q954
