Country	Production %	Kg/HA	ID
Afghanistan	2238	2793.1	Q889
Albania	157.6	148.1	Q222
Algeria	1845.2	3376.3	Q262
Angola	1170	2595.4	Q916
Antigua and Barbuda	0	0	Q781
Argentina	10624.3	11751.2	Q414
Armenia	184.9	194.7	Q399
Australia	17561.1	16976	Q408
Austria	816.8	787	Q40
Azerbaijan	813.2	986.9	Q227
Bahamas, The	0.1	0.1	Q778
Bangladesh	11588.1	11793.6	Q902
Barbados	0.1	0	Q244
Belarus	2310	2206.1	Q184
Belgium	310.5	327.5	Q31
Belize	23	28.9	Q242
Benin	960.1	1246.2	Q962
Bhutan	59	52.1	Q917
Bolivia	768.3	1260.3	Q750
Bosnia and Herzegovina	341.6	319.3	Q225
Botswana	96.5	100.3	Q963
Brazil	17883.4	20122.7	Q155
Brunei Darussalam	0.5	1	Q921
Bulgaria	2145.1	1816.6	Q219
Burkina Faso	3308.7	4017.6	Q965
Burundi	223.4	289.2	Q967
Cabo Verde	34.1	31.7	Q1011
Cambodia	2066.2	3052.4	Q424
Cameroon	890.8	2403.7	Q1009
Canada	15174.8	14135.2	Q16
Central African Republic	184.4	162.8	Q929
Chad	1807.1	3402	Q657
Chile	652.1	564.6	Q298
China	81469.3	103036.2	Q148
Hong Kong SAR, China	0	0	Q8646
Colombia	1087.1	1013.7	Q739
Comoros	16.1	28.7	Q970
Congo, Dem. Rep.	1969.6	3979.6	Q974
Congo, Rep.	24.9	36.3	Q971
Costa Rica	54.7	53.1	Q800
Cote d'Ivoire	759.7	1479.9	Q1008
Croatia	578.9	532.8	Q224
Cuba	320.6	316.7	Q241
Cyprus	59.2	23.3	Q229
Czech Republic	1569.1	1361.4	Q213
Denmark	1527.9	1471.3	Q35
Djibouti	0	0	Q977
Dominica	0.1	0.1	Q784
Dominican Republic	176.4	190.3	Q786
Ecuador	845	706.1	Q736
Egypt, Arab Rep.	2712.2	3226.3	Q79
El Salvador	328.7	390.8	Q792
Eritrea	344.6	470.7	Q986
Estonia	259.2	351.4	Q191
Eswatini	69	78.1	Q1050
Ethiopia	6648.8	10219.4	Q115
Fiji	5.7	2.3	Q712
Finland	1195.1	998	Q33
France	9352	9610.7	Q142
Gabon	17.3	28.8	Q1000
Gambia, The	145	260.8	Q1005
Georgia	355.7	171.5	Q230
Germany	6941	6316.3	Q183
Ghana	1597.6	1518.8	Q117
Greece	1287.7	979.1	Q41
Grenada	0.3	0.3	Q769
Guam	0	0	Q16635
Guatemala	644.5	923	Q774
Guinea	1241.1	3172.5	Q1006
Guinea-Bissau	141.9	146.3	Q1007
Guyana	109.1	153.2	Q734
Haiti	408.5	514.3	Q790
Honduras	431.6	423.2	Q783
Hungary	2953	2565.9	Q28
India	94470.9	98590	Q668
Indonesia	14648	19600	Q252
Iran, Islamic Rep.	8743.9	8452.1	Q794
Iraq	3157.4	1301.6	Q796
Ireland	299.5	281.3	Q27
Israel	100.8	61	Q801
Italy	4284.6	3254	Q38
Jamaica	1.5	2.2	Q766
Japan	2002.2	1815.8	Q17
Jordan	88.6	55.4	Q810
Kazakhstan	13900.9	15144.3	Q232
Kenya	2046.3	2813.3	Q114
Korea, Dem. Peopleâ€™s Rep.	1319.7	1217.6	Q423
Korea, Rep.	1161.8	858.4	Q884
Kuwait	1.9	1	Q817
Kyrgyz Republic	642.4	568.2	Q813
Lao PDR	783.1	1232.2	Q819
Latvia	415	706.1	Q211
Lebanon	56.8	57.2	Q822
Lesotho	203.7	55.5	Q1013
Liberia	120	244.6	Q1014
Libya	343.4	311.1	Q1016
Lithuania	918	1326.7	Q37
Luxembourg	29.4	27.9	Q32
North Macedonia	191.5	166.1	Q221
Madagascar	1416.5	1059.4	Q1019
Malawi	1635.8	1879	Q1020
Malaysia	701.5	698.8	Q833
Maldives	0.1	0.1	Q826
Mali	3193.4	5510.7	Q912
Malta	2.5	2.9	Q233
Mauritania	111.5	256.5	Q1025
Mauritius	0	0.2	Q1027
Mexico	9877.1	10260.6	Q96
Micronesia, Fed. Sts.	0.1	0.2	Q702
Moldova	1014.5	922.7	Q217
Mongolia	217.3	377.8	Q711
Morocco	4947.9	3804.5	Q1028
Mozambique	2312.6	2053	Q1029
Myanmar	7227.5	7792.1	Q836
Namibia	325	293.7	Q1030
Nepal	3334.3	3306.3	Q837
Netherlands	226.3	174.3	Q55
New Caledonia	1.1	1.3	Q33788
New Zealand	149.7	130.8	Q664
Nicaragua	525.8	482.5	Q811
Niger	7860.1	10908.8	Q1032
Nigeria	17027	20936.6	Q1033
Norway	327	285.5	Q20
Oman	6.6	4.9	Q842
Pakistan	12022.1	14087	Q843
Panama	168.9	139	Q804
