Country	Current points	ID
USA	832.9	Q30
Australia	714.5	Q408
Spain	692.2	Q29
Canada	649.3	Q16
France	640.8	Q142
Turkey	598.7	Q43
Belgium	585.7	Q31
Serbia	579.4	Q403
China	571.5	Q148
Japan	540.1	Q17
Belarus	475.1	Q184
Russia	400.9	Q159
Greece	368.0	Q41
Nigeria	366.6	Q1033
Brazil	365.9	Q155
Italy	345.4	Q38
Czech Republic	334.0	Q213
Great Britain	333.5	Q145
Korea	333.3	Q884
Sweden	315.0	Q34
Latvia	303.4	Q211
Puerto Rico	302.9	Q1183
Montenegro	298.7	Q236
Slovakia	275.2	Q214
Cuba	271.6	Q241
Ukraine	270.5	Q212
Argentina	267.4	Q414
Senegal	259.3	Q1041
Hungary	257.9	Q28
Croatia	233.7	Q224
Lithuania	233.1	Q37
Slovenia	232.6	Q215
Chinese Taipei	181.1	Q1867
New Zealand	171.1	Q664
Poland	167.9	Q36
Mozambique	153.1	Q1029
Colombia	151.9	Q739
Germany	149.8	Q183
Bosnia and Herzegovina	149.2	Q225
Dominican Republic	148.6	Q786
Angola	148.1	Q916
Israel	147.6	Q801
Mexico	147.5	Q96
Romania	138.1	Q218
Mali	137.6	Q912
Netherlands	136.5	Q55
Portugal	130.9	Q45
US Virgin Islands	128.3	Q11703
Philippines	125.0	Q928
Bulgaria	124.9	Q219
Lebanon	123.8	Q822
Venezuela	123.0	Q717
Egypt	122.9	Q79
Malta	116.2	Q233
Cameroon	112.0	Q1009
Denmark	111.8	Q35
Cote d'Ivoire	109.3	Q1008
Austria	107.4	Q40
Jamaica	107.2	Q766
Estonia	106.2	Q191
Kazakhstan	105.0	Q232
Paraguay	104.0	Q733
Bahamas	102.3	Q778
Iceland	99.8	Q189
Switzerland	98.1	Q39
Finland	97.5	Q33
Malaysia	93.6	Q833
Luxembourg	92.4	Q32
India	92.0	Q668
Ireland	91.9	Q27
Chile	90.5	Q298
Congo DR	90.4	Q974
Iran	88.3	Q794
Indonesia	85.0	Q252
Korea DPR	84.3	Q423
Ecuador	82.9	Q736
Kenya	80.8	Q114
Singapore	80.1	Q334
North Macedonia	79.4	Q221
Gabon	79.4	Q1000
Cyprus	79.2	Q229
Uganda	77.4	Q1036
Syria	77.1	Q858
Barbados	76.3	Q244
Moldova	75.6	Q217
Norway	75.3	Q20
Uzbekistan	74.4	Q265
St.Vincent and the Grenadines	73.8	Q757
Thailand	73.2	Q869
El Salvador	72.7	Q792
Tunisia	72.6	Q948
Cape Verde	70.7	Q1011
Azerbaijan	70.7	Q227
Algeria	70.5	Q262
Costa Rica	68.2	Q800
Honduras	68.2	Q783
Antigua & Barbuda	68.0	Q781
Albania	66.6	Q222
Trinidad and Tobago	64.6	Q754
Guatemala	64.5	Q774
Rwanda	61.8	Q1037
Guinea	61.3	Q1006
Andorra	60.0	Q228
Panama	59.2	Q804
British Virgin Islands	58.1	Q25305
Gibraltar	57.6	Q1410
South Africa	56.9	Q258
Zimbabwe	54.9	Q954
Hong Kong	54.4	Q8646
Uruguay	50.3	Q77
Peru	47.4	Q419
Burundi	47.2	Q967
Suriname	46.0	Q730
Fiji	44.2	Q712
Central African Rep.	43.1	Q929
Morocco	42.0	Q1028
Benin	40.3	Q962
Sri Lanka	40.1	Q854
Jordan	37.9	Q810
Guyana	37.2	Q734
Nicaragua	35.8	Q811
Botswana	29.2	Q963
Burkina Faso	20.9	Q965
Tanzania	19.9	Q924
