Country	Survey Year	Finance	ID
Afghanistan	2014	3.9	Q889
Albania	2019	30.4	Q222
Algeria	2007	28.6	Q262
Angola	2010	13.4	Q916
Antigua and Barbuda	2010	46.3	Q781
Argentina	2017	29.6	Q414
Armenia	2013	43	Q399
Azerbaijan	2013	16.9	Q227
Bahamas, The	2010	28.5	Q778
Bangladesh	2013	29.9	Q902
Barbados	2010	38.7	Q244
Belarus	2018	31.1	Q184
Belize	2010	57	Q242
Benin	2016	26	Q962
Bhutan	2015	42	Q917
Bolivia	2017	38	Q750
Bosnia and Herzegovina	2019	40.4	Q225
Botswana	2010	32.1	Q963
Brazil	2009	52.3	Q155
Bulgaria	2019	43.8	Q219
Burkina Faso	2009	33.1	Q965
Burundi	2014	57.9	Q967
Cambodia	2016	18.2	Q424
Cameroon	2016	20.2	Q1009
Cabo Verde	2009	49.8	Q1011
Central African Republic	2011	25.3	Q929
Chad	2018	9.8	Q657
Chile	2010	55.1	Q298
China	2012	22.1	Q148
Colombia	2017	52.7	Q739
Congo, Dem. Rep.	2013	8.7	Q974
Congo, Rep.	2009	9.7	Q971
Costa Rica	2010	30.1	Q800
Cote d'Ivoire	2016	15.3	Q1008
Croatia	2019	31.2	Q224
Cyprus	2019	42.2	Q229
Czech Republic	2019	29.4	Q213
Djibouti	2013	25.2	Q977
Dominica	2010	37.9	Q784
Dominican Republic	2016	45.8	Q786
Ecuador	2017	40.2	Q736
Egypt, Arab Rep.	2016	2.4	Q79
El Salvador	2016	35.2	Q792
Eritrea	2009	5.7	Q986
Estonia	2019	26.2	Q191
Ethiopia	2015	16.4	Q115
Fiji	2009	50.7	Q712
Gabon	2009	8.5	Q1000
Gambia, The	2018	13.7	Q1005
Georgia	2019	31.5	Q230
Germany	2005	42.2	Q183
Ghana	2013	25.3	Q117
Greece	2018	16.8	Q41
Grenada	2010	50.3	Q769
Guatemala	2017	30	Q774
Guinea	2016	11.4	Q1006
Guinea-Bissau	2006	1.1	Q1007
Guyana	2010	59.3	Q734
Honduras	2016	38.1	Q783
Hungary	2019	31.5	Q28
India	2014	36.4	Q668
Indonesia	2015	32	Q252
Iraq	2011	4.6	Q796
Ireland	2005	46.1	Q27
Israel	2013	34.3	Q801
Italy	2019	27.8	Q38
Jamaica	2010	53.1	Q766
Jordan	2019	20	Q810
Kazakhstan	2019	13.2	Q232
Kenya	2018	36.2	Q114
Korea, Rep.	2005	41.2	Q884
Kosovo	2019	53.1	Q1246
Kyrgyz Republic	2019	18.8	Q813
Lao PDR	2018	23.1	Q819
Latvia	2019	26.5	Q211
Lebanon	2019	44.5	Q822
Lesotho	2016	34.9	Q1013
Liberia	2017	20.1	Q1014
Lithuania	2019	20.9	Q37
North Macedonia	2019	38.6	Q221
Madagascar	2013	19.1	Q1019
Malawi	2014	29.2	Q1020
Malaysia	2015	42.6	Q833
Mali	2016	51.7	Q912
Malta	2019	61.8	Q233
Mauritania	2014	29.4	Q1025
Mauritius	2009	39.5	Q1027
Mexico	2010	26.9	Q96
Micronesia, Fed. Sts.	2009	19.4	Q702
Moldova	2019	23.4	Q217
Mongolia	2019	37.5	Q711
Montenegro	2019	26	Q236
Morocco	2019	45	Q1028
Mozambique	2018	9	Q1029
Myanmar	2016	11.2	Q836
Namibia	2014	11.8	Q1030
Nepal	2013	13.7	Q837
Nicaragua	2016	30.4	Q811
Niger	2017	28.9	Q1032
Nigeria	2014	16.9	Q1033
Pakistan	2013	8.6	Q843
Panama	2010	9	Q804
Papua New Guinea	2015	22.9	Q691
Paraguay	2017	41.9	Q733
Peru	2017	66.5	Q419
Philippines	2015	12.4	Q928
Poland	2019	43.9	Q36
Portugal	2019	27.2	Q45
Romania	2013	41.3	Q218
Russian Federation	2019	33.4	Q159
Rwanda	2019	42.6	Q1037
Samoa	2009	68.7	Q683
Senegal	2014	19.6	Q1041
Serbia	2019	51	Q403
Sierra Leone	2017	8.6	Q1044
Slovak Republic	2019	24.2	Q214
Slovenia	2019	41.6	Q215
Solomon Islands	2015	35.5	Q685
South Africa	2007	21.1	Q258
South Sudan	2014	6	Q958
Spain	2005	35.8	Q29
Sri Lanka	2011	40.6	Q854
St. Kitts and Nevis	2010	52	Q763
St. Lucia	2010	49.2	Q760
St. Vincent and the Grenadines	2010	52.7	Q757
Sudan	2014	2.6	Q1049
Suriname	2018	44.5	Q730
Eswatini	2016	32	Q1050
Sweden	2014	26.6	Q34
Syrian Arab Republic	2009	16	Q858
Tajikistan	2019	12.8	Q863
Tanzania	2013	14.7	Q924
Thailand	2016	28.9	Q869
Timor-Leste	2015	19.1	Q574
Togo	2016	40.3	Q945
Tonga	2009	3	Q678
Trinidad and Tobago	2010	63.8	Q754
Tunisia	2013	44.7	Q948
Turkey	2019	34	Q43
Uganda	2013	21.4	Q1036
Ukraine	2019	21.5	Q212
Uruguay	2017	39.8	Q77
Uzbekistan	2019	23.7	Q265
Vanuatu	2009	33.2	Q686
Venezuela, RB	2010	27.1	Q717
Vietnam	2015	32.3	Q881
West Bank and Gaza	2019	12.7	Q407199
Yemen, Rep.	2013	4.6	Q805
Zambia	2019	13.1	Q953
Zimbabwe	2016	12	Q954
