Country	Score	ID
Brazil	427	Q155
Poland	384	Q36
USA	365	Q30
Russia	317	Q159
Argentina	291	Q414
France	291	Q142
Italy	288	Q38
Iran	279	Q794
Japan	269	Q17
Canada	255	Q16
Serbia	248	Q403
Slovenia	218	Q215
Cuba	212	Q241
Bulgaria	193	Q219
Australia	174	Q408
Netherlands	169	Q55
Tunisia	168	Q948
Egypt	167	Q79
Belgium	164	Q31
Korea	161	Q884
Germany	155	Q183
Ukraine	140	Q212
Qatar	138	Q846
Cameroon	137	Q1009
Mexico	136	Q96
China	136	Q148
Chile	134	Q298
Algeria	134	Q262
Turkey	132	Q43
Chinese Taipei	132	Q1867
Spain	128	Q29
Venezuela	126	Q717
Finland	126	Q33
Colombia	123	Q739
Slovak Republic	119	Q214
Dominican Republic	119	Q786
Latvia	117	Q211
Thailand	117	Q869
Puerto Rico	115	Q1183
Montenegro	115	Q236
Czech Republic	114	Q213
Romania	114	Q218
Denmark	112	Q35
Greece	112	Q41
Morocco	110	Q1028
Sweden	108	Q34
Peru	108	Q419
Switzerland	108	Q39
Macedonia	108	Q221
Congo	108	Q971
Norway	107	Q20
Trinidad & Tobago	106	Q754
Portugal	106	Q45
Croatia	106	Q224
Belarus	106	Q184
Israel	105	Q801
Azerbaijan	101	Q227
Pakistan	100	Q843
Sri Lanka	100	Q854
Luxembourg	100	Q32
Congo Democratic Republic	99	Q974
Austria	99	Q40
Moldova	98	Q217
Iceland	99	Q189
Kazakhstan	96	Q232
Hungary	93	Q28
Albania	93	Q222
Estonia	93	Q191
Bosnia and Herzegovina	91	Q225
Indonesia	88	Q252
Ecuador	88	Q736
Guatemala	86	Q774
Burundi	86	Q967
Georgia	86	Q230
Surinam	84	Q730
Oman	83	Q842
Chad	80	Q657
India	74	Q668
Botswana	71	Q963
Hong Kong, China	67	Q8646
Kuwait	65	Q817
Bolivia	64	Q750
New Zealand	60	Q664
Costa Rica	59	Q800
St. Lucia	59	Q760
St. Vincent & Grenadines	59	Q757
Barbados	58	Q244
Dominica	58	Q784
Haiti	58	Q790
Rwanda	58	Q1037
Antigua & Barbuda	57	Q781
Bangladesh	57	Q902
Fiji	57	Q712
Jamaica	57	Q766
Kosovo	57	Q1246
Kyrghyzstan	57	Q813
Libya	57	Q1016
Macao, China	57	Q14773
Maldives Islands	57	Q826
Myanmar	57	Q836
Northern Ireland	57	Q26
Tonga	57	Q678
United Arab Emirates	57	Q878
Uruguay	57	Q77
Vietnam	57	Q881
Anguilla	56	Q25228
Bahamas	56	Q778
Faroe Islands	56	Q4628
Kenya	56	Q114
Mauritius	56	Q1027
Niger	56	Q1032
Nigeria	56	Q1033
Scotland	56	Q22
St. Kitts & Nevis	56	Q763
Cyprus	56	Q229
Andorra	55	Q228
Aruba	55	Q21203
Belize	55	Q242
Bermuda	55	Q23635
British Virgin Islands	55	Q25305
Cayman Islands	55	Q5785
Côte d'Ivoire	55	Q1008
El Salvador	55	Q792
Grenada	55	Q769
Honduras	55	Q783
Montserrat	55	Q13353
Mozambique	55	Q1029
Nicaragua	55	Q811
Panama	55	Q804
Paraguay	55	Q733
South Sudan	55	Q958
Swaziland	55	Q1050
Uganda	55	Q1036
Virgin Islands	55	Q11703
Afghanistan	50	Q889
Angola	50	Q916
Armenia	50	Q399
Bahrain	50	Q398
Benin	50	Q962
Bhutan	50	Q917
Brunei Negara Darussalam	50	Q921
Burkina Faso	50	Q965
Cambodia	50	Q424
Cape Verde	50	Q1011
Central African Republic	50	Q929
Cook Islands	50	Q26988
Djibouti	50	Q977
East Timor	50	Q574
England	50	Q21
Equatorial Guinea	50	Q983
Eritrea	50	Q986
Ethiopia	50	Q115
French Guyana	50	Q3769
French Polynesia	50	Q30971
Gabon	50	Q1000
Gambia	50	Q1005
Gibraltar	50	Q1410
Greenland	50	Q223
Guam	50	Q16635
Guinea	50	Q1006
Guinea-Bissau	50	Q1007
Guyana	50	Q734
Iraq	50	Q796
Ireland	50	Q27
Jordan	50	Q810
Kiribati, Republic of	50	Q710
Korea PDR	50	Q423
Laos, D.P.R.	50	Q819
Lebanon	50	Q822
Lesotho	50	Q1013
Liberia	50	Q1014
Liechtenstein	50	Q347
Lithuania	50	Q37
Madagascar	50	Q1019
Malawi	50	Q1020
Malaysia	50	Q833
Mali	50	Q912
Malta	50	Q233
Marshall Islands	50	Q709
Mauritania, Islamic Rep. of	50	Q1025
Micronesia	50	Q702
Monaco, Principality of	50	Q235
Mongolia	50	Q711
Namibia	50	Q1030
Nauru, Republic of	50	Q697
Nepal	50	Q837
Niue Island	50	Q34020
Northern Mariana Island	50	Q16644
Palau	50	Q695
Palestine	50	Q219060
Papua-New Guinea	50	Q691
Philippines	50	Q928
Samoa	50	Q683
Samoa, American	50	Q16641
San Marino	50	Q238
Sao Tome and Principe	50	Q1039
Saudi Arabia	50	Q851
Senegal	50	Q1041
Seychelles	50	Q1042
Sierra Leone	50	Q1044
Singapore	50	Q334
Solomon Islands	50	Q685
Somalia	50	Q1045
South Africa	50	Q258
Sudan	50	Q1049
Syria	50	Q858
Tadjikistan	50	Q863
Tanzania	50	Q924
Togo	50	Q945
Turkmenistan	50	Q874
Tuvalu	50	Q672
Uzbekistan	50	Q265
Vanuatu	50	Q686
Wales	50	Q25
Yemen	50	Q805
Zambia	50	Q953
Zimbabwe	50	Q954
Ghana	43	Q117
