Country	Sq.Km (1990)	Sq.Km (2016)	ID
Afghanistan	14	14	Q889
Albania	8	8	Q222
Algeria	17	20	Q262
American Samoa	0	0	Q16641
Andorra	0	0	Q228
Angola	610	577	Q916
Antigua and Barbuda	0	0	Q781
Argentina	348	268	Q414
Armenia	3	3	Q399
Aruba	0	0	Q21203
Australia	1285	1251	Q408
Austria	38	39	Q40
Azerbaijan	9	12	Q227
Bahamas, The	5	5	Q778
Bahrain	0	0	Q398
Bangladesh	15	14	Q902
Barbados	0	0	Q244
Belarus	78	87	Q184
Belgium	7	7	Q31
Belize	16	14	Q242
Benin	58	43	Q962
Bermuda	0	0	Q23635
Bhutan	25	28	Q917
Bolivia	628	545	Q750
Bosnia and Herzegovina	22	22	Q225
Botswana	137	107	Q963
Brazil	5467	4926	Q155
Brunei Darussalam	4	4	Q921
Bulgaria	33	38	Q219
Burkina Faso	68	53	Q965
Burundi	3	3	Q967
Cabo Verde	1	1	Q1011
Cambodia	129	93	Q424
Cameroon	243	186	Q1009
Canada	3483	3470	Q16
Cayman Islands	0	0	Q5785
Central African Republic	226	222	Q929
Chad	67	47	Q657
Channel Islands	0	0	Q42314
Chile	153	180	Q298
China	1571	2099	Q148
Colombia	644	585	Q739
Comoros	0	0	Q970
Congo, Dem. Rep.	1604	1523	Q974
Congo, Rep.	227	223	Q971
Costa Rica	26	28	Q800
Cote d'Ivoire	102	104	Q1008
Croatia	19	19	Q224
Cuba	21	33	Q241
Cyprus	2	2	Q229
Czech Republic	26	27	Q213
Denmark	5	6	Q35
Djibouti	0	0	Q977
Dominica	1	0	Q784
Dominican Republic	11	20	Q786
Ecuador	146	125	Q736
Egypt, Arab Rep.	0	1	Q79
El Salvador	4	3	Q792
Equatorial Guinea	19	16	Q983
Eritrea	16	15	Q986
Estonia	22	22	Q191
Eswatini	5	6	Q1050
Ethiopia	147	125	Q115
Faroe Islands	0	0	Q4628
Fiji	10	10	Q712
Finland	219	222	Q33
France	144	171	Q142
French Polynesia	1	2	Q30971
Gabon	220	232	Q1000
Gambia, The	4	5	Q1005
Georgia	28	28	Q230
Germany	113	114	Q183
Ghana	86	94	Q117
Greece	33	41	Q41
Greenland	0	0	Q223
Grenada	0	0	Q769
Guam	0	0	Q16635
Guatemala	47	35	Q774
Guinea	73	63	Q1006
Guinea-Bissau	22	20	Q1007
Guyana	167	165	Q734
Haiti	1	1	Q790
Honduras	81	45	Q783
Hungary	18	21	Q28
Iceland	0	1	Q189
India	639	709	Q668
Indonesia	1185	903	Q252
Iran, Islamic Rep.	91	107	Q794
Iraq	8	8	Q796
Ireland	5	8	Q27
Isle of Man	0	0	Q9676
Israel	1	2	Q801
Italy	76	94	Q38
Jamaica	3	3	Q766
Japan	250	250	Q17
Jordan	1	1	Q810
Kazakhstan	34	33	Q232
Kenya	47	44	Q114
Kiribati	0	0	Q710
Korea, Dem. Peopleâ€™s Rep.	82	49	Q423
Korea, Rep.	64	62	Q884
Kuwait	0	0	Q817
Kyrgyz Republic	8	6	Q813
Lao PDR	176	190	Q819
Latvia	32	34	Q211
Lebanon	1	1	Q822
Lesotho	0	1	Q1013
Liberia	49	41	Q1014
Libya	2	2	Q1016
Liechtenstein	0	0	Q347
Lithuania	19	22	Q37
Luxembourg	1	1	Q32
North Macedonia	9	10	Q221
Madagascar	137	125	Q1019
Malawi	39	31	Q1020
Malaysia	224	222	Q833
Maldives	0	0	Q826
Mali	67	46	Q912
Malta	0	0	Q233
Marshall Islands	0	0	Q709
Mauritania	4	2	Q1025
Mauritius	0	0	Q1027
Mexico	698	659	Q96
Micronesia, Fed. Sts.	1	1	Q702
Moldova	3	4	Q217
Mongolia	125	125	Q711
Montenegro	6	8	Q236
Morocco	50	56	Q1028
Mozambique	434	377	Q1029
Myanmar	392	285	Q836
Namibia	88	68	Q1030
Nepal	48	36	Q837
Netherlands	3	4	Q55
New Caledonia	8	8	Q33788
New Zealand	97	102	Q664
Nicaragua	45	31	Q811
Niger	19	11	Q1032
Nigeria	172	66	Q1033
Northern Mariana Islands	0	0	Q16644
Norway	121	121	Q20
Oman	0	0	Q842
Pakistan	25	14	Q843
Palau	0	0	Q695
Panama	50	46	Q804
Papua New Guinea	336	336	Q691
Paraguay	212	150	Q733
Peru	779	738	Q419
Philippines	66	83	Q928
Poland	89	95	Q36
Portugal	34	32	Q45
Puerto Rico	3	5	Q1183
Qatar	0	0	Q846
Romania	64	69	Q218
Russian Federation	8090	8149	Q159
Rwanda	3	5	Q1037
Samoa	1	2	Q683
San Marino	0	0	Q238
Sao Tome and Principe	1	1	Q1039
Saudi Arabia	10	10	Q851
Senegal	93	82	Q1041
Serbia	25	27	Q403
Seychelles	0	0	Q1042
Sierra Leone	31	31	Q1044
Singapore	0	0	Q334
Slovak Republic	19	19	Q214
Slovenia	12	12	Q215
Solomon Islands	23	22	Q685
Somalia	83	63	Q1045
South Africa	92	92	Q258
Spain	138	185	Q29
Sri Lanka	23	21	Q854
St. Kitts and Nevis	0	0	Q763
St. Lucia	0	0	Q760
St. Martin (French part)	0	0	Q126125
St. Vincent and the Grenadines	0	0	Q757
Suriname	154	153	Q730
Sweden	281	281	Q34
Switzerland	12	13	Q39
Syrian Arab Republic	4	5	Q858
Tajikistan	4	4	Q863
Tanzania	559	457	Q924
Thailand	140	164	Q869
Timor-Leste	10	7	Q574
Togo	7	2	Q945
Tonga	0	0	Q678
Trinidad and Tobago	2	2	Q754
Tunisia	6	11	Q948
Turkey	96	118	Q43
Turkmenistan	41	41	Q874
Turks and Caicos Islands	0	0	Q18221
Tuvalu	0	0	Q672
Uganda	48	19	Q1036
Ukraine	93	97	Q212
United Arab Emirates	2	3	Q878
United Kingdom	28	32	Q145
United States	3025	3104	Q30
Uruguay	8	19	Q77
Uzbekistan	30	32	Q265
Vanuatu	4	4	Q686
Venezuela, RB	520	465	Q717
Vietnam	94	149	Q881
Virgin Islands (U.S.)	0	0	Q11703
West Bank and Gaza	0	0	Q407199
Yemen, Rep.	5	5	Q805
Zambia	528	485	Q953
Zimbabwe	222	137	Q954
