Country	% of people who paid bribes	ID
Australia	1	Q408
Denmark	1	Q35
Finland	1	Q33
Japan	1	Q17
Spain	2	Q29
Canada	3	Q16
South Korea	3	Q884
Malaysia	3	Q833
Maldives	3	Q826
New Zealand	3	Q664
Norway	3	Q20
Uruguay	3	Q77
Portugal	3	Q45
Belgium	4	Q31
Croatia	4	Q224
Georgia	4	Q230
Italy	5	Q38
United Kingdom	5	Q145
Estonia	6	Q191
Slovenia	6	Q215
Switzerland	7	Q39
United States	7	Q30
Bulgaria	8	Q219
Chile	10	Q298
El Salvador	12	Q792
Hungary	12	Q28
Israel	12	Q801
Palestine	12	Q219060
Jamaica	12	Q766
Philippines	12	Q928
Argentina	13	Q414
Rwanda	13	Q1037
Vanuatu	13	Q686
Czech Republic	15	Q213
Kosovo	16	Q1246
North Macedonia	17	Q221
Romania	17	Q218
Sudan	17	Q1049
Armenia	18	Q399
Thailand	18	Q869
Tunisia	18	Q948
Cyprus	19	Q229
Latvia	19	Q211
Sri Lanka	19	Q854
Peru	20	Q419
Slovakia	21	Q214
Turkey	21	Q43
Colombia	22	Q739
Greece	22	Q41
Paraguay	25	Q733
Lithuania	26	Q37
Serbia	26	Q403
Papua New Guinea	27	Q691
Venezuela	27	Q717
Bosnia and Herzegovina	28	Q225
Madagascar	28	Q1019
Iraq	29	Q796
Moldova	29	Q217
Vietnam	30	Q881
Nepal	31	Q837
Mexico	33	Q96
Kazakhstan	34	Q232
Pakistan	34	Q843
Solomon Islands	34	Q685
Bolivia	36	Q750
Egypt	36	Q79
Indonesia	36	Q252
Taiwan	36	Q865
Ukraine	37	Q212
Jordan	37	Q810
Bangladesh	39	Q902
South Sudan	39	Q958
Algeria	41	Q262
Nigeria	44	Q1033
Ethiopia	44	Q115
Mongolia	45	Q711
Kyrgyzstan	45	Q813
Afghanistan	46	Q889
DR Congo	46	Q974
South Africa	47	Q258
Morocco	49	Q1028
India	54	Q668
Ghana	54	Q117
Tanzania	56	Q924
Cambodia	57	Q424
Senegal	57	Q1041
Uganda	61	Q1036
Cameroon	62	Q1009
Libya	62	Q1016
Zimbabwe	62	Q954
Mozambique	62	Q1029
Kenya	70	Q114
Yemen	74	Q805
Liberia	75	Q1014
Sierra Leone	84	Q1044
